,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100876,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 00:00:02.483
1,101065,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 00:10:02.327
2,101254,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 00:20:02.401
3,101443,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 00:30:02.053
4,101632,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 00:40:02.56
5,101821,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 00:50:01.898
6,102010,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 01:00:01.656
7,102199,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 01:10:02.184
8,102388,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 01:20:02.26
9,102577,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 01:30:02.051
10,102766,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 01:40:02.218
11,102955,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 01:50:02.054
12,103144,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 02:00:01.626
13,103333,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 02:10:01.659
14,103522,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 02:20:02.44
15,103711,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 02:30:01.848
16,103900,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 02:40:02.273
17,104089,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 02:50:01.692
18,104278,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 03:00:02.482
19,104467,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 03:10:02.128
20,104656,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 03:20:02.286
21,104845,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 03:30:01.618
22,105034,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 03:40:02.473
23,105223,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 03:50:02.419
24,105412,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 04:00:02.368
25,105601,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 04:10:02.471
26,105790,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 04:20:02.205
27,105979,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 04:30:01.838
28,106169,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 04:40:01.728
29,106358,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 04:50:02.186
30,106547,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 05:00:02.283
31,106736,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 05:10:02.023
32,106925,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 05:20:02.539
33,107114,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 05:30:01.917
34,107303,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 05:40:02.393
35,107492,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 05:50:01.706
36,107681,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 06:00:02.31
37,107870,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 06:10:02.48
38,108059,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 06:20:02.308
39,108248,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 06:30:02.468
40,108437,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 06:40:01.627
41,108626,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 06:50:02.568
42,108815,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 07:00:01.882
43,109004,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 07:10:01.602
44,109193,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 07:20:01.725
45,109382,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 07:30:02.517
46,109571,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 07:40:02.004
47,109760,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 07:50:01.639
48,109949,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 08:00:02.288
49,110138,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 08:10:01.955
50,110327,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 08:20:02.461
51,110516,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 08:30:01.924
52,110705,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 08:40:02.277
53,110894,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 08:50:01.998
54,111083,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 09:00:02.386
55,111272,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 09:10:02.333
56,111461,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 09:20:01.679
57,111650,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 09:30:01.858
58,111839,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 09:40:02.077
59,112028,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 09:50:02.389
60,112217,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 10:00:01.658
61,112406,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 10:10:02.03
62,112595,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 10:20:02.283
63,112784,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 10:30:02.203
64,112973,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 10:50:02.099
65,113162,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 11:00:01.809
66,113351,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 11:10:02.337
67,113540,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 11:20:02.297
68,113729,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 11:30:02.571
69,113919,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 11:40:01.658
70,114108,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 11:50:02.534
71,114297,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 12:00:01.655
72,114486,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 12:10:02.323
73,114675,Afghanistan,24,,23,,,1,,,0.6,2020-03-22 12:20:01.826
74,114860,Afghanistan,34,10,33,,,1,,,0.9,2020-03-22 12:30:02.517
75,115049,Afghanistan,34,10,33,,,1,,,0.9,2020-03-22 12:40:02.46
76,115238,Afghanistan,34,10,33,,,1,,,0.9,2020-03-22 12:50:02.108
77,115427,Afghanistan,34,10,33,,,1,,,0.9,2020-03-22 13:00:01.691
78,115616,Afghanistan,34,10,33,,,1,,,0.9,2020-03-22 13:10:01.964
79,115805,Afghanistan,34,10,33,,,1,,,0.9,2020-03-22 13:20:01.995
80,115994,Afghanistan,34,10,33,,,1,,,0.9,2020-03-22 13:30:02.353
