,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100846,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 00:00:02.483
1,101035,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 00:10:02.327
2,101224,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 00:20:02.401
3,101413,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 00:30:02.053
4,101602,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 00:40:02.56
5,101791,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 00:50:01.898
6,101980,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 01:00:01.656
7,102169,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 01:10:02.184
8,102358,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 01:20:02.26
9,102547,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 01:30:02.051
10,102736,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 01:40:02.218
11,102925,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 01:50:02.054
12,103114,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 02:00:01.626
13,103303,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 02:10:01.659
14,103492,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 02:20:02.44
15,103681,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 02:30:01.848
16,103870,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 02:40:02.273
17,104059,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 02:50:01.692
18,104248,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 03:00:02.482
19,104437,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 03:10:02.128
20,104626,Andorra,88,13,87,,,1,2,,"1,139",2020-03-22 03:20:02.286
21,104815,Andorra,88,,87,,,1,2,,"1,139",2020-03-22 03:30:01.618
22,105004,Andorra,88,,87,,,1,2,,"1,139",2020-03-22 03:40:02.473
23,105193,Andorra,88,,87,,,1,2,,"1,139",2020-03-22 03:50:02.419
24,105382,Andorra,88,,87,,,1,2,,"1,139",2020-03-22 04:00:02.368
25,105571,Andorra,88,,87,,,1,2,,"1,139",2020-03-22 04:10:02.471
26,105760,Andorra,88,,87,,,1,2,,"1,139",2020-03-22 04:20:02.205
27,105949,Andorra,88,,87,,,1,2,,"1,139",2020-03-22 04:30:01.838
28,106138,Andorra,88,,87,,,1,2,,"1,139",2020-03-22 04:40:01.728
29,106327,Andorra,88,,87,,,1,2,,"1,139",2020-03-22 04:50:02.186
30,106516,Andorra,88,,87,,,1,2,,"1,139",2020-03-22 05:00:02.283
31,106705,Andorra,88,,87,,,1,2,,"1,139",2020-03-22 05:10:02.023
