,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100928,Angola,2,1,2,,,,,,0.06,2020-03-22 00:00:02.483
1,101117,Angola,2,1,2,,,,,,0.06,2020-03-22 00:10:02.327
2,101306,Angola,2,1,2,,,,,,0.06,2020-03-22 00:20:02.401
3,101495,Angola,2,1,2,,,,,,0.06,2020-03-22 00:30:02.053
4,101684,Angola,2,1,2,,,,,,0.06,2020-03-22 00:40:02.56
5,101873,Angola,2,1,2,,,,,,0.06,2020-03-22 00:50:01.898
6,102062,Angola,2,1,2,,,,,,0.06,2020-03-22 01:00:01.656
7,102251,Angola,2,1,2,,,,,,0.06,2020-03-22 01:10:02.184
8,102440,Angola,2,1,2,,,,,,0.06,2020-03-22 01:20:02.26
9,102629,Angola,2,1,2,,,,,,0.06,2020-03-22 01:30:02.051
10,102818,Angola,2,1,2,,,,,,0.06,2020-03-22 01:40:02.218
11,103007,Angola,2,1,2,,,,,,0.06,2020-03-22 01:50:02.054
12,103196,Angola,2,1,2,,,,,,0.06,2020-03-22 02:00:01.626
13,103385,Angola,2,1,2,,,,,,0.06,2020-03-22 02:10:01.659
14,103574,Angola,2,1,2,,,,,,0.06,2020-03-22 02:20:02.44
15,103763,Angola,2,1,2,,,,,,0.06,2020-03-22 02:30:01.848
16,103952,Angola,2,1,2,,,,,,0.06,2020-03-22 02:40:02.273
17,104141,Angola,2,1,2,,,,,,0.06,2020-03-22 02:50:01.692
18,104330,Angola,2,1,2,,,,,,0.06,2020-03-22 03:00:02.482
19,104519,Angola,2,1,2,,,,,,0.06,2020-03-22 03:10:02.128
20,104708,Angola,2,1,2,,,,,,0.06,2020-03-22 03:20:02.286
21,104897,Angola,2,,2,,,,,,0.06,2020-03-22 03:30:01.618
22,105086,Angola,2,,2,,,,,,0.06,2020-03-22 03:40:02.473
23,105275,Angola,2,,2,,,,,,0.06,2020-03-22 03:50:02.419
24,105464,Angola,2,,2,,,,,,0.06,2020-03-22 04:00:02.368
25,105653,Angola,2,,2,,,,,,0.06,2020-03-22 04:10:02.471
26,105842,Angola,2,,2,,,,,,0.06,2020-03-22 04:20:02.205
27,106031,Angola,2,,2,,,,,,0.06,2020-03-22 04:30:01.838
28,106221,Angola,2,,2,,,,,,0.06,2020-03-22 04:40:01.728
29,106410,Angola,2,,2,,,,,,0.06,2020-03-22 04:50:02.186
30,106599,Angola,2,,2,,,,,,0.06,2020-03-22 05:00:02.283
31,106788,Angola,2,,2,,,,,,0.06,2020-03-22 05:10:02.023
32,106977,Angola,2,,2,,,,,,0.06,2020-03-22 05:20:02.539
33,107166,Angola,2,,2,,,,,,0.06,2020-03-22 05:30:01.917
34,107355,Angola,2,,2,,,,,,0.06,2020-03-22 05:40:02.393
35,107544,Angola,2,,2,,,,,,0.06,2020-03-22 05:50:01.706
36,107733,Angola,2,,2,,,,,,0.06,2020-03-22 06:00:02.31
37,107922,Angola,2,,2,,,,,,0.06,2020-03-22 06:10:02.48
38,108111,Angola,2,,2,,,,,,0.06,2020-03-22 06:20:02.308
39,108300,Angola,2,,2,,,,,,0.06,2020-03-22 06:30:02.468
40,108489,Angola,2,,2,,,,,,0.06,2020-03-22 06:40:01.627
41,108678,Angola,2,,2,,,,,,0.06,2020-03-22 06:50:02.568
42,108867,Angola,2,,2,,,,,,0.06,2020-03-22 07:00:01.882
43,109056,Angola,2,,2,,,,,,0.06,2020-03-22 07:10:01.602
44,109245,Angola,2,,2,,,,,,0.06,2020-03-22 07:20:01.725
45,109434,Angola,2,,2,,,,,,0.06,2020-03-22 07:30:02.517
46,109623,Angola,2,,2,,,,,,0.06,2020-03-22 07:40:02.004
47,109812,Angola,2,,2,,,,,,0.06,2020-03-22 07:50:01.639
48,110001,Angola,2,,2,,,,,,0.06,2020-03-22 08:00:02.288
49,110190,Angola,2,,2,,,,,,0.06,2020-03-22 08:10:01.955
50,110379,Angola,2,,2,,,,,,0.06,2020-03-22 08:20:02.461
51,110568,Angola,2,,2,,,,,,0.06,2020-03-22 08:30:01.924
52,110757,Angola,2,,2,,,,,,0.06,2020-03-22 08:40:02.277
53,110946,Angola,2,,2,,,,,,0.06,2020-03-22 08:50:01.998
54,111135,Angola,2,,2,,,,,,0.06,2020-03-22 09:00:02.386
55,111324,Angola,2,,2,,,,,,0.06,2020-03-22 09:10:02.333
56,111513,Angola,2,,2,,,,,,0.06,2020-03-22 09:20:01.679
57,111702,Angola,2,,2,,,,,,0.06,2020-03-22 09:30:01.858
58,111891,Angola,2,,2,,,,,,0.06,2020-03-22 09:40:02.077
59,112080,Angola,2,,2,,,,,,0.06,2020-03-22 09:50:02.389
60,112269,Angola,2,,2,,,,,,0.06,2020-03-22 10:00:01.658
61,112458,Angola,2,,2,,,,,,0.06,2020-03-22 10:10:02.03
62,112647,Angola,2,,2,,,,,,0.06,2020-03-22 10:20:02.283
63,112836,Angola,2,,2,,,,,,0.06,2020-03-22 10:30:02.203
64,113025,Angola,2,,2,,,,,,0.06,2020-03-22 10:50:02.099
65,113214,Angola,2,,2,,,,,,0.06,2020-03-22 11:00:01.809
66,113403,Angola,2,,2,,,,,,0.06,2020-03-22 11:10:02.337
67,113592,Angola,2,,2,,,,,,0.06,2020-03-22 11:20:02.297
68,113781,Angola,2,,2,,,,,,0.06,2020-03-22 11:30:02.571
69,113971,Angola,2,,2,,,,,,0.06,2020-03-22 11:40:01.658
70,114160,Angola,2,,2,,,,,,0.06,2020-03-22 11:50:02.534
71,114349,Angola,2,,2,,,,,,0.06,2020-03-22 12:00:01.655
72,114538,Angola,2,,2,,,,,,0.06,2020-03-22 12:10:02.323
73,114727,Angola,2,,2,,,,,,0.06,2020-03-22 12:20:01.826
74,114916,Angola,2,,2,,,,,,0.06,2020-03-22 12:30:02.517
75,115105,Angola,2,,2,,,,,,0.06,2020-03-22 12:40:02.46
76,115295,Angola,2,,2,,,,,,0.06,2020-03-22 12:50:02.108
77,115484,Angola,2,,2,,,,,,0.06,2020-03-22 13:00:01.691
78,115673,Angola,2,,2,,,,,,0.06,2020-03-22 13:10:01.964
79,115862,Angola,2,,2,,,,,,0.06,2020-03-22 13:20:01.995
80,116051,Angola,2,,2,,,,,,0.06,2020-03-22 13:30:02.353
81,116240,Angola,2,,2,,,,,,0.06,2020-03-22 13:40:02.609
82,116429,Angola,2,,2,,,,,,0.06,2020-03-22 13:50:01.753
83,116619,Angola,2,,2,,,,,,0.06,2020-03-22 14:00:02.347
84,116808,Angola,2,,2,,,,,,0.06,2020-03-22 14:10:02.014
85,116997,Angola,2,,2,,,,,,0.06,2020-03-22 14:20:01.732
86,117186,Angola,2,,2,,,,,,0.06,2020-03-22 14:30:02.279
87,117375,Angola,2,,2,,,,,,0.06,2020-03-22 14:40:01.994
88,117564,Angola,2,,2,,,,,,0.06,2020-03-22 14:50:01.896
89,117753,Angola,2,,2,,,,,,0.06,2020-03-22 15:00:01.708
90,117942,Angola,2,,2,,,,,,0.06,2020-03-22 15:10:01.808
91,118130,Angola,2,,2,,,,,,0.06,2020-03-22 15:20:02.115
92,118319,Angola,2,,2,,,,,,0.06,2020-03-22 15:30:02.542
93,118508,Angola,2,,2,,,,,,0.06,2020-03-22 15:40:01.608
94,118697,Angola,2,,2,,,,,,0.06,2020-03-22 15:50:02.028
95,118886,Angola,2,,2,,,,,,0.06,2020-03-22 16:00:01.887
96,119075,Angola,2,,2,,,,,,0.06,2020-03-22 16:10:02.607
97,119265,Angola,2,,2,,,,,,0.06,2020-03-22 16:40:02.392
98,119455,Angola,2,,2,,,,,,0.06,2020-03-22 16:50:02.248
99,119645,Angola,2,,2,,,,,,0.06,2020-03-22 17:00:02.174
100,119835,Angola,2,,2,,,,,,0.06,2020-03-22 17:10:01.966
101,120025,Angola,2,,2,,,,,,0.06,2020-03-22 17:20:01.901
102,120215,Angola,2,,2,,,,,,0.06,2020-03-22 17:30:03.26
103,120405,Angola,2,,2,,,,,,0.06,2020-03-22 17:40:03.136
104,120595,Angola,2,,2,,,,,,0.06,2020-03-22 17:50:01.957
105,120785,Angola,2,,2,,,,,,0.06,2020-03-22 18:00:01.753
106,120975,Angola,2,,2,,,,,,0.06,2020-03-22 18:10:02.492
107,121165,Angola,2,,2,,,,,,0.06,2020-03-22 18:30:02.036
108,121355,Angola,2,,2,,,,,,0.06,2020-03-22 18:40:02.238
109,121545,Angola,2,,2,,,,,,0.06,2020-03-22 18:50:02.468
110,121735,Angola,2,,2,,,,,,0.06,2020-03-22 19:00:01.712
111,121925,Angola,2,,2,,,,,,0.06,2020-03-22 19:10:01.802
112,122115,Angola,2,,2,,,,,,0.06,2020-03-22 19:20:01.774
113,122305,Angola,2,,2,,,,,,0.06,2020-03-22 19:30:02.213
114,122496,Angola,2,,2,,,,,,0.06,2020-03-22 19:40:02.298
115,122688,Angola,2,,2,,,,,,0.06,2020-03-22 19:50:02.038
116,122880,Angola,2,,2,,,,,,0.06,2020-03-22 20:00:02.199
117,123072,Angola,2,,2,,,,,,0.06,2020-03-22 20:10:02.435
118,123264,Angola,2,,2,,,,,,0.06,2020-03-22 20:20:01.689
119,123456,Angola,2,,2,,,,,,0.06,2020-03-22 20:30:01.705
120,123648,Angola,2,,2,,,,,,0.06,2020-03-22 20:40:02.242
121,123841,Angola,2,,2,,,,,,0.06,2020-03-22 20:50:02.144
122,124033,Angola,2,,2,,,,,,0.06,2020-03-22 21:00:01.651
123,124225,Angola,2,,2,,,,,,0.06,2020-03-22 21:10:02.274
124,124418,Angola,2,,2,,,,,,0.06,2020-03-22 21:20:02.379
125,124611,Angola,2,,2,,,,,,0.06,2020-03-22 21:30:02.09
126,124804,Angola,2,,2,,,,,,0.06,2020-03-22 21:40:02.262
127,124997,Angola,2,,2,,,,,,0.06,2020-03-22 21:50:02.451
128,125190,Angola,2,,2,,,,,,0.06,2020-03-22 22:00:02.593
129,125383,Angola,2,,2,,,,,,0.06,2020-03-22 22:10:02.087
130,125576,Angola,2,,2,,,,,,0.06,2020-03-22 22:20:01.881
131,125769,Angola,2,,2,,,,,,0.06,2020-03-22 22:30:01.794
132,125962,Angola,2,,2,,,,,,0.06,2020-03-22 22:40:01.8
133,126155,Angola,2,,2,,,,,,0.06,2020-03-22 22:50:01.828
134,126348,Angola,2,,2,,,,,,0.06,2020-03-22 23:00:02.502
135,126541,Angola,2,,2,,,,,,0.06,2020-03-22 23:10:02.549
136,126734,Angola,2,,2,,,,,,0.06,2020-03-22 23:20:01.891
137,126927,Angola,2,,2,,,,,,0.06,2020-03-22 23:30:01.863
138,127120,Angola,2,,2,,,,,,0.06,2020-03-22 23:40:02.207
139,127313,Angola,2,,2,,,,,,0.06,2020-03-22 23:50:01.664
140,127506,Angola,2,,2,,,,,,0.06,2020-03-23 00:00:02.179
