,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,237058,Anguilla,2,2,2,,,,,,133,2020-03-26 23:10:01.854
1,237258,Anguilla,2,2,2,,,,,,133,2020-03-27 00:10:01.942
2,237458,Anguilla,2,2,2,,,,,,133,2020-03-27 00:20:01.668
3,237658,Anguilla,2,2,2,,,,,,133,2020-03-27 00:30:01.879
4,237858,Anguilla,2,2,2,,,,,,133,2020-03-27 00:40:01.687
5,238058,Anguilla,2,2,2,,,,,,133,2020-03-27 00:50:02.597
6,238258,Anguilla,2,2,2,,,,,,133,2020-03-27 01:00:02.252
7,238458,Anguilla,2,2,2,,,,,,133,2020-03-27 01:10:02.263
8,238658,Anguilla,2,2,2,,,,,,133,2020-03-27 01:20:01.862
9,238858,Anguilla,2,2,2,,,,,,133,2020-03-27 01:30:02.492
10,239058,Anguilla,2,2,2,,,,,,133,2020-03-27 01:40:01.921
11,239258,Anguilla,2,2,2,,,,,,133,2020-03-27 01:50:02.283
12,239458,Anguilla,2,2,2,,,,,,133,2020-03-27 02:00:01.85
13,239658,Anguilla,2,2,2,,,,,,133,2020-03-27 02:10:01.9
14,239858,Anguilla,2,2,2,,,,,,133,2020-03-27 02:20:02.427
15,240058,Anguilla,2,2,2,,,,,,133,2020-03-27 02:30:01.997
16,240258,Anguilla,2,2,2,,,,,,133,2020-03-27 02:40:01.74
17,240458,Anguilla,2,,2,,,,,,133,2020-03-27 02:50:01.824
18,240658,Anguilla,2,,2,,,,,,133,2020-03-27 03:00:02.139
19,240859,Anguilla,2,,2,,,,,,133,2020-03-27 03:10:02.121
20,241059,Anguilla,2,,2,,,,,,133,2020-03-27 03:20:02.472
21,241259,Anguilla,2,,2,,,,,,133,2020-03-27 03:30:02.251
22,241459,Anguilla,2,,2,,,,,,133,2020-03-27 03:40:02.459
23,241659,Anguilla,2,,2,,,,,,133,2020-03-27 03:50:01.785
24,241859,Anguilla,2,,2,,,,,,133,2020-03-27 04:00:02.063
25,242059,Anguilla,2,,2,,,,,,133,2020-03-27 04:10:02.426
26,242259,Anguilla,2,,2,,,,,,133,2020-03-27 04:20:01.675
27,242459,Anguilla,2,,2,,,,,,133,2020-03-27 04:30:01.57
28,242660,Anguilla,2,,2,,,,,,133,2020-03-27 04:40:02.104
29,242860,Anguilla,2,,2,,,,,,133,2020-03-27 04:50:01.762
30,243060,Anguilla,2,,2,,,,,,133,2020-03-27 05:00:02.258
31,243260,Anguilla,2,,2,,,,,,133,2020-03-27 05:10:02.189
32,243460,Anguilla,2,,2,,,,,,133,2020-03-27 05:20:02.086
33,243660,Anguilla,2,,2,,,,,,133,2020-03-27 05:30:02.037
34,243860,Anguilla,2,,2,,,,,,133,2020-03-27 05:40:01.792
35,244060,Anguilla,2,,2,,,,,,133,2020-03-27 05:50:01.966
36,244260,Anguilla,2,,2,,,,,,133,2020-03-27 06:00:02.282
37,244460,Anguilla,2,,2,,,,,,133,2020-03-27 06:10:02.21
38,244660,Anguilla,2,,2,,,,,,133,2020-03-27 06:20:01.773
39,244860,Anguilla,2,,2,,,,,,133,2020-03-27 06:30:02.332
40,245060,Anguilla,2,,2,,,,,,133,2020-03-27 06:40:01.662
41,245260,Anguilla,2,,2,,,,,,133,2020-03-27 06:50:01.614
42,245460,Anguilla,2,,2,,,,,,133,2020-03-27 07:00:02.29
43,245660,Anguilla,2,,2,,,,,,133,2020-03-27 07:10:02.168
44,245860,Anguilla,2,,2,,,,,,133,2020-03-27 07:20:01.627
45,246060,Anguilla,2,,2,,,,,,133,2020-03-27 07:30:02.167
46,246260,Anguilla,2,,2,,,,,,133,2020-03-27 07:40:02.493
47,246460,Anguilla,2,,2,,,,,,133,2020-03-27 07:50:02.402
48,246660,Anguilla,2,,2,,,,,,133,2020-03-27 08:00:02.127
49,246860,Anguilla,2,,2,,,,,,133,2020-03-27 08:10:02.552
50,247060,Anguilla,2,,2,,,,,,133,2020-03-27 08:20:02.542
51,247261,Anguilla,2,,2,,,,,,133,2020-03-27 08:30:02.7
52,247461,Anguilla,2,,2,,,,,,133,2020-03-27 08:40:01.879
53,247661,Anguilla,2,,2,,,,,,133,2020-03-27 08:50:01.745
54,247861,Anguilla,2,,2,,,,,,133,2020-03-27 09:00:01.909
55,248061,Anguilla,2,,2,,,,,,133,2020-03-27 09:10:01.93
56,248261,Anguilla,2,,2,,,,,,133,2020-03-27 09:20:02.362
57,248461,Anguilla,2,,2,,,,,,133,2020-03-27 09:30:01.96
58,248661,Anguilla,2,,2,,,,,,133,2020-03-27 09:40:02.548
59,248861,Anguilla,2,,2,,,,,,133,2020-03-27 09:50:02.163
60,249061,Anguilla,2,,2,,,,,,133,2020-03-27 10:00:02.344
61,249261,Anguilla,2,,2,,,,,,133,2020-03-27 10:10:02.186
62,249461,Anguilla,2,,2,,,,,,133,2020-03-27 10:20:01.897
63,249661,Anguilla,2,,2,,,,,,133,2020-03-27 10:30:01.963
64,249861,Anguilla,2,,2,,,,,,133,2020-03-27 10:40:01.822
65,250061,Anguilla,2,,2,,,,,,133,2020-03-27 10:50:01.968
66,250261,Anguilla,2,,2,,,,,,133,2020-03-27 11:00:01.604
67,250461,Anguilla,2,,2,,,,,,133,2020-03-27 11:10:01.661
68,250661,Anguilla,2,,2,,,,,,133,2020-03-27 11:20:02.565
69,250861,Anguilla,2,,2,,,,,,133,2020-03-27 11:30:02.234
70,251061,Anguilla,2,,2,,,,,,133,2020-03-27 11:40:02.201
71,251261,Anguilla,2,,2,,,,,,133,2020-03-27 11:50:01.768
72,251461,Anguilla,2,,2,,,,,,133,2020-03-27 12:00:01.803
73,251661,Anguilla,2,,2,,,,,,133,2020-03-27 12:10:01.926
74,251861,Anguilla,2,,2,,,,,,133,2020-03-27 12:20:01.948
75,252061,Anguilla,2,,2,,,,,,133,2020-03-27 12:40:02.146
76,252261,Anguilla,2,,2,,,,,,133,2020-03-27 12:50:02.451
77,252461,Anguilla,2,,2,,,,,,133,2020-03-27 13:00:01.995
78,252661,Anguilla,2,,2,,,,,,133,2020-03-27 13:10:02.291
79,252861,Anguilla,2,,2,,,,,,133,2020-03-27 13:20:02.568
80,253061,Anguilla,2,,2,,,,,,133,2020-03-27 13:30:01.836
81,253261,Anguilla,2,,2,,,,,,133,2020-03-27 13:40:02.569
82,253461,Anguilla,2,,2,,,,,,133,2020-03-27 13:50:02.19
83,253661,Anguilla,2,,2,,,,,,133,2020-03-27 14:00:02.036
84,253861,Anguilla,2,,2,,,,,,133,2020-03-27 14:10:02.606
85,254061,Anguilla,2,,2,,,,,,133,2020-03-27 14:20:02.366
86,254261,Anguilla,2,,2,,,,,,133,2020-03-27 14:30:02.009
87,254461,Anguilla,2,,2,,,,,,133,2020-03-27 14:40:02.26
88,254661,Anguilla,2,,2,,,,,,133,2020-03-27 14:50:02.584
89,254861,Anguilla,2,,2,,,,,,133,2020-03-27 15:00:01.617
90,255061,Anguilla,2,,2,,,,,,133,2020-03-27 15:10:01.974
91,255261,Anguilla,2,,2,,,,,,133,2020-03-27 15:20:02.132
92,255461,Anguilla,2,,2,,,,,,133,2020-03-27 15:30:02.293
93,255661,Anguilla,2,,2,,,,,,133,2020-03-27 15:40:01.914
94,255861,Anguilla,2,,2,,,,,,133,2020-03-27 15:50:01.909
95,256061,Anguilla,2,,2,,,,,,133,2020-03-27 16:00:02.384
96,256261,Anguilla,2,,2,,,,,,133,2020-03-27 16:10:01.74
97,256461,Anguilla,2,,2,,,,,,133,2020-03-27 16:20:02.243
98,256661,Anguilla,2,,2,,,,,,133,2020-03-27 16:30:02.28
99,256861,Anguilla,2,,2,,,,,,133,2020-03-27 16:40:02.566
100,257061,Anguilla,2,,2,,,,,,133,2020-03-27 16:50:02.209
101,257261,Anguilla,2,,2,,,,,,133,2020-03-27 17:00:01.729
102,257461,Anguilla,2,,2,,,,,,133,2020-03-27 17:10:02.453
103,257661,Anguilla,2,,2,,,,,,133,2020-03-27 17:20:05.79
