,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100942,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 00:00:02.483
1,101131,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 00:10:02.327
2,101320,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 00:20:02.401
3,101509,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 00:30:02.053
4,101698,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 00:40:02.56
5,101887,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 00:50:01.898
6,102076,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 01:00:01.656
7,102265,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 01:10:02.184
8,102454,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 01:20:02.26
9,102643,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 01:30:02.051
10,102832,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 01:40:02.218
11,103021,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 01:50:02.054
12,103210,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 02:00:01.626
13,103399,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 02:10:01.659
14,103588,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 02:20:02.44
15,103777,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 02:30:01.848
16,103966,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 02:40:02.273
17,104155,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 02:50:01.692
18,104344,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 03:00:02.482
19,104533,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 03:10:02.128
20,104722,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 03:20:02.286
21,104911,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 03:30:01.618
22,105100,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 03:40:02.473
23,105289,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 03:50:02.419
24,105478,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 04:00:02.368
25,105667,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 04:10:02.471
26,105856,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 04:20:02.205
27,106045,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 04:30:01.838
28,106235,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 04:40:01.728
29,106424,Antigua and Barbuda,1,,1,,,,,,10,2020-03-22 04:50:02.186
