,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100831,Argentina,158,,151,4,1,3,,,3,2020-03-22 00:00:02.483
1,101020,Argentina,158,,151,4,1,3,,,3,2020-03-22 00:10:02.327
2,101209,Argentina,158,,151,4,1,3,,,3,2020-03-22 00:20:02.401
3,101398,Argentina,158,,151,4,1,3,,,3,2020-03-22 00:30:02.053
4,101587,Argentina,158,,151,4,1,3,,,3,2020-03-22 00:40:02.56
5,101776,Argentina,158,,151,4,1,3,,,3,2020-03-22 00:50:01.898
6,101965,Argentina,158,,151,4,1,3,,,3,2020-03-22 01:00:01.656
7,102154,Argentina,158,,151,4,1,3,,,3,2020-03-22 01:10:02.184
8,102343,Argentina,158,,151,4,1,3,,,3,2020-03-22 01:20:02.26
9,102532,Argentina,158,,151,4,1,3,,,3,2020-03-22 01:30:02.051
10,102721,Argentina,158,,151,4,1,3,,,3,2020-03-22 01:40:02.218
11,102910,Argentina,158,,151,4,1,3,,,3,2020-03-22 01:50:02.054
12,103099,Argentina,158,,151,4,1,3,,,3,2020-03-22 02:00:01.626
13,103288,Argentina,158,,151,4,1,3,,,3,2020-03-22 02:10:01.659
14,103477,Argentina,158,,151,4,1,3,,,3,2020-03-22 02:20:02.44
15,103666,Argentina,158,,151,4,1,3,,,3,2020-03-22 02:30:01.848
16,103855,Argentina,158,,151,4,1,3,,,3,2020-03-22 02:40:02.273
17,104044,Argentina,158,,151,4,1,3,,,3,2020-03-22 02:50:01.692
18,104233,Argentina,158,,151,4,1,3,,,3,2020-03-22 03:00:02.482
19,104422,Argentina,158,,151,4,1,3,,,3,2020-03-22 03:10:02.128
20,104611,Argentina,158,,151,4,1,3,,,3,2020-03-22 03:20:02.286
21,104800,Argentina,158,,151,4,,3,,,3,2020-03-22 03:30:01.618
22,104980,Argentina,225,67,218,4,,3,,,5,2020-03-22 03:40:02.473
23,105169,Argentina,225,67,194,4,,27,,,5,2020-03-22 03:50:02.419
24,105358,Argentina,225,67,194,4,,27,,,5,2020-03-22 04:00:02.368
25,105547,Argentina,225,67,194,4,,27,,,5,2020-03-22 04:10:02.471
26,105736,Argentina,225,67,194,4,,27,,,5,2020-03-22 04:20:02.205
27,105925,Argentina,225,67,194,4,,27,,,5,2020-03-22 04:30:01.838
28,106114,Argentina,225,67,194,4,,27,,,5,2020-03-22 04:40:01.728
29,106303,Argentina,225,67,194,4,,27,,,5,2020-03-22 04:50:02.186
30,106492,Argentina,225,67,194,4,,27,,,5,2020-03-22 05:00:02.283
31,106681,Argentina,225,67,194,4,,27,,,5,2020-03-22 05:10:02.023
32,106870,Argentina,225,67,194,4,,27,,,5,2020-03-22 05:20:02.539
33,107059,Argentina,225,67,194,4,,27,,,5,2020-03-22 05:30:01.917
34,107248,Argentina,225,67,194,4,,27,,,5,2020-03-22 05:40:02.393
35,107437,Argentina,225,67,194,4,,27,,,5,2020-03-22 05:50:01.706
36,107626,Argentina,225,67,194,4,,27,,,5,2020-03-22 06:00:02.31
37,107815,Argentina,225,67,194,4,,27,,,5,2020-03-22 06:10:02.48
38,108004,Argentina,225,67,194,4,,27,,,5,2020-03-22 06:20:02.308
39,108193,Argentina,225,67,194,4,,27,,,5,2020-03-22 06:30:02.468
40,108382,Argentina,225,67,194,4,,27,,,5,2020-03-22 06:40:01.627
41,108571,Argentina,225,67,194,4,,27,,,5,2020-03-22 06:50:02.568
42,108760,Argentina,225,67,194,4,,27,,,5,2020-03-22 07:00:01.882
43,108949,Argentina,225,67,194,4,,27,,,5,2020-03-22 07:10:01.602
44,109138,Argentina,225,67,194,4,,27,,,5,2020-03-22 07:20:01.725
45,109327,Argentina,225,67,194,4,,27,,,5,2020-03-22 07:30:02.517
46,109516,Argentina,225,67,194,4,,27,,,5,2020-03-22 07:40:02.004
47,109705,Argentina,225,67,194,4,,27,,,5,2020-03-22 07:50:01.639
48,109894,Argentina,225,67,194,4,,27,,,5,2020-03-22 08:00:02.288
49,110083,Argentina,225,67,194,4,,27,,,5,2020-03-22 08:10:01.955
50,110272,Argentina,225,67,194,4,,27,,,5,2020-03-22 08:20:02.461
51,110461,Argentina,225,67,194,4,,27,,,5,2020-03-22 08:30:01.924
52,110650,Argentina,225,67,194,4,,27,,,5,2020-03-22 08:40:02.277
53,110839,Argentina,225,67,194,4,,27,,,5,2020-03-22 08:50:01.998
54,111028,Argentina,225,67,194,4,,27,,,5,2020-03-22 09:00:02.386
55,111217,Argentina,225,67,194,4,,27,,,5,2020-03-22 09:10:02.333
56,111406,Argentina,225,67,194,4,,27,,,5,2020-03-22 09:20:01.679
57,111595,Argentina,225,67,194,4,,27,,,5,2020-03-22 09:30:01.858
58,111784,Argentina,225,67,194,4,,27,,,5,2020-03-22 09:40:02.077
59,111973,Argentina,225,67,194,4,,27,,,5,2020-03-22 09:50:02.389
60,112162,Argentina,225,67,194,4,,27,,,5,2020-03-22 10:00:01.658
61,112351,Argentina,225,67,194,4,,27,,,5,2020-03-22 10:10:02.03
62,112540,Argentina,225,67,194,4,,27,,,5,2020-03-22 10:20:02.283
63,112729,Argentina,225,67,194,4,,27,,,5,2020-03-22 10:30:02.203
64,112918,Argentina,225,67,194,4,,27,,,5,2020-03-22 10:50:02.099
65,113107,Argentina,225,67,194,4,,27,,,5,2020-03-22 11:00:01.809
66,113296,Argentina,225,67,194,4,,27,,,5,2020-03-22 11:10:02.337
67,113485,Argentina,225,67,194,4,,27,,,5,2020-03-22 11:20:02.297
68,113674,Argentina,225,67,194,4,,27,,,5,2020-03-22 11:30:02.571
69,113865,Argentina,225,67,194,4,,27,,,5,2020-03-22 11:40:01.658
70,114054,Argentina,225,67,194,4,,27,,,5,2020-03-22 11:50:02.534
71,114243,Argentina,225,67,194,4,,27,,,5,2020-03-22 12:00:01.655
72,114432,Argentina,225,67,194,4,,27,,,5,2020-03-22 12:10:02.323
73,114621,Argentina,225,67,194,4,,27,,,5,2020-03-22 12:20:01.826
74,114810,Argentina,225,67,194,4,,27,,,5,2020-03-22 12:30:02.517
75,114999,Argentina,225,67,194,4,,27,,,5,2020-03-22 12:40:02.46
76,115188,Argentina,225,67,194,4,,27,,,5,2020-03-22 12:50:02.108
77,115377,Argentina,225,67,194,4,,27,,,5,2020-03-22 13:00:01.691
78,115566,Argentina,225,67,194,4,,27,,,5,2020-03-22 13:10:01.964
79,115755,Argentina,225,67,194,4,,27,,,5,2020-03-22 13:20:01.995
80,115944,Argentina,225,67,194,4,,27,,,5,2020-03-22 13:30:02.353
81,116133,Argentina,225,67,194,4,,27,,,5,2020-03-22 13:40:02.609
82,116322,Argentina,225,67,194,4,,27,,,5,2020-03-22 13:50:01.753
83,116511,Argentina,225,67,194,4,,27,,,5,2020-03-22 14:00:02.347
84,116700,Argentina,225,67,194,4,,27,,,5,2020-03-22 14:10:02.014
85,116889,Argentina,225,67,194,4,,27,,,5,2020-03-22 14:20:01.732
86,117078,Argentina,225,67,194,4,,27,,,5,2020-03-22 14:30:02.279
87,117267,Argentina,225,67,194,4,,27,,,5,2020-03-22 14:40:01.994
88,117456,Argentina,225,67,194,4,,27,,,5,2020-03-22 14:50:01.896
89,117645,Argentina,225,67,194,4,,27,,,5,2020-03-22 15:00:01.708
90,117834,Argentina,225,67,194,4,,27,,,5,2020-03-22 15:10:01.808
91,118023,Argentina,225,67,194,4,,27,,,5,2020-03-22 15:20:02.115
92,118212,Argentina,225,67,194,4,,27,,,5,2020-03-22 15:30:02.542
93,118402,Argentina,225,67,194,4,,27,,,5,2020-03-22 15:40:01.608
94,118591,Argentina,225,67,194,4,,27,,,5,2020-03-22 15:50:02.028
