,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100911,Aruba,5,,4,,,1,,,47,2020-03-22 00:00:02.483
1,101100,Aruba,5,,4,,,1,,,47,2020-03-22 00:10:02.327
2,101289,Aruba,5,,4,,,1,,,47,2020-03-22 00:20:02.401
3,101478,Aruba,5,,4,,,1,,,47,2020-03-22 00:30:02.053
4,101667,Aruba,5,,4,,,1,,,47,2020-03-22 00:40:02.56
5,101856,Aruba,5,,4,,,1,,,47,2020-03-22 00:50:01.898
6,102045,Aruba,5,,4,,,1,,,47,2020-03-22 01:00:01.656
7,102234,Aruba,5,,4,,,1,,,47,2020-03-22 01:10:02.184
8,102423,Aruba,5,,4,,,1,,,47,2020-03-22 01:20:02.26
9,102612,Aruba,5,,4,,,1,,,47,2020-03-22 01:30:02.051
10,102801,Aruba,5,,4,,,1,,,47,2020-03-22 01:40:02.218
11,102990,Aruba,5,,4,,,1,,,47,2020-03-22 01:50:02.054
12,103179,Aruba,5,,4,,,1,,,47,2020-03-22 02:00:01.626
13,103368,Aruba,5,,4,,,1,,,47,2020-03-22 02:10:01.659
14,103557,Aruba,5,,4,,,1,,,47,2020-03-22 02:20:02.44
15,103746,Aruba,5,,4,,,1,,,47,2020-03-22 02:30:01.848
16,103935,Aruba,5,,4,,,1,,,47,2020-03-22 02:40:02.273
17,104124,Aruba,5,,4,,,1,,,47,2020-03-22 02:50:01.692
18,104313,Aruba,5,,4,,,1,,,47,2020-03-22 03:00:02.482
19,104502,Aruba,5,,4,,,1,,,47,2020-03-22 03:10:02.128
20,104691,Aruba,5,,4,,,1,,,47,2020-03-22 03:20:02.286
21,104880,Aruba,5,,4,,,1,,,47,2020-03-22 03:30:01.618
22,105069,Aruba,5,,4,,,1,,,47,2020-03-22 03:40:02.473
23,105258,Aruba,5,,4,,,1,,,47,2020-03-22 03:50:02.419
24,105447,Aruba,5,,4,,,1,,,47,2020-03-22 04:00:02.368
25,105636,Aruba,5,,4,,,1,,,47,2020-03-22 04:10:02.471
26,105825,Aruba,5,,4,,,1,,,47,2020-03-22 04:20:02.205
27,106014,Aruba,5,,4,,,1,,,47,2020-03-22 04:30:01.838
28,106197,Aruba,8,3,7,,,1,,,75,2020-03-22 04:40:01.728
29,106386,Aruba,8,3,7,,,1,,,75,2020-03-22 04:50:02.186
30,106575,Aruba,8,3,7,,,1,,,75,2020-03-22 05:00:02.283
31,106764,Aruba,8,3,7,,,1,,,75,2020-03-22 05:10:02.023
32,106953,Aruba,8,3,7,,,1,,,75,2020-03-22 05:20:02.539
33,107142,Aruba,8,3,7,,,1,,,75,2020-03-22 05:30:01.917
34,107331,Aruba,8,3,7,,,1,,,75,2020-03-22 05:40:02.393
35,107520,Aruba,8,3,7,,,1,,,75,2020-03-22 05:50:01.706
36,107709,Aruba,8,3,7,,,1,,,75,2020-03-22 06:00:02.31
37,107898,Aruba,8,3,7,,,1,,,75,2020-03-22 06:10:02.48
38,108087,Aruba,8,3,7,,,1,,,75,2020-03-22 06:20:02.308
39,108276,Aruba,8,3,7,,,1,,,75,2020-03-22 06:30:02.468
40,108465,Aruba,8,3,7,,,1,,,75,2020-03-22 06:40:01.627
41,108654,Aruba,8,3,7,,,1,,,75,2020-03-22 06:50:02.568
42,108843,Aruba,8,3,7,,,1,,,75,2020-03-22 07:00:01.882
43,109032,Aruba,8,3,7,,,1,,,75,2020-03-22 07:10:01.602
44,109221,Aruba,8,3,7,,,1,,,75,2020-03-22 07:20:01.725
45,109410,Aruba,8,3,7,,,1,,,75,2020-03-22 07:30:02.517
46,109599,Aruba,8,3,7,,,1,,,75,2020-03-22 07:40:02.004
47,109788,Aruba,8,3,7,,,1,,,75,2020-03-22 07:50:01.639
48,109977,Aruba,8,3,7,,,1,,,75,2020-03-22 08:00:02.288
49,110166,Aruba,8,3,7,,,1,,,75,2020-03-22 08:10:01.955
50,110355,Aruba,8,3,7,,,1,,,75,2020-03-22 08:20:02.461
51,110544,Aruba,8,3,7,,,1,,,75,2020-03-22 08:30:01.924
52,110733,Aruba,8,3,7,,,1,,,75,2020-03-22 08:40:02.277
53,110922,Aruba,8,3,7,,,1,,,75,2020-03-22 08:50:01.998
54,111111,Aruba,8,3,7,,,1,,,75,2020-03-22 09:00:02.386
55,111300,Aruba,8,3,7,,,1,,,75,2020-03-22 09:10:02.333
56,111489,Aruba,8,3,7,,,1,,,75,2020-03-22 09:20:01.679
57,111678,Aruba,8,3,7,,,1,,,75,2020-03-22 09:30:01.858
58,111867,Aruba,8,3,7,,,1,,,75,2020-03-22 09:40:02.077
59,112056,Aruba,8,3,7,,,1,,,75,2020-03-22 09:50:02.389
60,112245,Aruba,8,3,7,,,1,,,75,2020-03-22 10:00:01.658
61,112434,Aruba,8,3,7,,,1,,,75,2020-03-22 10:10:02.03
62,112623,Aruba,8,3,7,,,1,,,75,2020-03-22 10:20:02.283
63,112812,Aruba,8,3,7,,,1,,,75,2020-03-22 10:30:02.203
64,113001,Aruba,8,3,7,,,1,,,75,2020-03-22 10:50:02.099
65,113190,Aruba,8,3,7,,,1,,,75,2020-03-22 11:00:01.809
66,113379,Aruba,8,3,7,,,1,,,75,2020-03-22 11:10:02.337
67,113568,Aruba,8,3,7,,,1,,,75,2020-03-22 11:20:02.297
68,113757,Aruba,8,3,7,,,1,,,75,2020-03-22 11:30:02.571
69,113946,Aruba,8,3,7,,,1,,,75,2020-03-22 11:40:01.658
70,114135,Aruba,8,3,7,,,1,,,75,2020-03-22 11:50:02.534
71,114324,Aruba,8,3,7,,,1,,,75,2020-03-22 12:00:01.655
72,114513,Aruba,8,3,7,,,1,,,75,2020-03-22 12:10:02.323
73,114703,Aruba,8,3,7,,,1,,,75,2020-03-22 12:20:01.826
74,114892,Aruba,8,3,7,,,1,,,75,2020-03-22 12:30:02.517
75,115081,Aruba,8,3,7,,,1,,,75,2020-03-22 12:40:02.46
76,115270,Aruba,8,3,7,,,1,,,75,2020-03-22 12:50:02.108
77,115459,Aruba,8,3,7,,,1,,,75,2020-03-22 13:00:01.691
78,115648,Aruba,8,3,7,,,1,,,75,2020-03-22 13:10:01.964
79,115837,Aruba,8,3,7,,,1,,,75,2020-03-22 13:20:01.995
80,116026,Aruba,8,3,7,,,1,,,75,2020-03-22 13:30:02.353
81,116215,Aruba,8,3,7,,,1,,,75,2020-03-22 13:40:02.609
82,116404,Aruba,8,3,7,,,1,,,75,2020-03-22 13:50:01.753
83,116593,Aruba,8,3,7,,,1,,,75,2020-03-22 14:00:02.347
84,116782,Aruba,8,3,7,,,1,,,75,2020-03-22 14:10:02.014
85,116971,Aruba,8,3,7,,,1,,,75,2020-03-22 14:20:01.732
86,117160,Aruba,8,3,7,,,1,,,75,2020-03-22 14:30:02.279
87,117349,Aruba,8,3,7,,,1,,,75,2020-03-22 14:40:01.994
88,117539,Aruba,8,3,7,,,1,,,75,2020-03-22 14:50:01.896
89,117728,Aruba,8,3,7,,,1,,,75,2020-03-22 15:00:01.708
90,117917,Aruba,8,3,7,,,1,,,75,2020-03-22 15:10:01.808
91,118106,Aruba,8,3,7,,,1,,,75,2020-03-22 15:20:02.115
92,118295,Aruba,8,3,7,,,1,,,75,2020-03-22 15:30:02.542
93,118484,Aruba,8,3,7,,,1,,,75,2020-03-22 15:40:01.608
94,118673,Aruba,8,3,7,,,1,,,75,2020-03-22 15:50:02.028
95,118862,Aruba,8,3,7,,,1,,,75,2020-03-22 16:00:01.887
96,119051,Aruba,8,3,7,,,1,,,75,2020-03-22 16:10:02.607
97,119241,Aruba,8,3,7,,,1,,,75,2020-03-22 16:40:02.392
98,119431,Aruba,8,3,7,,,1,,,75,2020-03-22 16:50:02.248
99,119621,Aruba,8,3,7,,,1,,,75,2020-03-22 17:00:02.174
100,119811,Aruba,8,3,7,,,1,,,75,2020-03-22 17:10:01.966
101,120001,Aruba,8,3,7,,,1,,,75,2020-03-22 17:20:01.901
102,120191,Aruba,8,3,7,,,1,,,75,2020-03-22 17:30:03.26
103,120381,Aruba,8,3,7,,,1,,,75,2020-03-22 17:40:03.136
104,120571,Aruba,8,3,7,,,1,,,75,2020-03-22 17:50:01.957
105,120761,Aruba,8,3,7,,,1,,,75,2020-03-22 18:00:01.753
106,120951,Aruba,8,3,7,,,1,,,75,2020-03-22 18:10:02.492
107,121141,Aruba,8,3,7,,,1,,,75,2020-03-22 18:30:02.036
108,121331,Aruba,8,3,7,,,1,,,75,2020-03-22 18:40:02.238
109,121521,Aruba,8,3,7,,,1,,,75,2020-03-22 18:50:02.468
110,121711,Aruba,8,3,7,,,1,,,75,2020-03-22 19:00:01.712
111,121901,Aruba,8,3,7,,,1,,,75,2020-03-22 19:10:01.802
112,122091,Aruba,8,3,7,,,1,,,75,2020-03-22 19:20:01.774
113,122281,Aruba,8,3,7,,,1,,,75,2020-03-22 19:30:02.213
114,122472,Aruba,8,3,7,,,1,,,75,2020-03-22 19:40:02.298
115,122664,Aruba,8,3,7,,,1,,,75,2020-03-22 19:50:02.038
116,122856,Aruba,8,3,7,,,1,,,75,2020-03-22 20:00:02.199
117,123048,Aruba,8,3,7,,,1,,,75,2020-03-22 20:10:02.435
118,123240,Aruba,8,3,7,,,1,,,75,2020-03-22 20:20:01.689
119,123432,Aruba,8,3,7,,,1,,,75,2020-03-22 20:30:01.705
120,123624,Aruba,8,3,7,,,1,,,75,2020-03-22 20:40:02.242
121,123816,Aruba,8,3,7,,,1,,,75,2020-03-22 20:50:02.144
122,124008,Aruba,8,3,7,,,1,,,75,2020-03-22 21:00:01.651
123,124200,Aruba,8,3,7,,,1,,,75,2020-03-22 21:10:02.274
124,124393,Aruba,8,3,7,,,1,,,75,2020-03-22 21:20:02.379
125,124586,Aruba,8,3,7,,,1,,,75,2020-03-22 21:30:02.09
126,124779,Aruba,8,3,7,,,1,,,75,2020-03-22 21:40:02.262
