,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100788,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 00:00:02.483
1,100977,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 00:10:02.327
2,101166,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 00:20:02.401
3,101355,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 00:30:02.053
4,101544,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 00:40:02.56
5,101733,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 00:50:01.898
6,101922,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 01:00:01.656
7,102111,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 01:10:02.184
8,102300,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 01:20:02.26
9,102489,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 01:30:02.051
10,102678,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 01:40:02.218
11,102867,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 01:50:02.054
12,103056,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 02:00:01.626
13,103245,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 02:10:01.659
14,103434,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 02:20:02.44
15,103623,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 02:30:01.848
16,103812,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 02:40:02.273
17,104001,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 02:50:01.692
18,104190,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 03:00:02.482
19,104379,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 03:10:02.128
20,104568,Australia,"1,072",144,"1,019",7,,46,2,,42,2020-03-22 03:20:02.286
21,104757,Australia,"1,072",,"1,019",7,,46,2,,42,2020-03-22 03:30:01.618
22,104943,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 03:40:02.473
23,105132,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 03:50:02.419
24,105321,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 04:00:02.368
25,105510,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 04:10:02.471
26,105699,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 04:20:02.205
27,105888,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 04:30:01.838
28,106077,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 04:40:01.728
29,106266,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 04:50:02.186
30,106455,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 05:00:02.283
31,106644,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 05:10:02.023
32,106833,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 05:20:02.539
33,107022,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 05:30:01.917
34,107211,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 05:40:02.393
35,107400,Australia,"1,286",214,"1,233",7,,46,2,,50,2020-03-22 05:50:01.706
