,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100897,Barbados,14,8,14,,,,,,49,2020-03-22 00:00:02.483
1,101086,Barbados,14,8,14,,,,,,49,2020-03-22 00:10:02.327
2,101275,Barbados,14,8,14,,,,,,49,2020-03-22 00:20:02.401
3,101464,Barbados,14,8,14,,,,,,49,2020-03-22 00:30:02.053
4,101653,Barbados,14,8,14,,,,,,49,2020-03-22 00:40:02.56
5,101842,Barbados,14,8,14,,,,,,49,2020-03-22 00:50:01.898
6,102031,Barbados,14,8,14,,,,,,49,2020-03-22 01:00:01.656
7,102220,Barbados,14,8,14,,,,,,49,2020-03-22 01:10:02.184
8,102409,Barbados,14,8,14,,,,,,49,2020-03-22 01:20:02.26
9,102598,Barbados,14,8,14,,,,,,49,2020-03-22 01:30:02.051
10,102787,Barbados,14,8,14,,,,,,49,2020-03-22 01:40:02.218
11,102976,Barbados,14,8,14,,,,,,49,2020-03-22 01:50:02.054
12,103165,Barbados,14,8,14,,,,,,49,2020-03-22 02:00:01.626
13,103354,Barbados,14,8,14,,,,,,49,2020-03-22 02:10:01.659
14,103543,Barbados,14,8,14,,,,,,49,2020-03-22 02:20:02.44
15,103732,Barbados,14,8,14,,,,,,49,2020-03-22 02:30:01.848
16,103921,Barbados,14,8,14,,,,,,49,2020-03-22 02:40:02.273
17,104110,Barbados,14,8,14,,,,,,49,2020-03-22 02:50:01.692
18,104299,Barbados,14,8,14,,,,,,49,2020-03-22 03:00:02.482
19,104488,Barbados,14,8,14,,,,,,49,2020-03-22 03:10:02.128
20,104677,Barbados,14,8,14,,,,,,49,2020-03-22 03:20:02.286
21,104866,Barbados,14,,14,,,,,,49,2020-03-22 03:30:01.618
22,105055,Barbados,14,,14,,,,,,49,2020-03-22 03:40:02.473
23,105244,Barbados,14,,14,,,,,,49,2020-03-22 03:50:02.419
24,105433,Barbados,14,,14,,,,,,49,2020-03-22 04:00:02.368
25,105622,Barbados,14,,14,,,,,,49,2020-03-22 04:10:02.471
26,105811,Barbados,14,,14,,,,,,49,2020-03-22 04:20:02.205
27,106000,Barbados,14,,14,,,,,,49,2020-03-22 04:30:01.838
28,106189,Barbados,14,,14,,,,,,49,2020-03-22 04:40:01.728
29,106378,Barbados,14,,14,,,,,,49,2020-03-22 04:50:02.186
30,106567,Barbados,14,,14,,,,,,49,2020-03-22 05:00:02.283
31,106756,Barbados,14,,14,,,,,,49,2020-03-22 05:10:02.023
32,106945,Barbados,14,,14,,,,,,49,2020-03-22 05:20:02.539
33,107134,Barbados,14,,14,,,,,,49,2020-03-22 05:30:01.917
34,107323,Barbados,14,,14,,,,,,49,2020-03-22 05:40:02.393
35,107512,Barbados,14,,14,,,,,,49,2020-03-22 05:50:01.706
36,107701,Barbados,14,,14,,,,,,49,2020-03-22 06:00:02.31
37,107890,Barbados,14,,14,,,,,,49,2020-03-22 06:10:02.48
38,108079,Barbados,14,,14,,,,,,49,2020-03-22 06:20:02.308
39,108268,Barbados,14,,14,,,,,,49,2020-03-22 06:30:02.468
40,108457,Barbados,14,,14,,,,,,49,2020-03-22 06:40:01.627
41,108646,Barbados,14,,14,,,,,,49,2020-03-22 06:50:02.568
42,108835,Barbados,14,,14,,,,,,49,2020-03-22 07:00:01.882
43,109024,Barbados,14,,14,,,,,,49,2020-03-22 07:10:01.602
44,109213,Barbados,14,,14,,,,,,49,2020-03-22 07:20:01.725
45,109402,Barbados,14,,14,,,,,,49,2020-03-22 07:30:02.517
46,109591,Barbados,14,,14,,,,,,49,2020-03-22 07:40:02.004
47,109780,Barbados,14,,14,,,,,,49,2020-03-22 07:50:01.639
48,109969,Barbados,14,,14,,,,,,49,2020-03-22 08:00:02.288
49,110158,Barbados,14,,14,,,,,,49,2020-03-22 08:10:01.955
50,110347,Barbados,14,,14,,,,,,49,2020-03-22 08:20:02.461
51,110536,Barbados,14,,14,,,,,,49,2020-03-22 08:30:01.924
52,110725,Barbados,14,,14,,,,,,49,2020-03-22 08:40:02.277
53,110914,Barbados,14,,14,,,,,,49,2020-03-22 08:50:01.998
54,111103,Barbados,14,,14,,,,,,49,2020-03-22 09:00:02.386
55,111292,Barbados,14,,14,,,,,,49,2020-03-22 09:10:02.333
56,111481,Barbados,14,,14,,,,,,49,2020-03-22 09:20:01.679
57,111670,Barbados,14,,14,,,,,,49,2020-03-22 09:30:01.858
58,111859,Barbados,14,,14,,,,,,49,2020-03-22 09:40:02.077
59,112048,Barbados,14,,14,,,,,,49,2020-03-22 09:50:02.389
60,112237,Barbados,14,,14,,,,,,49,2020-03-22 10:00:01.658
61,112426,Barbados,14,,14,,,,,,49,2020-03-22 10:10:02.03
62,112615,Barbados,14,,14,,,,,,49,2020-03-22 10:20:02.283
63,112804,Barbados,14,,14,,,,,,49,2020-03-22 10:30:02.203
64,112993,Barbados,14,,14,,,,,,49,2020-03-22 10:50:02.099
65,113182,Barbados,14,,14,,,,,,49,2020-03-22 11:00:01.809
66,113371,Barbados,14,,14,,,,,,49,2020-03-22 11:10:02.337
67,113560,Barbados,14,,14,,,,,,49,2020-03-22 11:20:02.297
68,113749,Barbados,14,,14,,,,,,49,2020-03-22 11:30:02.571
69,113938,Barbados,14,,14,,,,,,49,2020-03-22 11:40:01.658
70,114127,Barbados,14,,14,,,,,,49,2020-03-22 11:50:02.534
