,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100780,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 00:00:02.483
1,100969,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 00:10:02.327
2,101158,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 00:20:02.401
3,101347,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 00:30:02.053
4,101536,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 00:40:02.56
5,101725,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 00:50:01.898
6,101914,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 01:00:01.656
7,102103,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 01:10:02.184
8,102292,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 01:20:02.26
9,102481,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 01:30:02.051
10,102670,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 01:40:02.218
11,102859,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 01:50:02.054
12,103048,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 02:00:01.626
13,103237,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 02:10:01.659
14,103426,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 02:20:02.44
15,103615,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 02:30:01.848
16,103804,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 02:40:02.273
17,103993,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 02:50:01.692
18,104182,Belgium,"2,815",558,"2,485",67,30,263,288,,243,2020-03-22 03:00:02.482
