,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100930,Bermuda,2,,2,,,,,,32,2020-03-22 00:00:02.483
1,101119,Bermuda,2,,2,,,,,,32,2020-03-22 00:10:02.327
2,101308,Bermuda,2,,2,,,,,,32,2020-03-22 00:20:02.401
3,101497,Bermuda,2,,2,,,,,,32,2020-03-22 00:30:02.053
4,101686,Bermuda,2,,2,,,,,,32,2020-03-22 00:40:02.56
5,101875,Bermuda,2,,2,,,,,,32,2020-03-22 00:50:01.898
6,102064,Bermuda,2,,2,,,,,,32,2020-03-22 01:00:01.656
7,102253,Bermuda,2,,2,,,,,,32,2020-03-22 01:10:02.184
8,102442,Bermuda,2,,2,,,,,,32,2020-03-22 01:20:02.26
9,102631,Bermuda,2,,2,,,,,,32,2020-03-22 01:30:02.051
10,102820,Bermuda,2,,2,,,,,,32,2020-03-22 01:40:02.218
11,103009,Bermuda,2,,2,,,,,,32,2020-03-22 01:50:02.054
12,103198,Bermuda,2,,2,,,,,,32,2020-03-22 02:00:01.626
13,103387,Bermuda,2,,2,,,,,,32,2020-03-22 02:10:01.659
14,103576,Bermuda,2,,2,,,,,,32,2020-03-22 02:20:02.44
15,103765,Bermuda,2,,2,,,,,,32,2020-03-22 02:30:01.848
16,103954,Bermuda,2,,2,,,,,,32,2020-03-22 02:40:02.273
17,104143,Bermuda,2,,2,,,,,,32,2020-03-22 02:50:01.692
18,104332,Bermuda,2,,2,,,,,,32,2020-03-22 03:00:02.482
19,104521,Bermuda,2,,2,,,,,,32,2020-03-22 03:10:02.128
20,104710,Bermuda,2,,2,,,,,,32,2020-03-22 03:20:02.286
21,104899,Bermuda,2,,2,,,,,,32,2020-03-22 03:30:01.618
22,105088,Bermuda,2,,2,,,,,,32,2020-03-22 03:40:02.473
23,105277,Bermuda,2,,2,,,,,,32,2020-03-22 03:50:02.419
24,105466,Bermuda,2,,2,,,,,,32,2020-03-22 04:00:02.368
25,105655,Bermuda,2,,2,,,,,,32,2020-03-22 04:10:02.471
26,105844,Bermuda,2,,2,,,,,,32,2020-03-22 04:20:02.205
27,106033,Bermuda,2,,2,,,,,,32,2020-03-22 04:30:01.838
28,106223,Bermuda,2,,2,,,,,,32,2020-03-22 04:40:01.728
29,106412,Bermuda,2,,2,,,,,,32,2020-03-22 04:50:02.186
30,106601,Bermuda,2,,2,,,,,,32,2020-03-22 05:00:02.283
31,106790,Bermuda,2,,2,,,,,,32,2020-03-22 05:10:02.023
32,106979,Bermuda,2,,2,,,,,,32,2020-03-22 05:20:02.539
33,107168,Bermuda,2,,2,,,,,,32,2020-03-22 05:30:01.917
34,107357,Bermuda,2,,2,,,,,,32,2020-03-22 05:40:02.393
35,107546,Bermuda,2,,2,,,,,,32,2020-03-22 05:50:01.706
36,107735,Bermuda,2,,2,,,,,,32,2020-03-22 06:00:02.31
37,107924,Bermuda,2,,2,,,,,,32,2020-03-22 06:10:02.48
38,108113,Bermuda,2,,2,,,,,,32,2020-03-22 06:20:02.308
39,108302,Bermuda,2,,2,,,,,,32,2020-03-22 06:30:02.468
40,108491,Bermuda,2,,2,,,,,,32,2020-03-22 06:40:01.627
41,108680,Bermuda,2,,2,,,,,,32,2020-03-22 06:50:02.568
42,108869,Bermuda,2,,2,,,,,,32,2020-03-22 07:00:01.882
43,109058,Bermuda,2,,2,,,,,,32,2020-03-22 07:10:01.602
44,109247,Bermuda,2,,2,,,,,,32,2020-03-22 07:20:01.725
45,109436,Bermuda,2,,2,,,,,,32,2020-03-22 07:30:02.517
46,109625,Bermuda,2,,2,,,,,,32,2020-03-22 07:40:02.004
47,109814,Bermuda,2,,2,,,,,,32,2020-03-22 07:50:01.639
48,110003,Bermuda,2,,2,,,,,,32,2020-03-22 08:00:02.288
49,110192,Bermuda,2,,2,,,,,,32,2020-03-22 08:10:01.955
50,110381,Bermuda,2,,2,,,,,,32,2020-03-22 08:20:02.461
51,110570,Bermuda,2,,2,,,,,,32,2020-03-22 08:30:01.924
52,110759,Bermuda,2,,2,,,,,,32,2020-03-22 08:40:02.277
53,110948,Bermuda,2,,2,,,,,,32,2020-03-22 08:50:01.998
54,111137,Bermuda,2,,2,,,,,,32,2020-03-22 09:00:02.386
55,111326,Bermuda,2,,2,,,,,,32,2020-03-22 09:10:02.333
56,111515,Bermuda,2,,2,,,,,,32,2020-03-22 09:20:01.679
