,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100828,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 00:00:02.483
1,101017,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 00:10:02.327
2,101206,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 00:20:02.401
3,101395,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 00:30:02.053
4,101584,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 00:40:02.56
5,101773,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 00:50:01.898
6,101962,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 01:00:01.656
7,102151,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 01:10:02.184
8,102340,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 01:20:02.26
9,102529,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 01:30:02.051
10,102718,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 01:40:02.218
11,102907,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 01:50:02.054
12,103096,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 02:00:01.626
13,103285,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 02:10:01.659
14,103474,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 02:20:02.44
15,103663,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 02:30:01.848
16,103852,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 02:40:02.273
17,104041,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 02:50:01.692
18,104230,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 03:00:02.482
19,104419,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 03:10:02.128
20,104608,Bulgaria,163,36,157,3,,3,3,,23,2020-03-22 03:20:02.286
21,104797,Bulgaria,163,,157,3,,3,3,,23,2020-03-22 03:30:01.618
22,104987,Bulgaria,163,,157,3,,3,3,,23,2020-03-22 03:40:02.473
23,105176,Bulgaria,163,,157,3,,3,3,,23,2020-03-22 03:50:02.419
