,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100871,Cameroon,40,13,38,,,2,,,2,2020-03-22 00:00:02.483
1,101060,Cameroon,40,13,38,,,2,,,2,2020-03-22 00:10:02.327
2,101249,Cameroon,40,13,38,,,2,,,2,2020-03-22 00:20:02.401
3,101438,Cameroon,40,13,38,,,2,,,2,2020-03-22 00:30:02.053
4,101627,Cameroon,40,13,38,,,2,,,2,2020-03-22 00:40:02.56
5,101816,Cameroon,40,13,38,,,2,,,2,2020-03-22 00:50:01.898
6,102005,Cameroon,40,13,38,,,2,,,2,2020-03-22 01:00:01.656
7,102194,Cameroon,40,13,38,,,2,,,2,2020-03-22 01:10:02.184
8,102383,Cameroon,40,13,38,,,2,,,2,2020-03-22 01:20:02.26
9,102572,Cameroon,40,13,38,,,2,,,2,2020-03-22 01:30:02.051
10,102761,Cameroon,40,13,38,,,2,,,2,2020-03-22 01:40:02.218
11,102950,Cameroon,40,13,38,,,2,,,2,2020-03-22 01:50:02.054
12,103139,Cameroon,40,13,38,,,2,,,2,2020-03-22 02:00:01.626
13,103328,Cameroon,40,13,38,,,2,,,2,2020-03-22 02:10:01.659
14,103517,Cameroon,40,13,38,,,2,,,2,2020-03-22 02:20:02.44
15,103706,Cameroon,40,13,38,,,2,,,2,2020-03-22 02:30:01.848
16,103895,Cameroon,40,13,38,,,2,,,2,2020-03-22 02:40:02.273
17,104084,Cameroon,40,13,38,,,2,,,2,2020-03-22 02:50:01.692
18,104273,Cameroon,40,13,38,,,2,,,2,2020-03-22 03:00:02.482
19,104462,Cameroon,40,13,38,,,2,,,2,2020-03-22 03:10:02.128
20,104651,Cameroon,40,13,38,,,2,,,2,2020-03-22 03:20:02.286
21,104840,Cameroon,40,,38,,,2,,,2,2020-03-22 03:30:01.618
22,105029,Cameroon,40,,38,,,2,,,2,2020-03-22 03:40:02.473
23,105218,Cameroon,40,,38,,,2,,,2,2020-03-22 03:50:02.419
24,105407,Cameroon,40,,38,,,2,,,2,2020-03-22 04:00:02.368
25,105596,Cameroon,40,,38,,,2,,,2,2020-03-22 04:10:02.471
26,105785,Cameroon,40,,38,,,2,,,2,2020-03-22 04:20:02.205
27,105974,Cameroon,40,,38,,,2,,,2,2020-03-22 04:30:01.838
28,106163,Cameroon,40,,38,,,2,,,2,2020-03-22 04:40:01.728
29,106352,Cameroon,40,,38,,,2,,,2,2020-03-22 04:50:02.186
30,106541,Cameroon,40,,38,,,2,,,2,2020-03-22 05:00:02.283
31,106730,Cameroon,40,,38,,,2,,,2,2020-03-22 05:10:02.023
32,106919,Cameroon,40,,38,,,2,,,2,2020-03-22 05:20:02.539
33,107108,Cameroon,40,,38,,,2,,,2,2020-03-22 05:30:01.917
34,107297,Cameroon,40,,38,,,2,,,2,2020-03-22 05:40:02.393
35,107486,Cameroon,40,,38,,,2,,,2,2020-03-22 05:50:01.706
36,107675,Cameroon,40,,38,,,2,,,2,2020-03-22 06:00:02.31
37,107864,Cameroon,40,,38,,,2,,,2,2020-03-22 06:10:02.48
38,108053,Cameroon,40,,38,,,2,,,2,2020-03-22 06:20:02.308
39,108242,Cameroon,40,,38,,,2,,,2,2020-03-22 06:30:02.468
40,108431,Cameroon,40,,38,,,2,,,2,2020-03-22 06:40:01.627
41,108620,Cameroon,40,,38,,,2,,,2,2020-03-22 06:50:02.568
42,108809,Cameroon,40,,38,,,2,,,2,2020-03-22 07:00:01.882
43,108998,Cameroon,40,,38,,,2,,,2,2020-03-22 07:10:01.602
44,109187,Cameroon,40,,38,,,2,,,2,2020-03-22 07:20:01.725
45,109376,Cameroon,40,,38,,,2,,,2,2020-03-22 07:30:02.517
46,109565,Cameroon,40,,38,,,2,,,2,2020-03-22 07:40:02.004
47,109754,Cameroon,40,,38,,,2,,,2,2020-03-22 07:50:01.639
48,109943,Cameroon,40,,38,,,2,,,2,2020-03-22 08:00:02.288
49,110132,Cameroon,40,,38,,,2,,,2,2020-03-22 08:10:01.955
50,110321,Cameroon,40,,38,,,2,,,2,2020-03-22 08:20:02.461
51,110510,Cameroon,40,,38,,,2,,,2,2020-03-22 08:30:01.924
52,110699,Cameroon,40,,38,,,2,,,2,2020-03-22 08:40:02.277
53,110888,Cameroon,40,,38,,,2,,,2,2020-03-22 08:50:01.998
54,111077,Cameroon,40,,38,,,2,,,2,2020-03-22 09:00:02.386
55,111266,Cameroon,40,,38,,,2,,,2,2020-03-22 09:10:02.333
56,111455,Cameroon,40,,38,,,2,,,2,2020-03-22 09:20:01.679
57,111644,Cameroon,40,,38,,,2,,,2,2020-03-22 09:30:01.858
58,111833,Cameroon,40,,38,,,2,,,2,2020-03-22 09:40:02.077
59,112022,Cameroon,40,,38,,,2,,,2,2020-03-22 09:50:02.389
