,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100783,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 00:00:02.483
1,100972,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 00:10:02.327
2,101161,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 00:20:02.401
3,101350,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 00:30:02.053
4,101539,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 00:40:02.56
5,101728,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 00:50:01.898
6,101917,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 01:00:01.656
7,102106,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 01:10:02.184
8,102295,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 01:20:02.26
9,102484,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 01:30:02.051
10,102673,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 01:40:02.218
11,102862,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 01:50:02.054
12,103051,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 02:00:01.626
13,103240,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 02:10:01.659
14,103429,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 02:20:02.44
15,103618,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 02:30:01.848
16,103807,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 02:40:02.273
17,103996,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 02:50:01.692
18,104185,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 03:00:02.482
19,104374,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 03:10:02.128
20,104563,Canada,"1,328",241,"1,295",19,7,14,1,,35,2020-03-22 03:20:02.286
21,104752,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 03:30:01.618
22,104941,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 03:40:02.473
23,105130,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 03:50:02.419
24,105319,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 04:00:02.368
25,105508,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 04:10:02.471
26,105697,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 04:20:02.205
27,105886,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 04:30:01.838
28,106075,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 04:40:01.728
29,106264,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 04:50:02.186
30,106453,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 05:00:02.283
31,106642,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 05:10:02.023
32,106831,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 05:20:02.539
33,107020,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 05:30:01.917
34,107209,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 05:40:02.393
35,107398,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 05:50:01.706
36,107587,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 06:00:02.31
37,107776,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 06:10:02.48
38,107965,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 06:20:02.308
39,108154,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 06:30:02.468
40,108343,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 06:40:01.627
41,108532,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 06:50:02.568
42,108721,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 07:00:01.882
43,108910,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 07:10:01.602
44,109099,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 07:20:01.725
45,109288,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 07:30:02.517
46,109477,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 07:40:02.004
47,109666,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 07:50:01.639
48,109855,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 08:00:02.288
49,110044,Canada,"1,328",,"1,295",19,,14,1,,35,2020-03-22 08:10:01.955
