,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100943,Chad,1,,1,,,,,,0.06,2020-03-22 00:00:02.483
1,101132,Chad,1,,1,,,,,,0.06,2020-03-22 00:10:02.327
2,101321,Chad,1,,1,,,,,,0.06,2020-03-22 00:20:02.401
3,101510,Chad,1,,1,,,,,,0.06,2020-03-22 00:30:02.053
4,101699,Chad,1,,1,,,,,,0.06,2020-03-22 00:40:02.56
5,101888,Chad,1,,1,,,,,,0.06,2020-03-22 00:50:01.898
6,102077,Chad,1,,1,,,,,,0.06,2020-03-22 01:00:01.656
7,102266,Chad,1,,1,,,,,,0.06,2020-03-22 01:10:02.184
8,102455,Chad,1,,1,,,,,,0.06,2020-03-22 01:20:02.26
9,102644,Chad,1,,1,,,,,,0.06,2020-03-22 01:30:02.051
10,102833,Chad,1,,1,,,,,,0.06,2020-03-22 01:40:02.218
11,103022,Chad,1,,1,,,,,,0.06,2020-03-22 01:50:02.054
12,103211,Chad,1,,1,,,,,,0.06,2020-03-22 02:00:01.626
13,103400,Chad,1,,1,,,,,,0.06,2020-03-22 02:10:01.659
14,103589,Chad,1,,1,,,,,,0.06,2020-03-22 02:20:02.44
15,103778,Chad,1,,1,,,,,,0.06,2020-03-22 02:30:01.848
16,103967,Chad,1,,1,,,,,,0.06,2020-03-22 02:40:02.273
17,104156,Chad,1,,1,,,,,,0.06,2020-03-22 02:50:01.692
18,104345,Chad,1,,1,,,,,,0.06,2020-03-22 03:00:02.482
19,104534,Chad,1,,1,,,,,,0.06,2020-03-22 03:10:02.128
20,104723,Chad,1,,1,,,,,,0.06,2020-03-22 03:20:02.286
21,104912,Chad,1,,1,,,,,,0.06,2020-03-22 03:30:01.618
22,105101,Chad,1,,1,,,,,,0.06,2020-03-22 03:40:02.473
23,105290,Chad,1,,1,,,,,,0.06,2020-03-22 03:50:02.419
24,105479,Chad,1,,1,,,,,,0.06,2020-03-22 04:00:02.368
25,105668,Chad,1,,1,,,,,,0.06,2020-03-22 04:10:02.471
26,105857,Chad,1,,1,,,,,,0.06,2020-03-22 04:20:02.205
27,106046,Chad,1,,1,,,,,,0.06,2020-03-22 04:30:01.838
28,106236,Chad,1,,1,,,,,,0.06,2020-03-22 04:40:01.728
29,106425,Chad,1,,1,,,,,,0.06,2020-03-22 04:50:02.186
30,106614,Chad,1,,1,,,,,,0.06,2020-03-22 05:00:02.283
31,106803,Chad,1,,1,,,,,,0.06,2020-03-22 05:10:02.023
32,106992,Chad,1,,1,,,,,,0.06,2020-03-22 05:20:02.539
33,107181,Chad,1,,1,,,,,,0.06,2020-03-22 05:30:01.917
34,107370,Chad,1,,1,,,,,,0.06,2020-03-22 05:40:02.393
35,107559,Chad,1,,1,,,,,,0.06,2020-03-22 05:50:01.706
36,107748,Chad,1,,1,,,,,,0.06,2020-03-22 06:00:02.31
37,107937,Chad,1,,1,,,,,,0.06,2020-03-22 06:10:02.48
38,108126,Chad,1,,1,,,,,,0.06,2020-03-22 06:20:02.308
39,108315,Chad,1,,1,,,,,,0.06,2020-03-22 06:30:02.468
40,108504,Chad,1,,1,,,,,,0.06,2020-03-22 06:40:01.627
41,108693,Chad,1,,1,,,,,,0.06,2020-03-22 06:50:02.568
42,108882,Chad,1,,1,,,,,,0.06,2020-03-22 07:00:01.882
43,109071,Chad,1,,1,,,,,,0.06,2020-03-22 07:10:01.602
44,109260,Chad,1,,1,,,,,,0.06,2020-03-22 07:20:01.725
45,109449,Chad,1,,1,,,,,,0.06,2020-03-22 07:30:02.517
46,109638,Chad,1,,1,,,,,,0.06,2020-03-22 07:40:02.004
47,109827,Chad,1,,1,,,,,,0.06,2020-03-22 07:50:01.639
48,110016,Chad,1,,1,,,,,,0.06,2020-03-22 08:00:02.288
49,110205,Chad,1,,1,,,,,,0.06,2020-03-22 08:10:01.955
50,110394,Chad,1,,1,,,,,,0.06,2020-03-22 08:20:02.461
51,110583,Chad,1,,1,,,,,,0.06,2020-03-22 08:30:01.924
52,110772,Chad,1,,1,,,,,,0.06,2020-03-22 08:40:02.277
53,110961,Chad,1,,1,,,,,,0.06,2020-03-22 08:50:01.998
54,111150,Chad,1,,1,,,,,,0.06,2020-03-22 09:00:02.386
55,111339,Chad,1,,1,,,,,,0.06,2020-03-22 09:10:02.333
56,111528,Chad,1,,1,,,,,,0.06,2020-03-22 09:20:01.679
57,111717,Chad,1,,1,,,,,,0.06,2020-03-22 09:30:01.858
58,111906,Chad,1,,1,,,,,,0.06,2020-03-22 09:40:02.077
59,112095,Chad,1,,1,,,,,,0.06,2020-03-22 09:50:02.389
60,112284,Chad,1,,1,,,,,,0.06,2020-03-22 10:00:01.658
61,112473,Chad,1,,1,,,,,,0.06,2020-03-22 10:10:02.03
62,112662,Chad,1,,1,,,,,,0.06,2020-03-22 10:20:02.283
63,112851,Chad,1,,1,,,,,,0.06,2020-03-22 10:30:02.203
64,113040,Chad,1,,1,,,,,,0.06,2020-03-22 10:50:02.099
65,113229,Chad,1,,1,,,,,,0.06,2020-03-22 11:00:01.809
66,113418,Chad,1,,1,,,,,,0.06,2020-03-22 11:10:02.337
67,113607,Chad,1,,1,,,,,,0.06,2020-03-22 11:20:02.297
68,113796,Chad,1,,1,,,,,,0.06,2020-03-22 11:30:02.571
69,113985,Chad,1,,1,,,,,,0.06,2020-03-22 11:40:01.658
70,114174,Chad,1,,1,,,,,,0.06,2020-03-22 11:50:02.534
71,114363,Chad,1,,1,,,,,,0.06,2020-03-22 12:00:01.655
72,114552,Chad,1,,1,,,,,,0.06,2020-03-22 12:10:02.323
73,114741,Chad,1,,1,,,,,,0.06,2020-03-22 12:20:01.826
74,114930,Chad,1,,1,,,,,,0.06,2020-03-22 12:30:02.517
75,115119,Chad,1,,1,,,,,,0.06,2020-03-22 12:40:02.46
76,115308,Chad,1,,1,,,,,,0.06,2020-03-22 12:50:02.108
77,115497,Chad,1,,1,,,,,,0.06,2020-03-22 13:00:01.691
78,115686,Chad,1,,1,,,,,,0.06,2020-03-22 13:10:01.964
79,115875,Chad,1,,1,,,,,,0.06,2020-03-22 13:20:01.995
80,116064,Chad,1,,1,,,,,,0.06,2020-03-22 13:30:02.353
81,116254,Chad,1,,1,,,,,,0.06,2020-03-22 13:40:02.609
82,116443,Chad,1,,1,,,,,,0.06,2020-03-22 13:50:01.753
83,116632,Chad,1,,1,,,,,,0.06,2020-03-22 14:00:02.347
84,116821,Chad,1,,1,,,,,,0.06,2020-03-22 14:10:02.014
85,117010,Chad,1,,1,,,,,,0.06,2020-03-22 14:20:01.732
86,117199,Chad,1,,1,,,,,,0.06,2020-03-22 14:30:02.279
87,117388,Chad,1,,1,,,,,,0.06,2020-03-22 14:40:01.994
88,117577,Chad,1,,1,,,,,,0.06,2020-03-22 14:50:01.896
89,117766,Chad,1,,1,,,,,,0.06,2020-03-22 15:00:01.708
90,117955,Chad,1,,1,,,,,,0.06,2020-03-22 15:10:01.808
91,118144,Chad,1,,1,,,,,,0.06,2020-03-22 15:20:02.115
92,118333,Chad,1,,1,,,,,,0.06,2020-03-22 15:30:02.542
93,118522,Chad,1,,1,,,,,,0.06,2020-03-22 15:40:01.608
94,118711,Chad,1,,1,,,,,,0.06,2020-03-22 15:50:02.028
95,118900,Chad,1,,1,,,,,,0.06,2020-03-22 16:00:01.887
96,119089,Chad,1,,1,,,,,,0.06,2020-03-22 16:10:02.607
97,119279,Chad,1,,1,,,,,,0.06,2020-03-22 16:40:02.392
98,119469,Chad,1,,1,,,,,,0.06,2020-03-22 16:50:02.248
