,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100881,Cuba,21,,20,1,,,,,2,2020-03-22 00:00:02.483
1,101070,Cuba,21,,20,1,,,,,2,2020-03-22 00:10:02.327
2,101259,Cuba,21,,20,1,,,,,2,2020-03-22 00:20:02.401
3,101448,Cuba,21,,20,1,,,,,2,2020-03-22 00:30:02.053
4,101637,Cuba,21,,20,1,,,,,2,2020-03-22 00:40:02.56
5,101826,Cuba,21,,20,1,,,,,2,2020-03-22 00:50:01.898
6,102015,Cuba,21,,20,1,,,,,2,2020-03-22 01:00:01.656
7,102204,Cuba,21,,20,1,,,,,2,2020-03-22 01:10:02.184
8,102393,Cuba,21,,20,1,,,,,2,2020-03-22 01:20:02.26
9,102582,Cuba,21,,20,1,,,,,2,2020-03-22 01:30:02.051
10,102771,Cuba,21,,20,1,,,,,2,2020-03-22 01:40:02.218
11,102960,Cuba,21,,20,1,,,,,2,2020-03-22 01:50:02.054
12,103149,Cuba,21,,20,1,,,,,2,2020-03-22 02:00:01.626
13,103338,Cuba,21,,20,1,,,,,2,2020-03-22 02:10:01.659
14,103527,Cuba,21,,20,1,,,,,2,2020-03-22 02:20:02.44
15,103716,Cuba,21,,20,1,,,,,2,2020-03-22 02:30:01.848
16,103905,Cuba,21,,20,1,,,,,2,2020-03-22 02:40:02.273
17,104094,Cuba,21,,20,1,,,,,2,2020-03-22 02:50:01.692
18,104283,Cuba,21,,20,1,,,,,2,2020-03-22 03:00:02.482
19,104472,Cuba,21,,20,1,,,,,2,2020-03-22 03:10:02.128
20,104661,Cuba,21,,20,1,,,,,2,2020-03-22 03:20:02.286
21,104850,Cuba,21,,20,1,,,,,2,2020-03-22 03:30:01.618
22,105039,Cuba,21,,20,1,,,,,2,2020-03-22 03:40:02.473
23,105228,Cuba,21,,20,1,,,,,2,2020-03-22 03:50:02.419
24,105417,Cuba,21,,20,1,,,,,2,2020-03-22 04:00:02.368
25,105606,Cuba,21,,20,1,,,,,2,2020-03-22 04:10:02.471
