,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100848,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 00:00:02.483
1,101037,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 00:10:02.327
2,101226,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 00:20:02.401
3,101415,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 00:30:02.053
4,101604,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 00:40:02.56
5,101793,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 00:50:01.898
6,101982,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 01:00:01.656
7,102171,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 01:10:02.184
8,102360,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 01:20:02.26
9,102549,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 01:30:02.051
10,102738,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 01:40:02.218
11,102927,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 01:50:02.054
12,103116,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 02:00:01.626
13,103305,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 02:10:01.659
14,103494,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 02:20:02.44
15,103683,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 02:30:01.848
16,103872,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 02:40:02.273
17,104061,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 02:50:01.692
18,104250,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 03:00:02.482
19,104439,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 03:10:02.128
20,104628,Cyprus,84,9,80,1,1,3,3,,70,2020-03-22 03:20:02.286
21,104817,Cyprus,84,,80,1,,3,3,,70,2020-03-22 03:30:01.618
22,105006,Cyprus,84,,80,1,,3,3,,70,2020-03-22 03:40:02.473
23,105195,Cyprus,84,,80,1,,3,3,,70,2020-03-22 03:50:02.419
24,105384,Cyprus,84,,80,1,,3,3,,70,2020-03-22 04:00:02.368
25,105573,Cyprus,84,,80,1,,3,3,,70,2020-03-22 04:10:02.471
26,105762,Cyprus,84,,80,1,,3,3,,70,2020-03-22 04:20:02.205
27,105951,Cyprus,84,,80,1,,3,3,,70,2020-03-22 04:30:01.838
28,106140,Cyprus,84,,80,1,,3,3,,70,2020-03-22 04:40:01.728
29,106329,Cyprus,84,,80,1,,3,3,,70,2020-03-22 04:50:02.186
30,106518,Cyprus,84,,80,1,,3,3,,70,2020-03-22 05:00:02.283
31,106707,Cyprus,84,,80,1,,3,3,,70,2020-03-22 05:10:02.023
32,106896,Cyprus,84,,80,1,,3,3,,70,2020-03-22 05:20:02.539
33,107085,Cyprus,84,,80,1,,3,3,,70,2020-03-22 05:30:01.917
34,107274,Cyprus,84,,80,1,,3,3,,70,2020-03-22 05:40:02.393
35,107463,Cyprus,84,,80,1,,3,3,,70,2020-03-22 05:50:01.706
36,107652,Cyprus,84,,80,1,,3,3,,70,2020-03-22 06:00:02.31
37,107841,Cyprus,84,,80,1,,3,3,,70,2020-03-22 06:10:02.48
38,108030,Cyprus,84,,80,1,,3,3,,70,2020-03-22 06:20:02.308
39,108219,Cyprus,84,,80,1,,3,3,,70,2020-03-22 06:30:02.468
40,108408,Cyprus,84,,80,1,,3,3,,70,2020-03-22 06:40:01.627
41,108597,Cyprus,84,,80,1,,3,3,,70,2020-03-22 06:50:02.568
42,108786,Cyprus,84,,80,1,,3,3,,70,2020-03-22 07:00:01.882
43,108975,Cyprus,84,,80,1,,3,3,,70,2020-03-22 07:10:01.602
44,109164,Cyprus,84,,80,1,,3,3,,70,2020-03-22 07:20:01.725
45,109353,Cyprus,84,,80,1,,3,3,,70,2020-03-22 07:30:02.517
46,109542,Cyprus,84,,80,1,,3,3,,70,2020-03-22 07:40:02.004
