,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100784,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 00:00:02.483
1,100973,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 00:10:02.327
2,101162,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 00:20:02.401
3,101351,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 00:30:02.053
4,101540,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 00:40:02.56
5,101729,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 00:50:01.898
6,101918,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 01:00:01.656
7,102107,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 01:10:02.184
8,102296,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 01:20:02.26
9,102485,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 01:30:02.051
10,102674,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 01:40:02.218
11,102863,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 01:50:02.054
12,103052,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 02:00:01.626
13,103241,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 02:10:01.659
14,103430,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 02:20:02.44
15,103619,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 02:30:01.848
16,103808,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 02:40:02.273
17,103997,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 02:50:01.692
18,104186,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 03:00:02.482
19,104375,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 03:10:02.128
20,104564,Denmark,"1,326",71,"1,312",13,4,1,42,,229,2020-03-22 03:20:02.286
21,104753,Denmark,"1,326",,"1,312",13,,1,42,,229,2020-03-22 03:30:01.618
22,104942,Denmark,"1,326",,"1,312",13,,1,42,,229,2020-03-22 03:40:02.473
23,105131,Denmark,"1,326",,"1,312",13,,1,42,,229,2020-03-22 03:50:02.419
24,105320,Denmark,"1,326",,"1,312",13,,1,42,,229,2020-03-22 04:00:02.368
25,105509,Denmark,"1,326",,"1,312",13,,1,42,,229,2020-03-22 04:10:02.471
26,105698,Denmark,"1,326",,"1,312",13,,1,42,,229,2020-03-22 04:20:02.205
27,105887,Denmark,"1,326",,"1,312",13,,1,42,,229,2020-03-22 04:30:01.838
28,106076,Denmark,"1,326",,"1,312",13,,1,42,,229,2020-03-22 04:40:01.728
29,106265,Denmark,"1,326",,"1,312",13,,1,42,,229,2020-03-22 04:50:02.186
