,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100794,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 00:00:02.483
1,100983,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 00:10:02.327
2,101172,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 00:20:02.401
3,101361,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 00:30:02.053
4,101550,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 00:40:02.56
5,101739,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 00:50:01.898
6,101928,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 01:00:01.656
7,102117,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 01:10:02.184
8,102306,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 01:20:02.26
9,102495,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 01:30:02.051
10,102684,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 01:40:02.218
11,102873,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 01:50:02.054
12,103062,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 02:00:01.626
13,103251,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 02:10:01.659
14,103440,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 02:20:02.44
15,103629,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 02:30:01.848
16,103818,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 02:40:02.273
17,104007,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 02:50:01.692
18,104196,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 03:00:02.482
19,104385,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 03:10:02.128
20,104574,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 03:20:02.286
21,104763,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 03:30:01.618
22,104952,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 03:40:02.473
23,105141,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 03:50:02.419
24,105330,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 04:00:02.368
25,105519,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 04:10:02.471
26,105708,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 04:20:02.205
27,105897,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 04:30:01.838
28,106086,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 04:40:01.728
29,106275,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 04:50:02.186
30,106464,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 05:00:02.283
31,106653,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 05:10:02.023
32,106842,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 05:20:02.539
33,107031,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 05:30:01.917
34,107220,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 05:40:02.393
35,107409,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 05:50:01.706
36,107598,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 06:00:02.31
37,107787,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 06:10:02.48
38,107976,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 06:20:02.308
39,108165,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 06:30:02.468
40,108354,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 06:40:01.627
41,108543,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 06:50:02.568
42,108732,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 07:00:01.882
43,108921,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 07:10:01.602
44,109110,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 07:20:01.725
45,109299,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 07:30:02.517
46,109488,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 07:40:02.004
47,109677,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 07:50:01.639
48,109866,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 08:00:02.288
49,110055,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 08:10:01.955
50,110244,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 08:20:02.461
51,110433,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 08:30:01.924
52,110622,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 08:40:02.277
53,110811,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 08:50:01.998
54,111000,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 09:00:02.386
55,111189,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 09:10:02.333
56,111378,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 09:20:01.679
57,111567,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 09:30:01.858
58,111756,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 09:40:02.077
59,111945,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 09:50:02.389
60,112134,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 10:00:01.658
61,112323,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 10:10:02.03
62,112512,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 10:20:02.283
63,112701,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 10:30:02.203
64,112890,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 10:50:02.099
65,113079,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 11:00:01.809
66,113268,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 11:10:02.337
67,113457,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 11:20:02.297
68,113646,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 11:30:02.571
69,113835,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 11:40:01.658
70,114024,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 11:50:02.534
71,114214,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 12:00:01.655
72,114403,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 12:10:02.323
73,114593,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 12:20:01.826
74,114782,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 12:30:02.517
75,114971,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 12:40:02.46
76,115160,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 12:50:02.108
77,115349,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 13:00:01.691
78,115538,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 13:10:01.964
79,115727,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 13:20:01.995
80,115916,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 13:30:02.353
81,116105,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 13:40:02.609
82,116294,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 13:50:01.753
83,116483,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 14:00:02.347
84,116672,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 14:10:02.014
85,116861,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 14:20:01.732
86,117050,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 14:30:02.279
87,117239,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 14:40:01.994
88,117428,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 14:50:01.896
89,117617,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 15:00:01.708
90,117806,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 15:10:01.808
91,117995,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 15:20:02.115
92,118184,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 15:30:02.542
93,118373,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 15:40:01.608
94,118561,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 15:50:02.028
95,118750,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 16:00:01.887
96,118939,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 16:10:02.607
97,119130,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 16:40:02.392
98,119320,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 16:50:02.248
99,119510,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 17:00:02.174
100,119700,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 17:10:01.966
101,119890,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 17:20:01.901
102,120080,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 17:30:03.26
103,120270,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 17:40:03.136
104,120460,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 17:50:01.957
105,120650,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 18:00:01.753
106,120840,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 18:10:02.492
107,121030,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 18:30:02.036
108,121220,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 18:40:02.238
109,121410,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 18:50:02.468
110,121600,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 19:00:01.712
111,121790,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 19:10:01.802
112,121980,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 19:20:01.774
113,122170,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 19:30:02.213
114,122361,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 19:40:02.298
115,122553,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 19:50:02.038
116,122745,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 20:00:02.199
117,122937,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 20:10:02.435
118,123130,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 20:20:01.689
119,123322,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 20:30:01.705
120,123514,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 20:40:02.242
121,123706,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 20:50:02.144
122,123898,Diamond Princess,712,,137,8,,567,15,,,2020-03-22 21:00:01.651
