,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100837,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 00:00:02.483
1,101026,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 00:10:02.327
2,101215,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 00:20:02.401
3,101404,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 00:30:02.053
4,101593,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 00:40:02.56
5,101782,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 00:50:01.898
6,101971,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 01:00:01.656
7,102160,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 01:10:02.184
8,102349,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 01:20:02.26
9,102538,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 01:30:02.051
10,102727,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 01:40:02.218
11,102916,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 01:50:02.054
12,103105,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 02:00:01.626
13,103294,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 02:10:01.659
14,103483,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 02:20:02.44
15,103672,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 02:30:01.848
16,103861,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 02:40:02.273
17,104050,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 02:50:01.692
18,104239,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 03:00:02.482
19,104428,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 03:10:02.128
20,104617,Dominican Republic,112,40,109,3,1,,,,10,2020-03-22 03:20:02.286
21,104806,Dominican Republic,112,,109,3,,,,,10,2020-03-22 03:30:01.618
22,104996,Dominican Republic,112,,109,3,,,,,10,2020-03-22 03:40:02.473
23,105185,Dominican Republic,112,,109,3,,,,,10,2020-03-22 03:50:02.419
24,105374,Dominican Republic,112,,109,3,,,,,10,2020-03-22 04:00:02.368
25,105563,Dominican Republic,112,,109,3,,,,,10,2020-03-22 04:10:02.471
26,105752,Dominican Republic,112,,109,3,,,,,10,2020-03-22 04:20:02.205
27,105941,Dominican Republic,112,,109,3,,,,,10,2020-03-22 04:30:01.838
28,106130,Dominican Republic,112,,109,3,,,,,10,2020-03-22 04:40:01.728
29,106319,Dominican Republic,112,,109,3,,,,,10,2020-03-22 04:50:02.186
30,106508,Dominican Republic,112,,109,3,,,,,10,2020-03-22 05:00:02.283
31,106697,Dominican Republic,112,,109,3,,,,,10,2020-03-22 05:10:02.023
32,106886,Dominican Republic,112,,109,3,,,,,10,2020-03-22 05:20:02.539
33,107075,Dominican Republic,112,,109,3,,,,,10,2020-03-22 05:30:01.917
34,107264,Dominican Republic,112,,109,3,,,,,10,2020-03-22 05:40:02.393
35,107453,Dominican Republic,112,,109,3,,,,,10,2020-03-22 05:50:01.706
36,107642,Dominican Republic,112,,109,3,,,,,10,2020-03-22 06:00:02.31
37,107831,Dominican Republic,112,,109,3,,,,,10,2020-03-22 06:10:02.48
38,108020,Dominican Republic,112,,109,3,,,,,10,2020-03-22 06:20:02.308
39,108209,Dominican Republic,112,,109,3,,,,,10,2020-03-22 06:30:02.468
40,108398,Dominican Republic,112,,109,3,,,,,10,2020-03-22 06:40:01.627
41,108587,Dominican Republic,112,,109,3,,,,,10,2020-03-22 06:50:02.568
42,108776,Dominican Republic,112,,109,3,,,,,10,2020-03-22 07:00:01.882
43,108965,Dominican Republic,112,,109,3,,,,,10,2020-03-22 07:10:01.602
44,109154,Dominican Republic,112,,109,3,,,,,10,2020-03-22 07:20:01.725
45,109343,Dominican Republic,112,,109,3,,,,,10,2020-03-22 07:30:02.517
46,109532,Dominican Republic,112,,109,3,,,,,10,2020-03-22 07:40:02.004
47,109722,Dominican Republic,112,,109,3,,,,,10,2020-03-22 07:50:01.639
48,109911,Dominican Republic,112,,109,3,,,,,10,2020-03-22 08:00:02.288
49,110100,Dominican Republic,112,,109,3,,,,,10,2020-03-22 08:10:01.955
50,110289,Dominican Republic,112,,109,3,,,,,10,2020-03-22 08:20:02.461
51,110478,Dominican Republic,112,,109,3,,,,,10,2020-03-22 08:30:01.924
52,110667,Dominican Republic,112,,109,3,,,,,10,2020-03-22 08:40:02.277
53,110856,Dominican Republic,112,,109,3,,,,,10,2020-03-22 08:50:01.998
54,111045,Dominican Republic,112,,109,3,,,,,10,2020-03-22 09:00:02.386
55,111234,Dominican Republic,112,,109,3,,,,,10,2020-03-22 09:10:02.333
56,111423,Dominican Republic,112,,109,3,,,,,10,2020-03-22 09:20:01.679
57,111612,Dominican Republic,112,,109,3,,,,,10,2020-03-22 09:30:01.858
58,111801,Dominican Republic,112,,109,3,,,,,10,2020-03-22 09:40:02.077
59,111990,Dominican Republic,112,,109,3,,,,,10,2020-03-22 09:50:02.389
60,112179,Dominican Republic,112,,109,3,,,,,10,2020-03-22 10:00:01.658
61,112368,Dominican Republic,112,,109,3,,,,,10,2020-03-22 10:10:02.03
62,112557,Dominican Republic,112,,109,3,,,,,10,2020-03-22 10:20:02.283
63,112746,Dominican Republic,112,,109,3,,,,,10,2020-03-22 10:30:02.203
64,112935,Dominican Republic,112,,109,3,,,,,10,2020-03-22 10:50:02.099
65,113124,Dominican Republic,112,,109,3,,,,,10,2020-03-22 11:00:01.809
66,113313,Dominican Republic,112,,109,3,,,,,10,2020-03-22 11:10:02.337
67,113502,Dominican Republic,112,,109,3,,,,,10,2020-03-22 11:20:02.297
68,113691,Dominican Republic,112,,109,3,,,,,10,2020-03-22 11:30:02.571
