,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100799,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 00:00:02.483
1,100988,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 00:10:02.327
2,101177,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 00:20:02.401
3,101366,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 00:30:02.053
4,101555,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 00:40:02.56
5,101744,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 00:50:01.898
6,101933,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 01:00:01.656
7,102122,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 01:10:02.184
8,102311,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 01:20:02.26
9,102500,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 01:30:02.051
10,102689,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 01:40:02.218
11,102878,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 01:50:02.054
12,103067,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 02:00:01.626
13,103256,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 02:10:01.659
14,103445,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 02:20:02.44
15,103634,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 02:30:01.848
16,103823,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 02:40:02.273
17,104012,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 02:50:01.692
18,104201,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 03:00:02.482
19,104390,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 03:10:02.128
20,104579,Ecuador,532,106,522,7,,3,2,,30,2020-03-22 03:20:02.286
21,104768,Ecuador,532,,522,7,,3,2,,30,2020-03-22 03:30:01.618
22,104957,Ecuador,532,,522,7,,3,2,,30,2020-03-22 03:40:02.473
23,105146,Ecuador,532,,522,7,,3,2,,30,2020-03-22 03:50:02.419
24,105335,Ecuador,532,,522,7,,3,2,,30,2020-03-22 04:00:02.368
25,105524,Ecuador,532,,522,7,,3,2,,30,2020-03-22 04:10:02.471
26,105713,Ecuador,532,,522,7,,3,2,,30,2020-03-22 04:20:02.205
27,105902,Ecuador,532,,522,7,,3,2,,30,2020-03-22 04:30:01.838
28,106091,Ecuador,532,,522,7,,3,2,,30,2020-03-22 04:40:01.728
29,106280,Ecuador,532,,522,7,,3,2,,30,2020-03-22 04:50:02.186
30,106469,Ecuador,532,,522,7,,3,2,,30,2020-03-22 05:00:02.283
31,106658,Ecuador,532,,522,7,,3,2,,30,2020-03-22 05:10:02.023
32,106848,Ecuador,532,,522,7,,3,2,,30,2020-03-22 05:20:02.539
33,107037,Ecuador,532,,522,7,,3,2,,30,2020-03-22 05:30:01.917
34,107226,Ecuador,532,,522,7,,3,2,,30,2020-03-22 05:40:02.393
35,107415,Ecuador,532,,522,7,,3,2,,30,2020-03-22 05:50:01.706
36,107604,Ecuador,532,,522,7,,3,2,,30,2020-03-22 06:00:02.31
37,107793,Ecuador,532,,522,7,,3,2,,30,2020-03-22 06:10:02.48
38,107982,Ecuador,532,,522,7,,3,2,,30,2020-03-22 06:20:02.308
39,108171,Ecuador,532,,522,7,,3,2,,30,2020-03-22 06:30:02.468
