,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100816,Egypt,294,9,242,10,2,42,,,3,2020-03-22 00:00:02.483
1,101005,Egypt,294,9,242,10,2,42,,,3,2020-03-22 00:10:02.327
2,101194,Egypt,294,9,242,10,2,42,,,3,2020-03-22 00:20:02.401
3,101383,Egypt,294,9,242,10,2,42,,,3,2020-03-22 00:30:02.053
4,101572,Egypt,294,9,242,10,2,42,,,3,2020-03-22 00:40:02.56
5,101761,Egypt,294,9,242,10,2,42,,,3,2020-03-22 00:50:01.898
6,101950,Egypt,294,9,242,10,2,42,,,3,2020-03-22 01:00:01.656
7,102139,Egypt,294,9,242,10,2,42,,,3,2020-03-22 01:10:02.184
8,102328,Egypt,294,9,242,10,2,42,,,3,2020-03-22 01:20:02.26
9,102517,Egypt,294,9,242,10,2,42,,,3,2020-03-22 01:30:02.051
10,102706,Egypt,294,9,242,10,2,42,,,3,2020-03-22 01:40:02.218
11,102895,Egypt,294,9,242,10,2,42,,,3,2020-03-22 01:50:02.054
12,103084,Egypt,294,9,242,10,2,42,,,3,2020-03-22 02:00:01.626
13,103273,Egypt,294,9,242,10,2,42,,,3,2020-03-22 02:10:01.659
14,103462,Egypt,294,9,242,10,2,42,,,3,2020-03-22 02:20:02.44
15,103651,Egypt,294,9,242,10,2,42,,,3,2020-03-22 02:30:01.848
16,103840,Egypt,294,9,242,10,2,42,,,3,2020-03-22 02:40:02.273
17,104029,Egypt,294,9,242,10,2,42,,,3,2020-03-22 02:50:01.692
18,104218,Egypt,294,9,242,10,2,42,,,3,2020-03-22 03:00:02.482
19,104407,Egypt,294,9,242,10,2,42,,,3,2020-03-22 03:10:02.128
20,104596,Egypt,294,9,242,10,2,42,,,3,2020-03-22 03:20:02.286
21,104785,Egypt,294,,242,10,,42,,,3,2020-03-22 03:30:01.618
22,104974,Egypt,294,,242,10,,42,,,3,2020-03-22 03:40:02.473
23,105163,Egypt,294,,242,10,,42,,,3,2020-03-22 03:50:02.419
24,105352,Egypt,294,,242,10,,42,,,3,2020-03-22 04:00:02.368
25,105541,Egypt,294,,242,10,,42,,,3,2020-03-22 04:10:02.471
26,105730,Egypt,294,,242,10,,42,,,3,2020-03-22 04:20:02.205
27,105919,Egypt,294,,242,10,,42,,,3,2020-03-22 04:30:01.838
28,106108,Egypt,294,,242,10,,42,,,3,2020-03-22 04:40:01.728
29,106297,Egypt,294,,242,10,,42,,,3,2020-03-22 04:50:02.186
30,106486,Egypt,294,,242,10,,42,,,3,2020-03-22 05:00:02.283
31,106675,Egypt,294,,242,10,,42,,,3,2020-03-22 05:10:02.023
32,106864,Egypt,294,,242,10,,42,,,3,2020-03-22 05:20:02.539
33,107053,Egypt,294,,242,10,,42,,,3,2020-03-22 05:30:01.917
34,107242,Egypt,294,,242,10,,42,,,3,2020-03-22 05:40:02.393
35,107431,Egypt,294,,242,10,,42,,,3,2020-03-22 05:50:01.706
36,107620,Egypt,294,,242,10,,42,,,3,2020-03-22 06:00:02.31
37,107809,Egypt,294,,242,10,,42,,,3,2020-03-22 06:10:02.48
38,107998,Egypt,294,,242,10,,42,,,3,2020-03-22 06:20:02.308
39,108187,Egypt,294,,242,10,,42,,,3,2020-03-22 06:30:02.468
40,108376,Egypt,294,,242,10,,42,,,3,2020-03-22 06:40:01.627
41,108565,Egypt,294,,242,10,,42,,,3,2020-03-22 06:50:02.568
42,108754,Egypt,294,,242,10,,42,,,3,2020-03-22 07:00:01.882
43,108943,Egypt,294,,242,10,,42,,,3,2020-03-22 07:10:01.602
44,109132,Egypt,294,,242,10,,42,,,3,2020-03-22 07:20:01.725
45,109321,Egypt,294,,242,10,,42,,,3,2020-03-22 07:30:02.517
46,109510,Egypt,294,,242,10,,42,,,3,2020-03-22 07:40:02.004
47,109699,Egypt,294,,242,10,,42,,,3,2020-03-22 07:50:01.639
48,109888,Egypt,294,,242,10,,42,,,3,2020-03-22 08:00:02.288
49,110077,Egypt,294,,242,10,,42,,,3,2020-03-22 08:10:01.955
50,110266,Egypt,294,,242,10,,42,,,3,2020-03-22 08:20:02.461
51,110455,Egypt,294,,242,10,,42,,,3,2020-03-22 08:30:01.924
52,110644,Egypt,294,,242,10,,42,,,3,2020-03-22 08:40:02.277
53,110833,Egypt,294,,242,10,,42,,,3,2020-03-22 08:50:01.998
54,111022,Egypt,294,,242,10,,42,,,3,2020-03-22 09:00:02.386
55,111211,Egypt,294,,242,10,,42,,,3,2020-03-22 09:10:02.333
56,111400,Egypt,294,,242,10,,42,,,3,2020-03-22 09:20:01.679
57,111589,Egypt,294,,242,10,,42,,,3,2020-03-22 09:30:01.858
58,111778,Egypt,294,,242,10,,42,,,3,2020-03-22 09:40:02.077
59,111967,Egypt,294,,242,10,,42,,,3,2020-03-22 09:50:02.389
60,112156,Egypt,294,,242,10,,42,,,3,2020-03-22 10:00:01.658
61,112345,Egypt,294,,242,10,,42,,,3,2020-03-22 10:10:02.03
62,112534,Egypt,294,,242,10,,42,,,3,2020-03-22 10:20:02.283
63,112723,Egypt,294,,242,10,,42,,,3,2020-03-22 10:30:02.203
64,112912,Egypt,294,,242,10,,42,,,3,2020-03-22 10:50:02.099
65,113101,Egypt,294,,242,10,,42,,,3,2020-03-22 11:00:01.809
66,113290,Egypt,294,,242,10,,42,,,3,2020-03-22 11:10:02.337
67,113479,Egypt,294,,242,10,,42,,,3,2020-03-22 11:20:02.297
68,113668,Egypt,294,,242,10,,42,,,3,2020-03-22 11:30:02.571
69,113857,Egypt,294,,242,10,,42,,,3,2020-03-22 11:40:01.658
70,114046,Egypt,294,,242,10,,42,,,3,2020-03-22 11:50:02.534
71,114235,Egypt,294,,242,10,,42,,,3,2020-03-22 12:00:01.655
72,114424,Egypt,294,,242,10,,42,,,3,2020-03-22 12:10:02.323
73,114613,Egypt,294,,242,10,,42,,,3,2020-03-22 12:20:01.826
74,114802,Egypt,294,,242,10,,42,,,3,2020-03-22 12:30:02.517
75,114991,Egypt,294,,242,10,,42,,,3,2020-03-22 12:40:02.46
76,115180,Egypt,294,,242,10,,42,,,3,2020-03-22 12:50:02.108
77,115369,Egypt,294,,242,10,,42,,,3,2020-03-22 13:00:01.691
78,115558,Egypt,294,,242,10,,42,,,3,2020-03-22 13:10:01.964
79,115747,Egypt,294,,242,10,,42,,,3,2020-03-22 13:20:01.995
80,115936,Egypt,294,,242,10,,42,,,3,2020-03-22 13:30:02.353
81,116125,Egypt,294,,242,10,,42,,,3,2020-03-22 13:40:02.609
82,116314,Egypt,294,,242,10,,42,,,3,2020-03-22 13:50:01.753
83,116503,Egypt,294,,242,10,,42,,,3,2020-03-22 14:00:02.347
84,116692,Egypt,294,,242,10,,42,,,3,2020-03-22 14:10:02.014
85,116881,Egypt,294,,242,10,,42,,,3,2020-03-22 14:20:01.732
86,117070,Egypt,294,,242,10,,42,,,3,2020-03-22 14:30:02.279
87,117259,Egypt,294,,242,10,,42,,,3,2020-03-22 14:40:01.994
88,117448,Egypt,294,,242,10,,42,,,3,2020-03-22 14:50:01.896
89,117637,Egypt,294,,242,10,,42,,,3,2020-03-22 15:00:01.708
90,117827,Egypt,294,,242,10,,42,,,3,2020-03-22 15:10:01.808
91,118016,Egypt,294,,242,10,,42,,,3,2020-03-22 15:20:02.115
92,118205,Egypt,294,,242,10,,42,,,3,2020-03-22 15:30:02.542
93,118394,Egypt,294,,242,10,,42,,,3,2020-03-22 15:40:01.608
94,118583,Egypt,294,,242,10,,42,,,3,2020-03-22 15:50:02.028
95,118772,Egypt,294,,242,10,,42,,,3,2020-03-22 16:00:01.887
96,118961,Egypt,294,,242,10,,42,,,3,2020-03-22 16:10:02.607
97,119151,Egypt,294,,242,10,,42,,,3,2020-03-22 16:40:02.392
98,119341,Egypt,294,,242,10,,42,,,3,2020-03-22 16:50:02.248
99,119531,Egypt,294,,242,10,,42,,,3,2020-03-22 17:00:02.174
100,119721,Egypt,294,,242,10,,42,,,3,2020-03-22 17:10:01.966
101,119911,Egypt,294,,242,10,,42,,,3,2020-03-22 17:20:01.901
102,120101,Egypt,294,,242,10,,42,,,3,2020-03-22 17:30:03.26
103,120291,Egypt,294,,242,10,,42,,,3,2020-03-22 17:40:03.136
104,120481,Egypt,294,,242,10,,42,,,3,2020-03-22 17:50:01.957
105,120671,Egypt,294,,242,10,,42,,,3,2020-03-22 18:00:01.753
106,120861,Egypt,294,,242,10,,42,,,3,2020-03-22 18:10:02.492
107,121051,Egypt,294,,242,10,,42,,,3,2020-03-22 18:30:02.036
108,121241,Egypt,294,,242,10,,42,,,3,2020-03-22 18:40:02.238
109,121431,Egypt,294,,242,10,,42,,,3,2020-03-22 18:50:02.468
110,121621,Egypt,294,,242,10,,42,,,3,2020-03-22 19:00:01.712
111,121811,Egypt,294,,242,10,,42,,,3,2020-03-22 19:10:01.802
112,122001,Egypt,294,,242,10,,42,,,3,2020-03-22 19:20:01.774
113,122191,Egypt,294,,242,10,,42,,,3,2020-03-22 19:30:02.213
114,122382,Egypt,294,,242,10,,42,,,3,2020-03-22 19:40:02.298
115,122574,Egypt,294,,242,10,,42,,,3,2020-03-22 19:50:02.038
116,122766,Egypt,294,,242,10,,42,,,3,2020-03-22 20:00:02.199
117,122958,Egypt,294,,242,10,,42,,,3,2020-03-22 20:10:02.435
118,123150,Egypt,294,,242,10,,42,,,3,2020-03-22 20:20:01.689
119,123340,Egypt,327,33,257,14,4,56,,,3,2020-03-22 20:30:01.705
120,123532,Egypt,327,33,257,14,4,56,,,3,2020-03-22 20:40:02.242
121,123724,Egypt,327,33,257,14,4,56,,,3,2020-03-22 20:50:02.144
122,123916,Egypt,327,33,257,14,4,56,,,3,2020-03-22 21:00:01.651
123,124108,Egypt,327,33,257,14,4,56,,,3,2020-03-22 21:10:02.274
124,124301,Egypt,327,33,257,14,4,56,,,3,2020-03-22 21:20:02.379
125,124494,Egypt,327,33,257,14,4,56,,,3,2020-03-22 21:30:02.09
126,124687,Egypt,327,33,257,14,4,56,,,3,2020-03-22 21:40:02.262
127,124880,Egypt,327,33,257,14,4,56,,,3,2020-03-22 21:50:02.451
128,125073,Egypt,327,33,257,14,4,56,,,3,2020-03-22 22:00:02.593
129,125266,Egypt,327,33,257,14,4,56,,,3,2020-03-22 22:10:02.087
130,125459,Egypt,327,33,257,14,4,56,,,3,2020-03-22 22:20:01.881
131,125652,Egypt,327,33,257,14,4,56,,,3,2020-03-22 22:30:01.794
132,125845,Egypt,327,33,257,14,4,56,,,3,2020-03-22 22:40:01.8
133,126038,Egypt,327,33,257,14,4,56,,,3,2020-03-22 22:50:01.828
134,126231,Egypt,327,33,257,14,4,56,,,3,2020-03-22 23:00:02.502
135,126424,Egypt,327,33,257,14,4,56,,,3,2020-03-22 23:10:02.549
136,126617,Egypt,327,33,257,14,4,56,,,3,2020-03-22 23:20:01.891
137,126810,Egypt,327,33,257,14,4,56,,,3,2020-03-22 23:30:01.863
138,127003,Egypt,327,33,257,14,4,56,,,3,2020-03-22 23:40:02.207
139,127196,Egypt,327,33,257,14,4,56,,,3,2020-03-22 23:50:01.664
140,127389,Egypt,327,33,257,14,4,56,,,3,2020-03-23 00:00:02.179
141,127582,Egypt,327,33,257,14,4,56,,,3,2020-03-23 00:10:01.95
142,127775,Egypt,327,33,257,14,4,56,,,3,2020-03-23 00:20:02.492
143,127968,Egypt,327,33,257,14,4,56,,,3,2020-03-23 00:30:02.344
144,128161,Egypt,327,33,257,14,4,56,,,3,2020-03-23 00:40:01.875
145,128354,Egypt,327,33,257,14,4,56,,,3,2020-03-23 00:50:02.095
146,128547,Egypt,327,33,257,14,4,56,,,3,2020-03-23 01:00:02.319
147,128740,Egypt,327,33,257,14,4,56,,,3,2020-03-23 01:10:01.782
148,128933,Egypt,327,33,257,14,4,56,,,3,2020-03-23 01:20:02.43
149,129126,Egypt,327,33,257,14,4,56,,,3,2020-03-23 01:30:02.407
150,129319,Egypt,327,33,257,14,4,56,,,3,2020-03-23 01:40:02.085
151,129512,Egypt,327,33,257,14,4,56,,,3,2020-03-23 01:50:02.168
152,129705,Egypt,327,33,257,14,4,56,,,3,2020-03-23 02:00:02.269
153,129898,Egypt,327,33,257,14,4,56,,,3,2020-03-23 02:10:02.435
154,130091,Egypt,327,33,257,14,4,56,,,3,2020-03-23 02:20:02.448
155,130284,Egypt,327,,257,14,,56,,,3,2020-03-23 02:30:01.911
156,130477,Egypt,327,,257,14,,56,,,3,2020-03-23 02:40:01.69
157,130670,Egypt,327,,257,14,,56,,,3,2020-03-23 02:50:02.471
158,130863,Egypt,327,,257,14,,56,,,3,2020-03-23 03:00:01.655
159,131056,Egypt,327,,257,14,,56,,,3,2020-03-23 03:10:02.377
160,131249,Egypt,327,,257,14,,56,,,3,2020-03-23 03:20:02.558
161,131442,Egypt,327,,257,14,,56,,,3,2020-03-23 03:30:02.093
162,131635,Egypt,327,,257,14,,56,,,3,2020-03-23 03:40:01.746
163,131828,Egypt,327,,257,14,,56,,,3,2020-03-23 03:50:02.043
164,132021,Egypt,327,,257,14,,56,,,3,2020-03-23 04:00:02.36
165,132214,Egypt,327,,257,14,,56,,,3,2020-03-23 04:10:02.185
166,132407,Egypt,327,,257,14,,56,,,3,2020-03-23 04:20:02.316
167,132600,Egypt,327,,257,14,,56,,,3,2020-03-23 04:30:02.294
168,132793,Egypt,327,,257,14,,56,,,3,2020-03-23 04:40:01.894
169,132986,Egypt,327,,257,14,,56,,,3,2020-03-23 04:50:01.593
170,133179,Egypt,327,,257,14,,56,,,3,2020-03-23 05:00:02.347
171,133372,Egypt,327,,257,14,,56,,,3,2020-03-23 05:10:02.388
172,133565,Egypt,327,,257,14,,56,,,3,2020-03-23 05:20:02.591
173,133758,Egypt,327,,257,14,,56,,,3,2020-03-23 05:30:02.554
174,133951,Egypt,327,,257,14,,56,,,3,2020-03-23 05:40:02.191
175,134144,Egypt,327,,257,14,,56,,,3,2020-03-23 05:50:01.741
176,134337,Egypt,327,,257,14,,56,,,3,2020-03-23 06:00:01.967
177,134530,Egypt,327,,257,14,,56,,,3,2020-03-23 06:10:01.821
178,134723,Egypt,327,,257,14,,56,,,3,2020-03-23 06:20:02.087
179,134916,Egypt,327,,257,14,,56,,,3,2020-03-23 06:30:02.225
180,135109,Egypt,327,,257,14,,56,,,3,2020-03-23 06:40:01.869
181,135302,Egypt,327,,257,14,,56,,,3,2020-03-23 06:50:02.3
182,135495,Egypt,327,,257,14,,56,,,3,2020-03-23 07:00:01.638
183,135688,Egypt,327,,257,14,,56,,,3,2020-03-23 07:10:02.063
184,135881,Egypt,327,,257,14,,56,,,3,2020-03-23 07:20:02.094
185,136074,Egypt,327,,257,14,,56,,,3,2020-03-23 07:30:01.782
186,136267,Egypt,327,,257,14,,56,,,3,2020-03-23 07:40:01.625
187,136460,Egypt,327,,257,14,,56,,,3,2020-03-23 07:50:02.367
188,136653,Egypt,327,,257,14,,56,,,3,2020-03-23 08:00:02.076
189,136846,Egypt,327,,257,14,,56,,,3,2020-03-23 08:10:02.4
190,137039,Egypt,327,,257,14,,56,,,3,2020-03-23 08:30:02.196
191,137232,Egypt,327,,257,14,,56,,,3,2020-03-23 08:40:01.781
192,137425,Egypt,327,,257,14,,56,,,3,2020-03-23 08:50:02.437
193,137618,Egypt,327,,257,14,,56,,,3,2020-03-23 09:00:01.915
194,137811,Egypt,327,,257,14,,56,,,3,2020-03-23 09:10:01.846
195,138006,Egypt,327,,257,14,,56,,,3,2020-03-23 09:20:02.077
196,138199,Egypt,327,,257,14,,56,,,3,2020-03-23 09:30:02.13
197,138392,Egypt,327,,257,14,,56,,,3,2020-03-23 09:40:02.332
198,138585,Egypt,327,,257,14,,56,,,3,2020-03-23 09:50:02.443
199,138778,Egypt,327,,257,14,,56,,,3,2020-03-23 10:00:02.551
200,138971,Egypt,327,,257,14,,56,,,3,2020-03-23 10:10:01.713
201,139164,Egypt,327,,257,14,,56,,,3,2020-03-23 10:20:02.121
202,139357,Egypt,327,,257,14,,56,,,3,2020-03-23 10:30:02.602
203,139550,Egypt,327,,257,14,,56,,,3,2020-03-23 10:50:02.503
204,139743,Egypt,327,,257,14,,56,,,3,2020-03-23 11:00:02.081
205,139936,Egypt,327,,257,14,,56,,,3,2020-03-23 11:10:02.303
206,140129,Egypt,327,,257,14,,56,,,3,2020-03-23 11:20:02.153
207,140322,Egypt,327,,257,14,,56,,,3,2020-03-23 11:30:02.106
208,140515,Egypt,327,,257,14,,56,,,3,2020-03-23 11:40:01.639
209,140708,Egypt,327,,257,14,,56,,,3,2020-03-23 11:50:01.574
210,140902,Egypt,327,,257,14,,56,,,3,2020-03-23 12:00:02.335
211,141095,Egypt,327,,257,14,,56,,,3,2020-03-23 12:10:02.42
212,141288,Egypt,327,,257,14,,56,,,3,2020-03-23 12:20:01.995
213,141481,Egypt,327,,257,14,,56,,,3,2020-03-23 12:30:02.34
214,141674,Egypt,327,,257,14,,56,,,3,2020-03-23 12:40:02.13
215,141867,Egypt,327,,257,14,,56,,,3,2020-03-23 12:50:01.78
216,142060,Egypt,327,,257,14,,56,,,3,2020-03-23 13:00:02.487
217,142253,Egypt,327,,257,14,,56,,,3,2020-03-23 13:10:02.315
218,142446,Egypt,327,,257,14,,56,,,3,2020-03-23 13:20:02.142
219,142639,Egypt,327,,257,14,,56,,,3,2020-03-23 13:30:02.544
220,142832,Egypt,327,,257,14,,56,,,3,2020-03-23 13:40:02.157
221,143025,Egypt,327,,257,14,,56,,,3,2020-03-23 13:50:02.122
222,143218,Egypt,327,,257,14,,56,,,3,2020-03-23 14:00:02.245
223,143411,Egypt,327,,257,14,,56,,,3,2020-03-23 14:10:01.901
224,143604,Egypt,327,,257,14,,56,,,3,2020-03-23 14:20:02.629
225,143798,Egypt,327,,257,14,,56,,,3,2020-03-23 14:30:02.028
226,143992,Egypt,327,,257,14,,56,,,3,2020-03-23 14:40:02.291
227,144186,Egypt,327,,257,14,,56,,,3,2020-03-23 14:50:02.124
228,144380,Egypt,327,,257,14,,56,,,3,2020-03-23 15:00:02.206
229,144574,Egypt,327,,257,14,,56,,,3,2020-03-23 15:10:02.074
230,144768,Egypt,327,,257,14,,56,,,3,2020-03-23 15:20:02.36
231,144962,Egypt,327,,257,14,,56,,,3,2020-03-23 15:30:02.176
232,145156,Egypt,327,,257,14,,56,,,3,2020-03-23 15:40:01.964
233,145350,Egypt,327,,257,14,,56,,,3,2020-03-23 15:50:02.976
234,145544,Egypt,327,,257,14,,56,,,3,2020-03-23 16:00:02.106
235,145739,Egypt,327,,257,14,,56,,,3,2020-03-23 16:10:02.302
236,145934,Egypt,327,,257,14,,56,,,3,2020-03-23 16:20:02.823
237,146129,Egypt,327,,257,14,,56,,,3,2020-03-23 16:30:01.597
238,146324,Egypt,327,,257,14,,56,,,3,2020-03-23 16:40:01.886
239,146519,Egypt,327,,257,14,,56,,,3,2020-03-23 16:50:02.096
240,146714,Egypt,327,,257,14,,56,,,3,2020-03-23 17:00:01.9
241,146909,Egypt,327,,257,14,,56,,,3,2020-03-23 17:10:01.621
242,147104,Egypt,327,,257,14,,56,,,3,2020-03-23 17:20:01.977
243,147299,Egypt,327,,257,14,,56,,,3,2020-03-23 17:30:01.995
244,147494,Egypt,327,,257,14,,56,,,3,2020-03-23 17:40:02.463
245,147690,Egypt,327,,257,14,,56,,,3,2020-03-23 17:50:02.158
246,147886,Egypt,327,,257,14,,56,,,3,2020-03-23 18:00:02.364
247,148082,Egypt,327,,257,14,,56,,,3,2020-03-23 18:10:03.308
248,148278,Egypt,327,,257,14,,56,,,3,2020-03-23 18:20:02.357
249,148474,Egypt,327,,257,14,,56,,,3,2020-03-23 18:30:01.988
250,148670,Egypt,327,,257,14,,56,,,3,2020-03-23 18:40:02.347
251,148866,Egypt,327,,257,14,,56,,,3,2020-03-23 18:50:02.07
252,149062,Egypt,327,,257,14,,56,,,3,2020-03-23 19:00:01.746
253,149258,Egypt,327,,257,14,,56,,,3,2020-03-23 19:10:01.662
254,149454,Egypt,327,,257,14,,56,,,3,2020-03-23 19:20:01.809
255,149650,Egypt,327,,257,14,,56,,,3,2020-03-23 19:40:01.605
256,149846,Egypt,327,,257,14,,56,,,3,2020-03-23 19:50:01.967
257,150042,Egypt,327,,257,14,,56,,,3,2020-03-23 20:00:02.445
258,150236,Egypt,366,39,296,14,,56,,,4,2020-03-23 20:10:02.476
259,150432,Egypt,366,39,279,19,5,68,,,4,2020-03-23 20:20:01.798
260,150628,Egypt,366,39,279,19,5,68,,,4,2020-03-23 20:30:02.343
261,150824,Egypt,366,39,279,19,5,68,,,4,2020-03-23 20:40:01.916
262,151020,Egypt,366,39,279,19,5,68,,,4,2020-03-23 20:50:02.503
263,151216,Egypt,366,39,279,19,5,68,,,4,2020-03-23 21:00:01.774
264,151412,Egypt,366,39,279,19,5,68,,,4,2020-03-23 21:10:01.765
265,151608,Egypt,366,39,279,19,5,68,,,4,2020-03-23 21:20:02.201
266,151804,Egypt,366,39,279,19,5,68,,,4,2020-03-23 21:30:01.834
267,152000,Egypt,366,39,279,19,5,68,,,4,2020-03-23 21:40:01.7
268,152196,Egypt,366,39,279,19,5,68,,,4,2020-03-23 21:50:02.56
269,152392,Egypt,366,39,279,19,5,68,,,4,2020-03-23 22:00:01.775
270,152588,Egypt,366,39,279,19,5,68,,,4,2020-03-23 22:10:01.965
271,152784,Egypt,366,39,279,19,5,68,,,4,2020-03-23 22:20:02.295
272,152980,Egypt,366,39,279,19,5,68,,,4,2020-03-23 22:30:02.256
273,153176,Egypt,366,39,279,19,5,68,,,4,2020-03-23 22:40:01.657
274,153372,Egypt,366,39,279,19,5,68,,,4,2020-03-23 22:50:01.928
275,153568,Egypt,366,39,279,19,5,68,,,4,2020-03-23 23:00:01.927
276,153764,Egypt,366,39,279,19,5,68,,,4,2020-03-23 23:10:02.387
277,153960,Egypt,366,39,279,19,5,68,,,4,2020-03-23 23:20:02.535
278,154156,Egypt,366,39,279,19,5,68,,,4,2020-03-23 23:30:02.045
279,154352,Egypt,366,39,279,19,5,68,,,4,2020-03-23 23:40:02.412
280,154548,Egypt,366,39,279,19,5,68,,,4,2020-03-23 23:50:01.64
281,154744,Egypt,366,39,279,19,5,68,,,4,2020-03-24 00:00:02.416
282,154940,Egypt,366,39,279,19,5,68,,,4,2020-03-24 00:10:02.473
283,155136,Egypt,366,39,279,19,5,68,,,4,2020-03-24 00:20:02.398
284,155332,Egypt,366,39,279,19,5,68,,,4,2020-03-24 00:30:02.606
285,155528,Egypt,366,39,279,19,5,68,,,4,2020-03-24 00:40:01.638
286,155724,Egypt,366,39,279,19,5,68,,,4,2020-03-24 00:50:01.588
287,155920,Egypt,366,39,279,19,5,68,,,4,2020-03-24 01:00:02.229
288,156116,Egypt,366,39,279,19,5,68,,,4,2020-03-24 01:10:02.563
289,156312,Egypt,366,39,279,19,5,68,,,4,2020-03-24 01:20:02.494
290,156508,Egypt,366,39,279,19,5,68,,,4,2020-03-24 01:30:02.072
291,156704,Egypt,366,39,279,19,5,68,,,4,2020-03-24 01:40:01.828
292,156900,Egypt,366,39,279,19,5,68,,,4,2020-03-24 01:50:02.227
293,157096,Egypt,366,39,279,19,5,68,,,4,2020-03-24 02:00:02.164
294,157292,Egypt,366,39,279,19,5,68,,,4,2020-03-24 02:10:01.803
295,157488,Egypt,366,,279,19,,68,,,4,2020-03-24 02:20:01.723
296,157685,Egypt,366,,279,19,,68,,,4,2020-03-24 02:30:01.925
297,157881,Egypt,366,,279,19,,68,,,4,2020-03-24 02:40:02.188
298,158077,Egypt,366,,279,19,,68,,,4,2020-03-24 02:50:02.55
299,158273,Egypt,366,,279,19,,68,,,4,2020-03-24 03:00:02.247
300,158469,Egypt,366,,279,19,,68,,,4,2020-03-24 03:10:02.372
301,158665,Egypt,366,,279,19,,68,,,4,2020-03-24 03:20:02.434
302,158861,Egypt,366,,279,19,,68,,,4,2020-03-24 03:30:01.631
303,159057,Egypt,366,,279,19,,68,,,4,2020-03-24 03:40:01.877
304,159253,Egypt,366,,279,19,,68,,,4,2020-03-24 03:50:02.013
305,159449,Egypt,366,,279,19,,68,,,4,2020-03-24 04:00:02.48
306,159645,Egypt,366,,279,19,,68,,,4,2020-03-24 04:10:02.29
307,159841,Egypt,366,,279,19,,68,,,4,2020-03-24 04:20:02.35
308,160037,Egypt,366,,279,19,,68,,,4,2020-03-24 04:30:02.532
309,160233,Egypt,366,,279,19,,68,,,4,2020-03-24 04:40:02.124
310,160429,Egypt,366,,279,19,,68,,,4,2020-03-24 04:50:02.249
311,160625,Egypt,366,,279,19,,68,,,4,2020-03-24 05:00:01.646
312,160821,Egypt,366,,279,19,,68,,,4,2020-03-24 05:10:02.043
313,161017,Egypt,366,,279,19,,68,,,4,2020-03-24 05:20:02.402
314,161213,Egypt,366,,279,19,,68,,,4,2020-03-24 05:30:02.249
315,161409,Egypt,366,,279,19,,68,,,4,2020-03-24 05:40:01.63
316,161605,Egypt,366,,279,19,,68,,,4,2020-03-24 05:50:01.94
