,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100907,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 00:00:02.483
1,101096,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 00:10:02.327
2,101285,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 00:20:02.401
3,101474,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 00:30:02.053
4,101663,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 00:40:02.56
5,101852,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 00:50:01.898
6,102041,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 01:00:01.656
7,102230,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 01:10:02.184
8,102419,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 01:20:02.26
9,102608,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 01:30:02.051
10,102797,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 01:40:02.218
11,102986,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 01:50:02.054
12,103175,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 02:00:01.626
13,103364,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 02:10:01.659
14,103553,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 02:20:02.44
15,103742,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 02:30:01.848
16,103931,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 02:40:02.273
17,104120,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 02:50:01.692
18,104309,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 03:00:02.482
19,104498,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 03:10:02.128
20,104687,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 03:20:02.286
21,104876,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 03:30:01.618
22,105065,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 03:40:02.473
23,105254,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 03:50:02.419
24,105443,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 04:00:02.368
25,105632,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 04:10:02.471
26,105821,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 04:20:02.205
27,106010,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 04:30:01.838
28,106200,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 04:40:01.728
29,106389,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 04:50:02.186
30,106578,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 05:00:02.283
31,106767,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 05:10:02.023
32,106956,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 05:20:02.539
33,107145,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 05:30:01.917
34,107334,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 05:40:02.393
35,107523,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 05:50:01.706
36,107712,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 06:00:02.31
37,107901,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 06:10:02.48
38,108090,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 06:20:02.308
39,108279,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 06:30:02.468
40,108468,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 06:40:01.627
41,108657,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 06:50:02.568
42,108846,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 07:00:01.882
43,109035,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 07:10:01.602
44,109224,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 07:20:01.725
45,109413,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 07:30:02.517
46,109602,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 07:40:02.004
47,109791,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 07:50:01.639
48,109980,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 08:00:02.288
49,110169,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 08:10:01.955
50,110358,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 08:20:02.461
51,110547,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 08:30:01.924
52,110736,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 08:40:02.277
53,110925,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 08:50:01.998
54,111114,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 09:00:02.386
55,111303,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 09:10:02.333
56,111492,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 09:20:01.679
57,111681,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 09:30:01.858
58,111870,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 09:40:02.077
59,112059,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 09:50:02.389
60,112248,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 10:00:01.658
61,112437,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 10:10:02.03
62,112626,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 10:20:02.283
63,112815,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 10:30:02.203
64,113004,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 10:50:02.099
65,113193,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 11:00:01.809
66,113382,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 11:10:02.337
67,113571,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 11:20:02.297
68,113760,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 11:30:02.571
69,113949,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 11:40:01.658
70,114138,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 11:50:02.534
71,114327,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 12:00:01.655
72,114516,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 12:10:02.323
73,114706,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 12:20:01.826
74,114895,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 12:30:02.517
75,115084,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 12:40:02.46
76,115273,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 12:50:02.108
77,115462,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 13:00:01.691
78,115651,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 13:10:01.964
79,115840,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 13:20:01.995
80,116029,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 13:30:02.353
81,116218,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 13:40:02.609
82,116407,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 13:50:01.753
83,116596,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 14:00:02.347
84,116785,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 14:10:02.014
85,116974,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 14:20:01.732
86,117163,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 14:30:02.279
87,117352,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 14:40:01.994
88,117541,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 14:50:01.896
89,117730,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 15:00:01.708
90,117919,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 15:10:01.808
91,118108,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 15:20:02.115
92,118297,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 15:30:02.542
93,118486,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 15:40:01.608
94,118675,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 15:50:02.028
95,118864,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 16:00:01.887
96,119053,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 16:10:02.607
97,119243,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 16:40:02.392
98,119433,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 16:50:02.248
99,119623,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 17:00:02.174
100,119813,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 17:10:01.966
101,120003,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 17:20:01.901
102,120193,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 17:30:03.26
103,120383,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 17:40:03.136
104,120573,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 17:50:01.957
105,120763,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 18:00:01.753
106,120953,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 18:10:02.492
107,121143,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 18:30:02.036
108,121333,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 18:40:02.238
109,121523,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 18:50:02.468
110,121713,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 19:00:01.712
111,121903,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 19:10:01.802
112,122093,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 19:20:01.774
113,122283,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 19:30:02.213
114,122474,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 19:40:02.298
115,122666,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 19:50:02.038
116,122858,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 20:00:02.199
117,123050,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 20:10:02.435
118,123242,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 20:20:01.689
119,123434,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 20:30:01.705
120,123626,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 20:40:02.242
121,123818,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 20:50:02.144
122,124010,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 21:00:01.651
123,124202,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 21:10:02.274
124,124395,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 21:20:02.379
125,124588,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 21:30:02.09
126,124781,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 21:40:02.262
127,124974,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 21:50:02.451
128,125167,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 22:00:02.593
129,125360,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 22:10:02.087
130,125553,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 22:20:01.881
131,125746,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 22:30:01.794
132,125939,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 22:40:01.8
133,126132,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 22:50:01.828
134,126325,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 23:00:02.502
135,126518,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 23:10:02.549
136,126711,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 23:20:01.891
137,126904,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 23:30:01.863
138,127097,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 23:40:02.207
139,127290,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 23:50:01.664
140,127483,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 00:00:02.179
141,127677,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 00:10:01.95
142,127870,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 00:20:02.492
143,128063,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 00:30:02.344
144,128256,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 00:40:01.875
145,128449,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 00:50:02.095
146,128642,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 01:00:02.319
147,128835,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 01:10:01.782
148,129028,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 01:20:02.43
149,129221,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 01:30:02.407
150,129414,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 01:40:02.085
151,129607,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 01:50:02.168
152,129800,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 02:00:02.269
153,129993,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 02:10:02.435
154,130186,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 02:20:02.448
155,130379,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 02:30:01.911
156,130572,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 02:40:01.69
157,130765,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 02:50:02.471
158,130958,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 03:00:01.655
159,131151,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 03:10:02.377
160,131344,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 03:20:02.558
161,131537,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 03:30:02.093
162,131730,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 03:40:01.746
163,131923,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 03:50:02.043
164,132116,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 04:00:02.36
165,132309,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 04:10:02.185
166,132502,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 04:20:02.316
167,132695,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 04:30:02.294
168,132888,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 04:40:01.894
169,133081,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 04:50:01.593
170,133274,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 05:00:02.347
171,133467,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 05:10:02.388
172,133660,Equatorial Guinea,6,,6,,,,,,4,2020-03-23 05:20:02.591
