,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100945,Eritrea,1,1,1,,,,,,0.3,2020-03-22 00:00:02.483
1,101134,Eritrea,1,1,1,,,,,,0.3,2020-03-22 00:10:02.327
2,101323,Eritrea,1,1,1,,,,,,0.3,2020-03-22 00:20:02.401
3,101512,Eritrea,1,1,1,,,,,,0.3,2020-03-22 00:30:02.053
4,101701,Eritrea,1,1,1,,,,,,0.3,2020-03-22 00:40:02.56
5,101890,Eritrea,1,1,1,,,,,,0.3,2020-03-22 00:50:01.898
6,102079,Eritrea,1,1,1,,,,,,0.3,2020-03-22 01:00:01.656
7,102268,Eritrea,1,1,1,,,,,,0.3,2020-03-22 01:10:02.184
8,102457,Eritrea,1,1,1,,,,,,0.3,2020-03-22 01:20:02.26
9,102646,Eritrea,1,1,1,,,,,,0.3,2020-03-22 01:30:02.051
10,102835,Eritrea,1,1,1,,,,,,0.3,2020-03-22 01:40:02.218
11,103024,Eritrea,1,1,1,,,,,,0.3,2020-03-22 01:50:02.054
12,103213,Eritrea,1,1,1,,,,,,0.3,2020-03-22 02:00:01.626
13,103402,Eritrea,1,1,1,,,,,,0.3,2020-03-22 02:10:01.659
14,103591,Eritrea,1,1,1,,,,,,0.3,2020-03-22 02:20:02.44
15,103780,Eritrea,1,1,1,,,,,,0.3,2020-03-22 02:30:01.848
16,103969,Eritrea,1,1,1,,,,,,0.3,2020-03-22 02:40:02.273
17,104158,Eritrea,1,1,1,,,,,,0.3,2020-03-22 02:50:01.692
18,104347,Eritrea,1,1,1,,,,,,0.3,2020-03-22 03:00:02.482
19,104536,Eritrea,1,1,1,,,,,,0.3,2020-03-22 03:10:02.128
20,104725,Eritrea,1,1,1,,,,,,0.3,2020-03-22 03:20:02.286
21,104914,Eritrea,1,,1,,,,,,0.3,2020-03-22 03:30:01.618
22,105103,Eritrea,1,,1,,,,,,0.3,2020-03-22 03:40:02.473
23,105292,Eritrea,1,,1,,,,,,0.3,2020-03-22 03:50:02.419
24,105481,Eritrea,1,,1,,,,,,0.3,2020-03-22 04:00:02.368
25,105670,Eritrea,1,,1,,,,,,0.3,2020-03-22 04:10:02.471
26,105859,Eritrea,1,,1,,,,,,0.3,2020-03-22 04:20:02.205
27,106048,Eritrea,1,,1,,,,,,0.3,2020-03-22 04:30:01.838
28,106238,Eritrea,1,,1,,,,,,0.3,2020-03-22 04:40:01.728
29,106427,Eritrea,1,,1,,,,,,0.3,2020-03-22 04:50:02.186
30,106616,Eritrea,1,,1,,,,,,0.3,2020-03-22 05:00:02.283
31,106805,Eritrea,1,,1,,,,,,0.3,2020-03-22 05:10:02.023
32,106994,Eritrea,1,,1,,,,,,0.3,2020-03-22 05:20:02.539
33,107183,Eritrea,1,,1,,,,,,0.3,2020-03-22 05:30:01.917
34,107372,Eritrea,1,,1,,,,,,0.3,2020-03-22 05:40:02.393
35,107561,Eritrea,1,,1,,,,,,0.3,2020-03-22 05:50:01.706
36,107750,Eritrea,1,,1,,,,,,0.3,2020-03-22 06:00:02.31
37,107939,Eritrea,1,,1,,,,,,0.3,2020-03-22 06:10:02.48
38,108128,Eritrea,1,,1,,,,,,0.3,2020-03-22 06:20:02.308
39,108317,Eritrea,1,,1,,,,,,0.3,2020-03-22 06:30:02.468
40,108506,Eritrea,1,,1,,,,,,0.3,2020-03-22 06:40:01.627
41,108695,Eritrea,1,,1,,,,,,0.3,2020-03-22 06:50:02.568
42,108884,Eritrea,1,,1,,,,,,0.3,2020-03-22 07:00:01.882
43,109073,Eritrea,1,,1,,,,,,0.3,2020-03-22 07:10:01.602
44,109262,Eritrea,1,,1,,,,,,0.3,2020-03-22 07:20:01.725
45,109451,Eritrea,1,,1,,,,,,0.3,2020-03-22 07:30:02.517
46,109640,Eritrea,1,,1,,,,,,0.3,2020-03-22 07:40:02.004
47,109829,Eritrea,1,,1,,,,,,0.3,2020-03-22 07:50:01.639
48,110018,Eritrea,1,,1,,,,,,0.3,2020-03-22 08:00:02.288
49,110207,Eritrea,1,,1,,,,,,0.3,2020-03-22 08:10:01.955
50,110396,Eritrea,1,,1,,,,,,0.3,2020-03-22 08:20:02.461
51,110585,Eritrea,1,,1,,,,,,0.3,2020-03-22 08:30:01.924
52,110774,Eritrea,1,,1,,,,,,0.3,2020-03-22 08:40:02.277
53,110963,Eritrea,1,,1,,,,,,0.3,2020-03-22 08:50:01.998
54,111152,Eritrea,1,,1,,,,,,0.3,2020-03-22 09:00:02.386
55,111341,Eritrea,1,,1,,,,,,0.3,2020-03-22 09:10:02.333
56,111530,Eritrea,1,,1,,,,,,0.3,2020-03-22 09:20:01.679
57,111719,Eritrea,1,,1,,,,,,0.3,2020-03-22 09:30:01.858
58,111908,Eritrea,1,,1,,,,,,0.3,2020-03-22 09:40:02.077
59,112097,Eritrea,1,,1,,,,,,0.3,2020-03-22 09:50:02.389
60,112286,Eritrea,1,,1,,,,,,0.3,2020-03-22 10:00:01.658
61,112475,Eritrea,1,,1,,,,,,0.3,2020-03-22 10:10:02.03
62,112664,Eritrea,1,,1,,,,,,0.3,2020-03-22 10:20:02.283
63,112853,Eritrea,1,,1,,,,,,0.3,2020-03-22 10:30:02.203
64,113042,Eritrea,1,,1,,,,,,0.3,2020-03-22 10:50:02.099
65,113231,Eritrea,1,,1,,,,,,0.3,2020-03-22 11:00:01.809
66,113420,Eritrea,1,,1,,,,,,0.3,2020-03-22 11:10:02.337
67,113609,Eritrea,1,,1,,,,,,0.3,2020-03-22 11:20:02.297
68,113798,Eritrea,1,,1,,,,,,0.3,2020-03-22 11:30:02.571
69,113987,Eritrea,1,,1,,,,,,0.3,2020-03-22 11:40:01.658
70,114176,Eritrea,1,,1,,,,,,0.3,2020-03-22 11:50:02.534
71,114365,Eritrea,1,,1,,,,,,0.3,2020-03-22 12:00:01.655
72,114554,Eritrea,1,,1,,,,,,0.3,2020-03-22 12:10:02.323
73,114743,Eritrea,1,,1,,,,,,0.3,2020-03-22 12:20:01.826
74,114932,Eritrea,1,,1,,,,,,0.3,2020-03-22 12:30:02.517
75,115121,Eritrea,1,,1,,,,,,0.3,2020-03-22 12:40:02.46
76,115310,Eritrea,1,,1,,,,,,0.3,2020-03-22 12:50:02.108
77,115499,Eritrea,1,,1,,,,,,0.3,2020-03-22 13:00:01.691
78,115688,Eritrea,1,,1,,,,,,0.3,2020-03-22 13:10:01.964
79,115877,Eritrea,1,,1,,,,,,0.3,2020-03-22 13:20:01.995
80,116066,Eritrea,1,,1,,,,,,0.3,2020-03-22 13:30:02.353
81,116256,Eritrea,1,,1,,,,,,0.3,2020-03-22 13:40:02.609
82,116445,Eritrea,1,,1,,,,,,0.3,2020-03-22 13:50:01.753
83,116634,Eritrea,1,,1,,,,,,0.3,2020-03-22 14:00:02.347
84,116823,Eritrea,1,,1,,,,,,0.3,2020-03-22 14:10:02.014
85,117012,Eritrea,1,,1,,,,,,0.3,2020-03-22 14:20:01.732
86,117201,Eritrea,1,,1,,,,,,0.3,2020-03-22 14:30:02.279
87,117390,Eritrea,1,,1,,,,,,0.3,2020-03-22 14:40:01.994
88,117579,Eritrea,1,,1,,,,,,0.3,2020-03-22 14:50:01.896
89,117768,Eritrea,1,,1,,,,,,0.3,2020-03-22 15:00:01.708
90,117957,Eritrea,1,,1,,,,,,0.3,2020-03-22 15:10:01.808
91,118146,Eritrea,1,,1,,,,,,0.3,2020-03-22 15:20:02.115
92,118335,Eritrea,1,,1,,,,,,0.3,2020-03-22 15:30:02.542
93,118524,Eritrea,1,,1,,,,,,0.3,2020-03-22 15:40:01.608
94,118713,Eritrea,1,,1,,,,,,0.3,2020-03-22 15:50:02.028
95,118902,Eritrea,1,,1,,,,,,0.3,2020-03-22 16:00:01.887
96,119091,Eritrea,1,,1,,,,,,0.3,2020-03-22 16:10:02.607
97,119281,Eritrea,1,,1,,,,,,0.3,2020-03-22 16:40:02.392
98,119471,Eritrea,1,,1,,,,,,0.3,2020-03-22 16:50:02.248
99,119661,Eritrea,1,,1,,,,,,0.3,2020-03-22 17:00:02.174
