,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100932,Fiji,2,1,2,,,,,,2,2020-03-22 00:00:02.483
1,101121,Fiji,2,1,2,,,,,,2,2020-03-22 00:10:02.327
2,101310,Fiji,2,1,2,,,,,,2,2020-03-22 00:20:02.401
3,101499,Fiji,2,1,2,,,,,,2,2020-03-22 00:30:02.053
4,101688,Fiji,2,1,2,,,,,,2,2020-03-22 00:40:02.56
5,101877,Fiji,2,1,2,,,,,,2,2020-03-22 00:50:01.898
6,102066,Fiji,2,1,2,,,,,,2,2020-03-22 01:00:01.656
7,102255,Fiji,2,1,2,,,,,,2,2020-03-22 01:10:02.184
8,102444,Fiji,2,1,2,,,,,,2,2020-03-22 01:20:02.26
9,102633,Fiji,2,1,2,,,,,,2,2020-03-22 01:30:02.051
10,102822,Fiji,2,1,2,,,,,,2,2020-03-22 01:40:02.218
11,103011,Fiji,2,1,2,,,,,,2,2020-03-22 01:50:02.054
12,103200,Fiji,2,1,2,,,,,,2,2020-03-22 02:00:01.626
13,103389,Fiji,2,1,2,,,,,,2,2020-03-22 02:10:01.659
14,103578,Fiji,2,1,2,,,,,,2,2020-03-22 02:20:02.44
15,103767,Fiji,2,1,2,,,,,,2,2020-03-22 02:30:01.848
16,103956,Fiji,2,1,2,,,,,,2,2020-03-22 02:40:02.273
17,104145,Fiji,2,1,2,,,,,,2,2020-03-22 02:50:01.692
18,104334,Fiji,2,1,2,,,,,,2,2020-03-22 03:00:02.482
19,104523,Fiji,2,1,2,,,,,,2,2020-03-22 03:10:02.128
20,104712,Fiji,2,1,2,,,,,,2,2020-03-22 03:20:02.286
21,104901,Fiji,2,,2,,,,,,2,2020-03-22 03:30:01.618
22,105090,Fiji,2,,2,,,,,,2,2020-03-22 03:40:02.473
23,105279,Fiji,2,,2,,,,,,2,2020-03-22 03:50:02.419
24,105468,Fiji,2,,2,,,,,,2,2020-03-22 04:00:02.368
