,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100801,Finland,523,73,512,1,1,10,2,,94,2020-03-22 00:00:02.483
1,100990,Finland,523,73,512,1,1,10,2,,94,2020-03-22 00:10:02.327
2,101179,Finland,523,73,512,1,1,10,2,,94,2020-03-22 00:20:02.401
3,101368,Finland,523,73,512,1,1,10,2,,94,2020-03-22 00:30:02.053
4,101557,Finland,523,73,512,1,1,10,2,,94,2020-03-22 00:40:02.56
5,101746,Finland,523,73,512,1,1,10,2,,94,2020-03-22 00:50:01.898
6,101935,Finland,523,73,512,1,1,10,2,,94,2020-03-22 01:00:01.656
7,102124,Finland,523,73,512,1,1,10,2,,94,2020-03-22 01:10:02.184
8,102313,Finland,523,73,512,1,1,10,2,,94,2020-03-22 01:20:02.26
9,102502,Finland,523,73,512,1,1,10,2,,94,2020-03-22 01:30:02.051
10,102691,Finland,523,73,512,1,1,10,2,,94,2020-03-22 01:40:02.218
11,102880,Finland,523,73,512,1,1,10,2,,94,2020-03-22 01:50:02.054
12,103069,Finland,523,73,512,1,1,10,2,,94,2020-03-22 02:00:01.626
13,103258,Finland,523,73,512,1,1,10,2,,94,2020-03-22 02:10:01.659
14,103447,Finland,523,73,512,1,1,10,2,,94,2020-03-22 02:20:02.44
15,103636,Finland,523,73,512,1,1,10,2,,94,2020-03-22 02:30:01.848
16,103825,Finland,523,73,512,1,1,10,2,,94,2020-03-22 02:40:02.273
17,104014,Finland,523,73,512,1,1,10,2,,94,2020-03-22 02:50:01.692
18,104203,Finland,523,73,512,1,1,10,2,,94,2020-03-22 03:00:02.482
19,104392,Finland,523,73,512,1,1,10,2,,94,2020-03-22 03:10:02.128
20,104581,Finland,523,73,512,1,1,10,2,,94,2020-03-22 03:20:02.286
21,104770,Finland,523,,512,1,,10,2,,94,2020-03-22 03:30:01.618
22,104959,Finland,523,,512,1,,10,2,,94,2020-03-22 03:40:02.473
23,105148,Finland,523,,512,1,,10,2,,94,2020-03-22 03:50:02.419
24,105337,Finland,523,,512,1,,10,2,,94,2020-03-22 04:00:02.368
25,105526,Finland,523,,512,1,,10,2,,94,2020-03-22 04:10:02.471
26,105715,Finland,523,,512,1,,10,2,,94,2020-03-22 04:20:02.205
27,105904,Finland,523,,512,1,,10,2,,94,2020-03-22 04:30:01.838
28,106093,Finland,523,,512,1,,10,2,,94,2020-03-22 04:40:01.728
29,106282,Finland,523,,512,1,,10,2,,94,2020-03-22 04:50:02.186
30,106471,Finland,523,,512,1,,10,2,,94,2020-03-22 05:00:02.283
31,106660,Finland,523,,512,1,,10,2,,94,2020-03-22 05:10:02.023
32,106850,Finland,523,,512,1,,10,2,,94,2020-03-22 05:20:02.539
33,107039,Finland,523,,512,1,,10,2,,94,2020-03-22 05:30:01.917
34,107228,Finland,523,,512,1,,10,2,,94,2020-03-22 05:40:02.393
35,107417,Finland,523,,512,1,,10,2,,94,2020-03-22 05:50:01.706
36,107606,Finland,523,,512,1,,10,2,,94,2020-03-22 06:00:02.31
37,107795,Finland,523,,512,1,,10,2,,94,2020-03-22 06:10:02.48
38,107984,Finland,523,,512,1,,10,2,,94,2020-03-22 06:20:02.308
39,108173,Finland,523,,512,1,,10,2,,94,2020-03-22 06:30:02.468
40,108362,Finland,523,,512,1,,10,2,,94,2020-03-22 06:40:01.627
41,108551,Finland,523,,512,1,,10,2,,94,2020-03-22 06:50:02.568
42,108740,Finland,523,,512,1,,10,2,,94,2020-03-22 07:00:01.882
43,108929,Finland,523,,512,1,,10,2,,94,2020-03-22 07:10:01.602
44,109118,Finland,523,,512,1,,10,2,,94,2020-03-22 07:20:01.725
45,109307,Finland,523,,512,1,,10,2,,94,2020-03-22 07:30:02.517
46,109496,Finland,523,,512,1,,10,2,,94,2020-03-22 07:40:02.004
47,109685,Finland,523,,512,1,,10,2,,94,2020-03-22 07:50:01.639
48,109874,Finland,523,,512,1,,10,2,,94,2020-03-22 08:00:02.288
49,110063,Finland,523,,512,1,,10,2,,94,2020-03-22 08:10:01.955
50,110252,Finland,523,,512,1,,10,2,,94,2020-03-22 08:20:02.461
51,110441,Finland,523,,512,1,,10,2,,94,2020-03-22 08:30:01.924
52,110630,Finland,523,,512,1,,10,2,,94,2020-03-22 08:40:02.277
53,110819,Finland,523,,512,1,,10,2,,94,2020-03-22 08:50:01.998
54,111008,Finland,523,,512,1,,10,2,,94,2020-03-22 09:00:02.386
55,111197,Finland,523,,512,1,,10,2,,94,2020-03-22 09:10:02.333
56,111386,Finland,523,,512,1,,10,2,,94,2020-03-22 09:20:01.679
57,111575,Finland,523,,512,1,,10,2,,94,2020-03-22 09:30:01.858
58,111764,Finland,523,,512,1,,10,2,,94,2020-03-22 09:40:02.077
59,111953,Finland,523,,512,1,,10,2,,94,2020-03-22 09:50:02.389
60,112142,Finland,523,,512,1,,10,2,,94,2020-03-22 10:00:01.658
61,112331,Finland,523,,512,1,,10,2,,94,2020-03-22 10:10:02.03
62,112520,Finland,523,,512,1,,10,2,,94,2020-03-22 10:20:02.283
63,112705,Finland,594,71,583,1,,10,2,,107,2020-03-22 10:30:02.203
64,112894,Finland,594,71,583,1,,10,2,,107,2020-03-22 10:50:02.099
65,113083,Finland,594,71,583,1,,10,2,,107,2020-03-22 11:00:01.809
66,113272,Finland,594,71,583,1,,10,2,,107,2020-03-22 11:10:02.337
67,113461,Finland,594,71,583,1,,10,2,,107,2020-03-22 11:20:02.297
68,113650,Finland,594,71,583,1,,10,2,,107,2020-03-22 11:30:02.571
69,113839,Finland,594,71,583,1,,10,2,,107,2020-03-22 11:40:01.658
70,114028,Finland,594,71,583,1,,10,2,,107,2020-03-22 11:50:02.534
71,114217,Finland,594,71,583,1,,10,2,,107,2020-03-22 12:00:01.655
72,114406,Finland,594,71,583,1,,10,2,,107,2020-03-22 12:10:02.323
73,114594,Finland,626,103,615,1,,10,2,,113,2020-03-22 12:20:01.826
74,114783,Finland,626,103,615,1,,10,2,,113,2020-03-22 12:30:02.517
75,114972,Finland,626,103,615,1,,10,2,,113,2020-03-22 12:40:02.46
76,115161,Finland,626,103,615,1,,10,12,,113,2020-03-22 12:50:02.108
77,115350,Finland,626,103,615,1,,10,12,,113,2020-03-22 13:00:01.691
78,115539,Finland,626,103,615,1,,10,12,,113,2020-03-22 13:10:01.964
79,115728,Finland,626,103,615,1,,10,12,,113,2020-03-22 13:20:01.995
80,115917,Finland,626,103,615,1,,10,12,,113,2020-03-22 13:30:02.353
81,116106,Finland,626,103,615,1,,10,12,,113,2020-03-22 13:40:02.609
82,116295,Finland,626,103,615,1,,10,12,,113,2020-03-22 13:50:01.753
83,116484,Finland,626,103,615,1,,10,12,,113,2020-03-22 14:00:02.347
84,116674,Finland,626,103,615,1,,10,12,,113,2020-03-22 14:10:02.014
85,116863,Finland,626,103,615,1,,10,12,,113,2020-03-22 14:20:01.732
86,117052,Finland,626,103,615,1,,10,12,,113,2020-03-22 14:30:02.279
87,117241,Finland,626,103,615,1,,10,12,,113,2020-03-22 14:40:01.994
88,117430,Finland,626,103,615,1,,10,12,,113,2020-03-22 14:50:01.896
89,117619,Finland,626,103,615,1,,10,12,,113,2020-03-22 15:00:01.708
90,117808,Finland,626,103,615,1,,10,12,,113,2020-03-22 15:10:01.808
91,117997,Finland,626,103,615,1,,10,12,,113,2020-03-22 15:20:02.115
92,118186,Finland,626,103,615,1,,10,12,,113,2020-03-22 15:30:02.542
93,118375,Finland,626,103,615,1,,10,12,,113,2020-03-22 15:40:01.608
94,118564,Finland,626,103,615,1,,10,12,,113,2020-03-22 15:50:02.028
95,118753,Finland,626,103,615,1,,10,12,,113,2020-03-22 16:00:01.887
96,118942,Finland,626,103,615,1,,10,12,,113,2020-03-22 16:10:02.607
97,119133,Finland,626,103,615,1,,10,12,,113,2020-03-22 16:40:02.392
98,119323,Finland,626,103,615,1,,10,12,,113,2020-03-22 16:50:02.248
99,119513,Finland,626,103,615,1,,10,12,,113,2020-03-22 17:00:02.174
100,119703,Finland,626,103,615,1,,10,12,,113,2020-03-22 17:10:01.966
101,119893,Finland,626,103,615,1,,10,12,,113,2020-03-22 17:20:01.901
102,120084,Finland,626,103,615,1,,10,12,,113,2020-03-22 17:30:03.26
103,120274,Finland,626,103,615,1,,10,12,,113,2020-03-22 17:40:03.136
104,120464,Finland,626,103,615,1,,10,12,,113,2020-03-22 17:50:01.957
105,120654,Finland,626,103,615,1,,10,12,,113,2020-03-22 18:00:01.753
106,120844,Finland,626,103,615,1,,10,12,,113,2020-03-22 18:10:02.492
107,121034,Finland,626,103,615,1,,10,12,,113,2020-03-22 18:30:02.036
108,121224,Finland,626,103,615,1,,10,12,,113,2020-03-22 18:40:02.238
109,121414,Finland,626,103,615,1,,10,12,,113,2020-03-22 18:50:02.468
110,121604,Finland,626,103,615,1,,10,12,,113,2020-03-22 19:00:01.712
111,121794,Finland,626,103,615,1,,10,12,,113,2020-03-22 19:10:01.802
112,121984,Finland,626,103,615,1,,10,12,,113,2020-03-22 19:20:01.774
113,122174,Finland,626,103,615,1,,10,12,,113,2020-03-22 19:30:02.213
114,122365,Finland,626,103,615,1,,10,12,,113,2020-03-22 19:40:02.298
