,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100894,French Polynesia,15,4,15,,,,,,53,2020-03-22 00:00:02.483
1,101083,French Polynesia,15,4,15,,,,,,53,2020-03-22 00:10:02.327
2,101272,French Polynesia,15,4,15,,,,,,53,2020-03-22 00:20:02.401
3,101461,French Polynesia,15,4,15,,,,,,53,2020-03-22 00:30:02.053
4,101650,French Polynesia,15,4,15,,,,,,53,2020-03-22 00:40:02.56
5,101839,French Polynesia,15,4,15,,,,,,53,2020-03-22 00:50:01.898
6,102028,French Polynesia,15,4,15,,,,,,53,2020-03-22 01:00:01.656
7,102217,French Polynesia,15,4,15,,,,,,53,2020-03-22 01:10:02.184
8,102406,French Polynesia,15,4,15,,,,,,53,2020-03-22 01:20:02.26
9,102595,French Polynesia,15,4,15,,,,,,53,2020-03-22 01:30:02.051
10,102784,French Polynesia,15,4,15,,,,,,53,2020-03-22 01:40:02.218
11,102973,French Polynesia,15,4,15,,,,,,53,2020-03-22 01:50:02.054
12,103162,French Polynesia,15,4,15,,,,,,53,2020-03-22 02:00:01.626
13,103351,French Polynesia,15,4,15,,,,,,53,2020-03-22 02:10:01.659
14,103540,French Polynesia,15,4,15,,,,,,53,2020-03-22 02:20:02.44
15,103729,French Polynesia,15,4,15,,,,,,53,2020-03-22 02:30:01.848
16,103918,French Polynesia,15,4,15,,,,,,53,2020-03-22 02:40:02.273
17,104107,French Polynesia,15,4,15,,,,,,53,2020-03-22 02:50:01.692
18,104296,French Polynesia,15,4,15,,,,,,53,2020-03-22 03:00:02.482
19,104485,French Polynesia,15,4,15,,,,,,53,2020-03-22 03:10:02.128
20,104674,French Polynesia,15,4,15,,,,,,53,2020-03-22 03:20:02.286
21,104863,French Polynesia,15,,15,,,,,,53,2020-03-22 03:30:01.618
22,105052,French Polynesia,15,,15,,,,,,53,2020-03-22 03:40:02.473
23,105241,French Polynesia,15,,15,,,,,,53,2020-03-22 03:50:02.419
24,105430,French Polynesia,15,,15,,,,,,53,2020-03-22 04:00:02.368
25,105619,French Polynesia,15,,15,,,,,,53,2020-03-22 04:10:02.471
26,105808,French Polynesia,15,,15,,,,,,53,2020-03-22 04:20:02.205
27,105997,French Polynesia,15,,15,,,,,,53,2020-03-22 04:30:01.838
28,106186,French Polynesia,15,,15,,,,,,53,2020-03-22 04:40:01.728
29,106375,French Polynesia,15,,15,,,,,,53,2020-03-22 04:50:02.186
30,106564,French Polynesia,15,,15,,,,,,53,2020-03-22 05:00:02.283
31,106753,French Polynesia,15,,15,,,,,,53,2020-03-22 05:10:02.023
32,106942,French Polynesia,15,,15,,,,,,53,2020-03-22 05:20:02.539
33,107131,French Polynesia,15,,15,,,,,,53,2020-03-22 05:30:01.917
34,107320,French Polynesia,15,,15,,,,,,53,2020-03-22 05:40:02.393
35,107509,French Polynesia,15,,15,,,,,,53,2020-03-22 05:50:01.706
36,107698,French Polynesia,15,,15,,,,,,53,2020-03-22 06:00:02.31
37,107887,French Polynesia,15,,15,,,,,,53,2020-03-22 06:10:02.48
38,108076,French Polynesia,15,,15,,,,,,53,2020-03-22 06:20:02.308
39,108265,French Polynesia,15,,15,,,,,,53,2020-03-22 06:30:02.468
40,108454,French Polynesia,15,,15,,,,,,53,2020-03-22 06:40:01.627
41,108643,French Polynesia,15,,15,,,,,,53,2020-03-22 06:50:02.568
42,108832,French Polynesia,15,,15,,,,,,53,2020-03-22 07:00:01.882
43,109021,French Polynesia,15,,15,,,,,,53,2020-03-22 07:10:01.602
44,109210,French Polynesia,15,,15,,,,,,53,2020-03-22 07:20:01.725
45,109399,French Polynesia,15,,15,,,,,,53,2020-03-22 07:30:02.517
46,109588,French Polynesia,15,,15,,,,,,53,2020-03-22 07:40:02.004
47,109777,French Polynesia,15,,15,,,,,,53,2020-03-22 07:50:01.639
48,109966,French Polynesia,15,,15,,,,,,53,2020-03-22 08:00:02.288
49,110155,French Polynesia,15,,15,,,,,,53,2020-03-22 08:10:01.955
50,110344,French Polynesia,15,,15,,,,,,53,2020-03-22 08:20:02.461
51,110533,French Polynesia,15,,15,,,,,,53,2020-03-22 08:30:01.924
52,110722,French Polynesia,15,,15,,,,,,53,2020-03-22 08:40:02.277
53,110911,French Polynesia,15,,15,,,,,,53,2020-03-22 08:50:01.998
54,111100,French Polynesia,15,,15,,,,,,53,2020-03-22 09:00:02.386
55,111289,French Polynesia,15,,15,,,,,,53,2020-03-22 09:10:02.333
56,111478,French Polynesia,15,,15,,,,,,53,2020-03-22 09:20:01.679
57,111667,French Polynesia,15,,15,,,,,,53,2020-03-22 09:30:01.858
58,111856,French Polynesia,15,,15,,,,,,53,2020-03-22 09:40:02.077
59,112045,French Polynesia,15,,15,,,,,,53,2020-03-22 09:50:02.389
60,112234,French Polynesia,15,,15,,,,,,53,2020-03-22 10:00:01.658
61,112423,French Polynesia,15,,15,,,,,,53,2020-03-22 10:10:02.03
62,112612,French Polynesia,15,,15,,,,,,53,2020-03-22 10:20:02.283
63,112801,French Polynesia,15,,15,,,,,,53,2020-03-22 10:30:02.203
64,112990,French Polynesia,15,,15,,,,,,53,2020-03-22 10:50:02.099
