,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100866,Georgia,49,5,48,,,1,1,,12,2020-03-22 00:00:02.483
1,101055,Georgia,49,5,48,,,1,1,,12,2020-03-22 00:10:02.327
2,101244,Georgia,49,5,48,,,1,1,,12,2020-03-22 00:20:02.401
3,101433,Georgia,49,5,48,,,1,1,,12,2020-03-22 00:30:02.053
4,101622,Georgia,49,5,48,,,1,1,,12,2020-03-22 00:40:02.56
5,101811,Georgia,49,5,48,,,1,1,,12,2020-03-22 00:50:01.898
6,102000,Georgia,49,5,48,,,1,1,,12,2020-03-22 01:00:01.656
7,102189,Georgia,49,5,48,,,1,1,,12,2020-03-22 01:10:02.184
8,102378,Georgia,49,5,48,,,1,1,,12,2020-03-22 01:20:02.26
9,102567,Georgia,49,5,48,,,1,1,,12,2020-03-22 01:30:02.051
10,102756,Georgia,49,5,48,,,1,1,,12,2020-03-22 01:40:02.218
11,102945,Georgia,49,5,48,,,1,1,,12,2020-03-22 01:50:02.054
12,103134,Georgia,49,5,48,,,1,1,,12,2020-03-22 02:00:01.626
13,103323,Georgia,49,5,48,,,1,1,,12,2020-03-22 02:10:01.659
14,103512,Georgia,49,5,48,,,1,1,,12,2020-03-22 02:20:02.44
15,103701,Georgia,49,5,48,,,1,1,,12,2020-03-22 02:30:01.848
16,103890,Georgia,49,5,48,,,1,1,,12,2020-03-22 02:40:02.273
17,104079,Georgia,49,5,48,,,1,1,,12,2020-03-22 02:50:01.692
18,104268,Georgia,49,5,48,,,1,1,,12,2020-03-22 03:00:02.482
19,104457,Georgia,49,5,48,,,1,1,,12,2020-03-22 03:10:02.128
20,104646,Georgia,49,5,48,,,1,1,,12,2020-03-22 03:20:02.286
21,104835,Georgia,49,,48,,,1,1,,12,2020-03-22 03:30:01.618
22,105024,Georgia,49,,48,,,1,1,,12,2020-03-22 03:40:02.473
23,105213,Georgia,49,,48,,,1,1,,12,2020-03-22 03:50:02.419
24,105402,Georgia,49,,48,,,1,1,,12,2020-03-22 04:00:02.368
25,105591,Georgia,49,,48,,,1,1,,12,2020-03-22 04:10:02.471
26,105780,Georgia,49,,48,,,1,1,,12,2020-03-22 04:20:02.205
27,105969,Georgia,49,,48,,,1,1,,12,2020-03-22 04:30:01.838
28,106158,Georgia,49,,48,,,1,1,,12,2020-03-22 04:40:01.728
29,106347,Georgia,49,,48,,,1,1,,12,2020-03-22 04:50:02.186
30,106536,Georgia,49,,48,,,1,1,,12,2020-03-22 05:00:02.283
31,106725,Georgia,49,,48,,,1,1,,12,2020-03-22 05:10:02.023
32,106914,Georgia,49,,48,,,1,1,,12,2020-03-22 05:20:02.539
33,107103,Georgia,49,,48,,,1,1,,12,2020-03-22 05:30:01.917
34,107292,Georgia,49,,48,,,1,1,,12,2020-03-22 05:40:02.393
35,107481,Georgia,49,,48,,,1,1,,12,2020-03-22 05:50:01.706
36,107670,Georgia,49,,48,,,1,1,,12,2020-03-22 06:00:02.31
37,107859,Georgia,49,,48,,,1,1,,12,2020-03-22 06:10:02.48
38,108043,Georgia,54,5,53,,,1,1,,14,2020-03-22 06:20:02.308
39,108232,Georgia,54,5,53,,,1,1,,14,2020-03-22 06:30:02.468
40,108421,Georgia,54,5,53,,,1,1,,14,2020-03-22 06:40:01.627
41,108610,Georgia,54,5,53,,,1,1,,14,2020-03-22 06:50:02.568
42,108799,Georgia,54,5,53,,,1,1,,14,2020-03-22 07:00:01.882
43,108988,Georgia,54,5,53,,,1,1,,14,2020-03-22 07:10:01.602
44,109177,Georgia,54,5,53,,,1,1,,14,2020-03-22 07:20:01.725
45,109366,Georgia,54,5,53,,,1,1,,14,2020-03-22 07:30:02.517
46,109555,Georgia,54,5,53,,,1,1,,14,2020-03-22 07:40:02.004
47,109744,Georgia,54,5,53,,,1,1,,14,2020-03-22 07:50:01.639
48,109933,Georgia,54,5,53,,,1,1,,14,2020-03-22 08:00:02.288
49,110122,Georgia,54,5,53,,,1,1,,14,2020-03-22 08:10:01.955
50,110311,Georgia,54,5,53,,,1,1,,14,2020-03-22 08:20:02.461
51,110500,Georgia,54,5,53,,,1,1,,14,2020-03-22 08:30:01.924
52,110689,Georgia,54,5,53,,,1,1,,14,2020-03-22 08:40:02.277
53,110878,Georgia,54,5,53,,,1,1,,14,2020-03-22 08:50:01.998
54,111067,Georgia,54,5,53,,,1,1,,14,2020-03-22 09:00:02.386
55,111256,Georgia,54,5,53,,,1,1,,14,2020-03-22 09:10:02.333
56,111445,Georgia,54,5,53,,,1,1,,14,2020-03-22 09:20:01.679
57,111634,Georgia,54,5,53,,,1,1,,14,2020-03-22 09:30:01.858
58,111823,Georgia,54,5,53,,,1,1,,14,2020-03-22 09:40:02.077
59,112012,Georgia,54,5,53,,,1,1,,14,2020-03-22 09:50:02.389
60,112201,Georgia,54,5,53,,,1,1,,14,2020-03-22 10:00:01.658
61,112390,Georgia,54,5,53,,,1,1,,14,2020-03-22 10:10:02.03
62,112579,Georgia,54,5,53,,,1,1,,14,2020-03-22 10:20:02.283
63,112768,Georgia,54,5,53,,,1,1,,14,2020-03-22 10:30:02.203
64,112957,Georgia,54,5,53,,,1,1,,14,2020-03-22 10:50:02.099
65,113146,Georgia,54,5,53,,,1,1,,14,2020-03-22 11:00:01.809
66,113335,Georgia,54,5,53,,,1,1,,14,2020-03-22 11:10:02.337
67,113524,Georgia,54,5,53,,,1,1,,14,2020-03-22 11:20:02.297
68,113713,Georgia,54,5,53,,,1,1,,14,2020-03-22 11:30:02.571
69,113902,Georgia,54,5,53,,,1,1,,14,2020-03-22 11:40:01.658
70,114091,Georgia,54,5,53,,,1,1,,14,2020-03-22 11:50:02.534
71,114280,Georgia,54,5,53,,,1,1,,14,2020-03-22 12:00:01.655
72,114469,Georgia,54,5,53,,,1,1,,14,2020-03-22 12:10:02.323
73,114659,Georgia,54,5,53,,,1,1,,14,2020-03-22 12:20:01.826
74,114849,Georgia,54,5,53,,,1,1,,14,2020-03-22 12:30:02.517
75,115038,Georgia,54,5,53,,,1,1,,14,2020-03-22 12:40:02.46
76,115228,Georgia,54,5,53,,,1,1,,14,2020-03-22 12:50:02.108
77,115417,Georgia,54,5,53,,,1,1,,14,2020-03-22 13:00:01.691
78,115606,Georgia,54,5,53,,,1,1,,14,2020-03-22 13:10:01.964
79,115795,Georgia,54,5,53,,,1,1,,14,2020-03-22 13:20:01.995
80,115984,Georgia,54,5,53,,,1,1,,14,2020-03-22 13:30:02.353
81,116173,Georgia,54,5,53,,,1,1,,14,2020-03-22 13:40:02.609
82,116362,Georgia,54,5,53,,,1,1,,14,2020-03-22 13:50:01.753
83,116552,Georgia,54,5,53,,,1,1,,14,2020-03-22 14:00:02.347
84,116741,Georgia,54,5,53,,,1,1,,14,2020-03-22 14:10:02.014
85,116930,Georgia,54,5,53,,,1,1,,14,2020-03-22 14:20:01.732
86,117119,Georgia,54,5,53,,,1,1,,14,2020-03-22 14:30:02.279
87,117308,Georgia,54,5,53,,,1,1,,14,2020-03-22 14:40:01.994
88,117497,Georgia,54,5,53,,,1,1,,14,2020-03-22 14:50:01.896
89,117686,Georgia,54,5,53,,,1,1,,14,2020-03-22 15:00:01.708
90,117875,Georgia,54,5,53,,,1,1,,14,2020-03-22 15:10:01.808
91,118064,Georgia,54,5,53,,,1,1,,14,2020-03-22 15:20:02.115
92,118253,Georgia,54,5,53,,,1,1,,14,2020-03-22 15:30:02.542
93,118443,Georgia,54,5,53,,,1,1,,14,2020-03-22 15:40:01.608
94,118632,Georgia,54,5,53,,,1,1,,14,2020-03-22 15:50:02.028
95,118821,Georgia,54,5,53,,,1,1,,14,2020-03-22 16:00:01.887
96,119010,Georgia,54,5,53,,,1,1,,14,2020-03-22 16:10:02.607
97,119200,Georgia,54,5,53,,,1,1,,14,2020-03-22 16:40:02.392
98,119390,Georgia,54,5,53,,,1,1,,14,2020-03-22 16:50:02.248
99,119580,Georgia,54,5,53,,,1,1,,14,2020-03-22 17:00:02.174
100,119770,Georgia,54,5,53,,,1,1,,14,2020-03-22 17:10:01.966
101,119960,Georgia,54,5,53,,,1,1,,14,2020-03-22 17:20:01.901
102,120150,Georgia,54,5,53,,,1,1,,14,2020-03-22 17:30:03.26
103,120340,Georgia,54,5,53,,,1,1,,14,2020-03-22 17:40:03.136
104,120530,Georgia,54,5,53,,,1,1,,14,2020-03-22 17:50:01.957
105,120720,Georgia,54,5,53,,,1,1,,14,2020-03-22 18:00:01.753
106,120910,Georgia,54,5,53,,,1,1,,14,2020-03-22 18:10:02.492
107,121100,Georgia,54,5,53,,,1,1,,14,2020-03-22 18:30:02.036
108,121290,Georgia,54,5,53,,,1,1,,14,2020-03-22 18:40:02.238
109,121480,Georgia,54,5,53,,,1,1,,14,2020-03-22 18:50:02.468
110,121670,Georgia,54,5,53,,,1,1,,14,2020-03-22 19:00:01.712
111,121860,Georgia,54,5,53,,,1,1,,14,2020-03-22 19:10:01.802
112,122050,Georgia,54,5,53,,,1,1,,14,2020-03-22 19:20:01.774
