,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100772,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 00:00:02.483
1,100961,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 00:10:02.327
2,101150,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 00:20:02.401
3,101339,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 00:30:02.053
4,101528,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 00:40:02.56
5,101717,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 00:50:01.898
6,101906,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 01:00:01.656
7,102095,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 01:10:02.184
8,102284,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 01:20:02.26
9,102473,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 01:30:02.051
10,102662,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 01:40:02.218
11,102851,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 01:50:02.054
12,103040,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 02:00:01.626
13,103229,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 02:10:01.659
14,103418,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 02:20:02.44
15,103607,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 02:30:01.848
16,103796,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 02:40:02.273
17,103985,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 02:50:01.692
18,104174,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 03:00:02.482
19,104363,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 03:10:02.128
20,104552,Germany,"22,364","2,516","22,071",84,16,209,2,,267,2020-03-22 03:20:02.286
21,104741,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 03:30:01.618
22,104930,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 03:40:02.473
23,105119,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 03:50:02.419
24,105308,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 04:00:02.368
25,105497,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 04:10:02.471
26,105686,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 04:20:02.205
27,105875,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 04:30:01.838
28,106064,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 04:40:01.728
29,106253,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 04:50:02.186
30,106442,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 05:00:02.283
31,106631,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 05:10:02.023
32,106820,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 05:20:02.539
33,107009,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 05:30:01.917
34,107198,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 05:40:02.393
35,107387,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 05:50:01.706
36,107576,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 06:00:02.31
37,107765,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 06:10:02.48
38,107954,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 06:20:02.308
39,108143,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 06:30:02.468
40,108332,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 06:40:01.627
41,108521,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 06:50:02.568
42,108710,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 07:00:01.882
43,108899,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 07:10:01.602
44,109088,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 07:20:01.725
45,109277,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 07:30:02.517
46,109466,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 07:40:02.004
47,109655,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 07:50:01.639
48,109844,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 08:00:02.288
49,110033,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 08:10:01.955
50,110222,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 08:20:02.461
51,110411,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 08:30:01.924
52,110600,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 08:40:02.277
53,110789,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 08:50:01.998
54,110978,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 09:00:02.386
55,111167,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 09:10:02.333
56,111356,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 09:20:01.679
57,111545,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 09:30:01.858
58,111734,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 09:40:02.077
59,111923,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 09:50:02.389
60,112112,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 10:00:01.658
61,112301,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 10:10:02.03
62,112490,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 10:20:02.283
63,112679,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 10:30:02.203
64,112868,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 10:50:02.099
65,113057,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 11:00:01.809
66,113246,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 11:10:02.337
67,113435,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 11:20:02.297
68,113624,Germany,"22,364",,"22,071",84,,209,2,,267,2020-03-22 11:30:02.571
69,113813,Germany,"23,129",765,"22,827",93,9,209,2,,276,2020-03-22 11:40:01.658
70,114002,Germany,"23,129",765,"22,827",93,9,209,2,,276,2020-03-22 11:50:02.534
71,114191,Germany,"23,129",765,"22,827",93,9,209,2,,276,2020-03-22 12:00:01.655
72,114380,Germany,"23,129",765,"22,827",93,9,209,2,,276,2020-03-22 12:10:02.323
73,114569,Germany,"23,129",765,"22,827",93,9,209,2,,276,2020-03-22 12:20:01.826
74,114758,Germany,"23,129",765,"22,827",93,9,209,2,,276,2020-03-22 12:30:02.517
75,114947,Germany,"23,129",765,"22,827",93,9,209,2,,276,2020-03-22 12:40:02.46
76,115136,Germany,"23,129",765,"22,827",93,9,209,2,,276,2020-03-22 12:50:02.108
77,115325,Germany,"23,129",765,"22,827",93,9,209,2,,276,2020-03-22 13:00:01.691
78,115514,Germany,"23,129",765,"22,827",93,9,209,2,,276,2020-03-22 13:10:01.964
79,115703,Germany,"23,129",765,"22,827",93,9,209,2,,276,2020-03-22 13:20:01.995
80,115892,Germany,"23,129",765,"22,827",93,9,209,2,,276,2020-03-22 13:30:02.353
81,116081,Germany,"23,129",765,"22,827",93,9,209,2,,276,2020-03-22 13:40:02.609
82,116270,Germany,"23,129",765,"22,770",93,9,266,2,,276,2020-03-22 13:50:01.753
83,116459,Germany,"23,937","1,573","23,578",93,9,266,2,,286,2020-03-22 14:00:02.347
84,116648,Germany,"23,937","1,573","23,578",93,9,266,2,,286,2020-03-22 14:10:02.014
85,116837,Germany,"23,937","1,573","23,578",93,9,266,2,,286,2020-03-22 14:20:01.732
86,117026,Germany,"23,937","1,573","23,578",93,9,266,2,,286,2020-03-22 14:30:02.279
87,117215,Germany,"23,937","1,573","23,578",93,9,266,2,,286,2020-03-22 14:40:01.994
88,117404,Germany,"23,937","1,573","23,578",93,9,266,2,,286,2020-03-22 14:50:01.896
89,117593,Germany,"23,937","1,573","23,578",93,9,266,2,,286,2020-03-22 15:00:01.708
90,117782,Germany,"23,937","1,573","23,578",93,9,266,2,,286,2020-03-22 15:10:01.808
91,117971,Germany,"23,937","1,573","23,578",93,9,266,2,,286,2020-03-22 15:20:02.115
92,118160,Germany,"23,974","1,610","23,615",93,9,266,2,,286,2020-03-22 15:30:02.542
93,118349,Germany,"23,974","1,610","23,615",93,9,266,2,,286,2020-03-22 15:40:01.608
94,118538,Germany,"23,974","1,610","23,615",93,9,266,2,,286,2020-03-22 15:50:02.028
