,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100933,Greenland,2,,2,,,,,,35,2020-03-22 00:00:02.483
1,101122,Greenland,2,,2,,,,,,35,2020-03-22 00:10:02.327
2,101311,Greenland,2,,2,,,,,,35,2020-03-22 00:20:02.401
3,101500,Greenland,2,,2,,,,,,35,2020-03-22 00:30:02.053
4,101689,Greenland,2,,2,,,,,,35,2020-03-22 00:40:02.56
5,101878,Greenland,2,,2,,,,,,35,2020-03-22 00:50:01.898
6,102067,Greenland,2,,2,,,,,,35,2020-03-22 01:00:01.656
7,102256,Greenland,2,,2,,,,,,35,2020-03-22 01:10:02.184
8,102445,Greenland,2,,2,,,,,,35,2020-03-22 01:20:02.26
9,102634,Greenland,2,,2,,,,,,35,2020-03-22 01:30:02.051
10,102823,Greenland,2,,2,,,,,,35,2020-03-22 01:40:02.218
11,103012,Greenland,2,,2,,,,,,35,2020-03-22 01:50:02.054
12,103201,Greenland,2,,2,,,,,,35,2020-03-22 02:00:01.626
13,103390,Greenland,2,,2,,,,,,35,2020-03-22 02:10:01.659
14,103579,Greenland,2,,2,,,,,,35,2020-03-22 02:20:02.44
15,103768,Greenland,2,,2,,,,,,35,2020-03-22 02:30:01.848
16,103957,Greenland,2,,2,,,,,,35,2020-03-22 02:40:02.273
17,104146,Greenland,2,,2,,,,,,35,2020-03-22 02:50:01.692
18,104335,Greenland,2,,2,,,,,,35,2020-03-22 03:00:02.482
19,104524,Greenland,2,,2,,,,,,35,2020-03-22 03:10:02.128
20,104713,Greenland,2,,2,,,,,,35,2020-03-22 03:20:02.286
21,104902,Greenland,2,,2,,,,,,35,2020-03-22 03:30:01.618
22,105091,Greenland,2,,2,,,,,,35,2020-03-22 03:40:02.473
23,105280,Greenland,2,,2,,,,,,35,2020-03-22 03:50:02.419
24,105469,Greenland,2,,2,,,,,,35,2020-03-22 04:00:02.368
25,105658,Greenland,2,,2,,,,,,35,2020-03-22 04:10:02.471
26,105847,Greenland,2,,2,,,,,,35,2020-03-22 04:20:02.205
27,106036,Greenland,2,,2,,,,,,35,2020-03-22 04:30:01.838
28,106226,Greenland,2,,2,,,,,,35,2020-03-22 04:40:01.728
29,106415,Greenland,2,,2,,,,,,35,2020-03-22 04:50:02.186
30,106604,Greenland,2,,2,,,,,,35,2020-03-22 05:00:02.283
31,106793,Greenland,2,,2,,,,,,35,2020-03-22 05:10:02.023
32,106982,Greenland,2,,2,,,,,,35,2020-03-22 05:20:02.539
33,107171,Greenland,2,,2,,,,,,35,2020-03-22 05:30:01.917
34,107360,Greenland,2,,2,,,,,,35,2020-03-22 05:40:02.393
35,107549,Greenland,2,,2,,,,,,35,2020-03-22 05:50:01.706
36,107738,Greenland,2,,2,,,,,,35,2020-03-22 06:00:02.31
37,107927,Greenland,2,,2,,,,,,35,2020-03-22 06:10:02.48
38,108116,Greenland,2,,2,,,,,,35,2020-03-22 06:20:02.308
39,108305,Greenland,2,,2,,,,,,35,2020-03-22 06:30:02.468
40,108494,Greenland,2,,2,,,,,,35,2020-03-22 06:40:01.627
41,108683,Greenland,2,,2,,,,,,35,2020-03-22 06:50:02.568
42,108872,Greenland,2,,2,,,,,,35,2020-03-22 07:00:01.882
43,109061,Greenland,2,,2,,,,,,35,2020-03-22 07:10:01.602
44,109250,Greenland,2,,2,,,,,,35,2020-03-22 07:20:01.725
45,109439,Greenland,2,,2,,,,,,35,2020-03-22 07:30:02.517
46,109628,Greenland,2,,2,,,,,,35,2020-03-22 07:40:02.004
47,109817,Greenland,2,,2,,,,,,35,2020-03-22 07:50:01.639
48,110006,Greenland,2,,2,,,,,,35,2020-03-22 08:00:02.288
49,110195,Greenland,2,,2,,,,,,35,2020-03-22 08:10:01.955
50,110384,Greenland,2,,2,,,,,,35,2020-03-22 08:20:02.461
51,110573,Greenland,2,,2,,,,,,35,2020-03-22 08:30:01.924
