,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100858,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 00:00:02.483
1,101047,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 00:10:02.327
2,101236,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 00:20:02.401
3,101425,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 00:30:02.053
4,101614,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 00:40:02.56
5,101803,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 00:50:01.898
6,101992,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 01:00:01.656
7,102181,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 01:10:02.184
8,102370,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 01:20:02.26
9,102559,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 01:30:02.051
10,102748,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 01:40:02.218
11,102937,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 01:50:02.054
12,103127,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 02:00:01.626
13,103316,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 02:10:01.659
14,103505,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 02:20:02.44
15,103694,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 02:30:01.848
16,103883,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 02:40:02.273
17,104072,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 02:50:01.692
18,104261,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 03:00:02.482
19,104450,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 03:10:02.128
20,104639,Guadeloupe,56,5,55,1,,,4,,140,2020-03-22 03:20:02.286
21,104828,Guadeloupe,56,,55,1,,,4,,140,2020-03-22 03:30:01.618
22,105017,Guadeloupe,56,,55,1,,,4,,140,2020-03-22 03:40:02.473
23,105206,Guadeloupe,56,,55,1,,,4,,140,2020-03-22 03:50:02.419
24,105395,Guadeloupe,56,,55,1,,,4,,140,2020-03-22 04:00:02.368
25,105584,Guadeloupe,56,,55,1,,,4,,140,2020-03-22 04:10:02.471
26,105773,Guadeloupe,56,,55,1,,,4,,140,2020-03-22 04:20:02.205
27,105962,Guadeloupe,56,,55,1,,,4,,140,2020-03-22 04:30:01.838
28,106151,Guadeloupe,56,,55,1,,,4,,140,2020-03-22 04:40:01.728
29,106340,Guadeloupe,56,,55,1,,,4,,140,2020-03-22 04:50:02.186
