,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100934,Guinea,2,,2,,,,,,0.2,2020-03-22 00:00:02.483
1,100950,Papua New Guinea,1,,1,,,,,,0.1,2020-03-22 00:00:02.483
2,100907,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 00:00:02.483
3,101096,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 00:10:02.327
4,101123,Guinea,2,,2,,,,,,0.2,2020-03-22 00:10:02.327
5,101139,Papua New Guinea,1,,1,,,,,,0.1,2020-03-22 00:10:02.327
6,101285,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 00:20:02.401
7,101312,Guinea,2,,2,,,,,,0.2,2020-03-22 00:20:02.401
8,101328,Papua New Guinea,1,,1,,,,,,0.1,2020-03-22 00:20:02.401
9,101501,Guinea,2,,2,,,,,,0.2,2020-03-22 00:30:02.053
10,101474,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 00:30:02.053
11,101517,Papua New Guinea,1,,1,,,,,,0.1,2020-03-22 00:30:02.053
12,101663,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 00:40:02.56
13,101690,Guinea,2,,2,,,,,,0.2,2020-03-22 00:40:02.56
14,101706,Papua New Guinea,1,,1,,,,,,0.1,2020-03-22 00:40:02.56
15,101852,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 00:50:01.898
16,101879,Guinea,2,,2,,,,,,0.2,2020-03-22 00:50:01.898
17,101895,Papua New Guinea,1,,1,,,,,,0.1,2020-03-22 00:50:01.898
18,102041,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 01:00:01.656
19,102068,Guinea,2,,2,,,,,,0.2,2020-03-22 01:00:01.656
20,102084,Papua New Guinea,1,,1,,,,,,0.1,2020-03-22 01:00:01.656
21,102230,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 01:10:02.184
22,102257,Guinea,2,,2,,,,,,0.2,2020-03-22 01:10:02.184
23,102273,Papua New Guinea,1,,1,,,,,,0.1,2020-03-22 01:10:02.184
24,102419,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 01:20:02.26
25,102446,Guinea,2,,2,,,,,,0.2,2020-03-22 01:20:02.26
26,102462,Papua New Guinea,1,,1,,,,,,0.1,2020-03-22 01:20:02.26
27,102608,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 01:30:02.051
28,102635,Guinea,2,,2,,,,,,0.2,2020-03-22 01:30:02.051
29,102651,Papua New Guinea,1,,1,,,,,,0.1,2020-03-22 01:30:02.051
30,102797,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 01:40:02.218
31,102824,Guinea,2,,2,,,,,,0.2,2020-03-22 01:40:02.218
32,102840,Papua New Guinea,1,,1,,,,,,0.1,2020-03-22 01:40:02.218
33,102986,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 01:50:02.054
34,103013,Guinea,2,,2,,,,,,0.2,2020-03-22 01:50:02.054
35,103029,Papua New Guinea,1,,1,,,,,,0.1,2020-03-22 01:50:02.054
36,103175,Equatorial Guinea,6,,6,,,,,,4,2020-03-22 02:00:01.626
