,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100877,Honduras,24,,24,,,,,,2,2020-03-22 00:00:02.483
1,101066,Honduras,24,,24,,,,,,2,2020-03-22 00:10:02.327
2,101255,Honduras,24,,24,,,,,,2,2020-03-22 00:20:02.401
3,101444,Honduras,24,,24,,,,,,2,2020-03-22 00:30:02.053
4,101633,Honduras,24,,24,,,,,,2,2020-03-22 00:40:02.56
5,101822,Honduras,24,,24,,,,,,2,2020-03-22 00:50:01.898
6,102011,Honduras,24,,24,,,,,,2,2020-03-22 01:00:01.656
7,102200,Honduras,24,,24,,,,,,2,2020-03-22 01:10:02.184
8,102389,Honduras,24,,24,,,,,,2,2020-03-22 01:20:02.26
9,102578,Honduras,24,,24,,,,,,2,2020-03-22 01:30:02.051
10,102767,Honduras,24,,24,,,,,,2,2020-03-22 01:40:02.218
11,102956,Honduras,24,,24,,,,,,2,2020-03-22 01:50:02.054
12,103145,Honduras,24,,24,,,,,,2,2020-03-22 02:00:01.626
13,103334,Honduras,24,,24,,,,,,2,2020-03-22 02:10:01.659
14,103523,Honduras,24,,24,,,,,,2,2020-03-22 02:20:02.44
15,103712,Honduras,24,,24,,,,,,2,2020-03-22 02:30:01.848
16,103901,Honduras,24,,24,,,,,,2,2020-03-22 02:40:02.273
17,104090,Honduras,24,,24,,,,,,2,2020-03-22 02:50:01.692
18,104279,Honduras,24,,24,,,,,,2,2020-03-22 03:00:02.482
19,104468,Honduras,24,,24,,,,,,2,2020-03-22 03:10:02.128
20,104657,Honduras,24,,24,,,,,,2,2020-03-22 03:20:02.286
21,104846,Honduras,24,,24,,,,,,2,2020-03-22 03:30:01.618
22,105035,Honduras,24,,24,,,,,,2,2020-03-22 03:40:02.473
23,105224,Honduras,24,,24,,,,,,2,2020-03-22 03:50:02.419
24,105413,Honduras,24,,24,,,,,,2,2020-03-22 04:00:02.368
25,105602,Honduras,24,,24,,,,,,2,2020-03-22 04:10:02.471
26,105791,Honduras,24,,24,,,,,,2,2020-03-22 04:20:02.205
27,105980,Honduras,24,,24,,,,,,2,2020-03-22 04:30:01.838
28,106167,Honduras,26,2,26,,,,,,3,2020-03-22 04:40:01.728
29,106356,Honduras,26,2,26,,,,,,3,2020-03-22 04:50:02.186
30,106545,Honduras,26,2,26,,,,,,3,2020-03-22 05:00:02.283
31,106734,Honduras,26,2,26,,,,,,3,2020-03-22 05:10:02.023
32,106923,Honduras,26,2,26,,,,,,3,2020-03-22 05:20:02.539
33,107112,Honduras,26,2,26,,,,,,3,2020-03-22 05:30:01.917
34,107301,Honduras,26,2,26,,,,,,3,2020-03-22 05:40:02.393
35,107490,Honduras,26,2,26,,,,,,3,2020-03-22 05:50:01.706
36,107679,Honduras,26,2,26,,,,,,3,2020-03-22 06:00:02.31
37,107868,Honduras,26,2,26,,,,,,3,2020-03-22 06:10:02.48
38,108057,Honduras,26,2,26,,,,,,3,2020-03-22 06:20:02.308
39,108246,Honduras,26,2,26,,,,,,3,2020-03-22 06:30:02.468
40,108435,Honduras,26,2,26,,,,,,3,2020-03-22 06:40:01.627
41,108624,Honduras,26,2,26,,,,,,3,2020-03-22 06:50:02.568
42,108813,Honduras,26,2,26,,,,,,3,2020-03-22 07:00:01.882
43,109002,Honduras,26,2,26,,,,,,3,2020-03-22 07:10:01.602
44,109191,Honduras,26,2,26,,,,,,3,2020-03-22 07:20:01.725
