,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100817,Hong Kong,273,17,171,4,,98,4,,36,2020-03-22 00:00:02.483
1,101006,Hong Kong,273,17,171,4,,98,4,,36,2020-03-22 00:10:02.327
2,101195,Hong Kong,273,17,171,4,,98,4,,36,2020-03-22 00:20:02.401
3,101384,Hong Kong,273,17,171,4,,98,4,,36,2020-03-22 00:30:02.053
4,101573,Hong Kong,273,17,171,4,,98,4,,36,2020-03-22 00:40:02.56
5,101762,Hong Kong,273,17,171,4,,98,4,,36,2020-03-22 00:50:01.898
6,101951,Hong Kong,273,17,171,4,,98,4,,36,2020-03-22 01:00:01.656
7,102140,Hong Kong,273,17,171,4,,98,4,,36,2020-03-22 01:10:02.184
8,102329,Hong Kong,273,17,171,4,,98,4,,36,2020-03-22 01:20:02.26
9,102518,Hong Kong,273,17,171,4,,98,4,,36,2020-03-22 01:30:02.051
10,102707,Hong Kong,274,18,170,4,,100,4,,37,2020-03-22 01:40:02.218
11,102896,Hong Kong,274,18,170,4,,100,4,,37,2020-03-22 01:50:02.054
12,103085,Hong Kong,274,18,170,4,,100,4,,37,2020-03-22 02:00:01.626
13,103274,Hong Kong,274,18,170,4,,100,4,,37,2020-03-22 02:10:01.659
14,103463,Hong Kong,274,18,170,4,,100,4,,37,2020-03-22 02:20:02.44
15,103652,Hong Kong,274,18,170,4,,100,4,,37,2020-03-22 02:30:01.848
16,103841,Hong Kong,274,18,170,4,,100,4,,37,2020-03-22 02:40:02.273
17,104030,Hong Kong,274,18,170,4,,100,4,,37,2020-03-22 02:50:01.692
18,104219,Hong Kong,274,18,170,4,,100,4,,37,2020-03-22 03:00:02.482
19,104408,Hong Kong,274,18,170,4,,100,4,,37,2020-03-22 03:10:02.128
20,104597,Hong Kong,274,18,170,4,,100,4,,37,2020-03-22 03:20:02.286
21,104786,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 03:30:01.618
22,104975,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 03:40:02.473
23,105164,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 03:50:02.419
24,105353,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 04:00:02.368
25,105542,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 04:10:02.471
26,105731,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 04:20:02.205
27,105920,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 04:30:01.838
28,106109,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 04:40:01.728
29,106298,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 04:50:02.186
30,106487,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 05:00:02.283
31,106676,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 05:10:02.023
32,106865,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 05:20:02.539
33,107054,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 05:30:01.917
34,107243,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 05:40:02.393
35,107432,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 05:50:01.706
36,107621,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 06:00:02.31
37,107810,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 06:10:02.48
38,107999,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 06:20:02.308
39,108188,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 06:30:02.468
40,108377,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 06:40:01.627
41,108566,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 06:50:02.568
42,108755,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 07:00:01.882
43,108944,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 07:10:01.602
44,109133,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 07:20:01.725
45,109322,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 07:30:02.517
46,109511,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 07:40:02.004
47,109700,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 07:50:01.639
48,109889,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 08:00:02.288
49,110078,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 08:10:01.955
50,110267,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 08:20:02.461
51,110456,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 08:30:01.924
52,110645,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 08:40:02.277
53,110834,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 08:50:01.998
54,111023,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 09:00:02.386
55,111212,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 09:10:02.333
56,111401,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 09:20:01.679
57,111590,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 09:30:01.858
58,111779,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 09:40:02.077
59,111968,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 09:50:02.389
60,112157,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 10:00:01.658
61,112346,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 10:10:02.03
62,112535,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 10:20:02.283
63,112724,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 10:30:02.203
64,112913,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 10:50:02.099
65,113102,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 11:00:01.809
66,113291,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 11:10:02.337
67,113480,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 11:20:02.297
68,113669,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 11:30:02.571
69,113858,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 11:40:01.658
70,114047,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 11:50:02.534
71,114236,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 12:00:01.655
72,114425,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 12:10:02.323
73,114614,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 12:20:01.826
74,114803,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 12:30:02.517
75,114992,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 12:40:02.46
76,115181,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 12:50:02.108
77,115370,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 13:00:01.691
78,115559,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 13:10:01.964
79,115748,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 13:20:01.995
80,115937,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 13:30:02.353
81,116126,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 13:40:02.609
82,116315,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 13:50:01.753
83,116504,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 14:00:02.347
84,116693,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 14:10:02.014
85,116882,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 14:20:01.732
86,117071,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 14:30:02.279
87,117260,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 14:40:01.994
88,117449,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 14:50:01.896
89,117638,Hong Kong,274,,170,4,,100,4,,37,2020-03-22 15:00:01.708
90,117826,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 15:10:01.808
91,118015,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 15:20:02.115
92,118204,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 15:30:02.542
93,118393,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 15:40:01.608
94,118582,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 15:50:02.028
95,118771,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 16:00:01.887
96,118960,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 16:10:02.607
97,119150,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 16:40:02.392
98,119340,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 16:50:02.248
99,119530,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 17:00:02.174
100,119720,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 17:10:01.966
101,119910,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 17:20:01.901
102,120100,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 17:30:03.26
103,120290,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 17:40:03.136
104,120480,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 17:50:01.957
105,120670,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 18:00:01.753
106,120860,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 18:10:02.492
107,121050,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 18:30:02.036
108,121240,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 18:40:02.238
109,121430,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 18:50:02.468
110,121620,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 19:00:01.712
111,121810,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 19:10:01.802
112,122000,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 19:20:01.774
113,122190,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 19:30:02.213
114,122381,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 19:40:02.298
115,122573,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 19:50:02.038
116,122765,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 20:00:02.199
117,122957,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 20:10:02.435
118,123149,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 20:20:01.689
119,123342,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 20:30:01.705
120,123534,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 20:40:02.242
121,123726,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 20:50:02.144
122,123918,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 21:00:01.651
123,124110,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 21:10:02.274
124,124303,Hong Kong,317,43,213,4,,100,4,,42,2020-03-22 21:20:02.379
