,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100803,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 00:00:02.483
1,100992,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 00:10:02.327
2,101181,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 00:20:02.401
3,101370,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 00:30:02.053
4,101559,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 00:40:02.56
5,101748,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 00:50:01.898
6,101937,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 01:00:01.656
7,102126,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 01:10:02.184
8,102315,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 01:20:02.26
9,102504,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 01:30:02.051
10,102693,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 01:40:02.218
11,102882,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 01:50:02.054
12,103071,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 02:00:01.626
13,103260,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 02:10:01.659
14,103449,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 02:20:02.44
15,103638,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 02:30:01.848
16,103827,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 02:40:02.273
17,104016,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 02:50:01.692
18,104205,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 03:00:02.482
19,104394,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 03:10:02.128
20,104583,Iceland,473,64,467,1,1,5,1,,"1,386",2020-03-22 03:20:02.286
21,104772,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 03:30:01.618
22,104961,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 03:40:02.473
23,105150,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 03:50:02.419
24,105339,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 04:00:02.368
25,105528,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 04:10:02.471
26,105717,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 04:20:02.205
27,105906,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 04:30:01.838
28,106095,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 04:40:01.728
29,106284,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 04:50:02.186
30,106473,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 05:00:02.283
31,106662,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 05:10:02.023
32,106852,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 05:20:02.539
33,107041,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 05:30:01.917
34,107230,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 05:40:02.393
35,107419,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 05:50:01.706
36,107608,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 06:00:02.31
37,107797,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 06:10:02.48
38,107986,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 06:20:02.308
39,108175,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 06:30:02.468
40,108364,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 06:40:01.627
41,108553,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 06:50:02.568
42,108742,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 07:00:01.882
43,108931,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 07:10:01.602
44,109120,Iceland,473,,467,1,,5,1,,"1,386",2020-03-22 07:20:01.725
