,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100793,Ireland,785,102,777,3,,5,13,,159,2020-03-22 00:00:02.483
1,100982,Ireland,785,102,777,3,,5,13,,159,2020-03-22 00:10:02.327
2,101171,Ireland,785,102,777,3,,5,13,,159,2020-03-22 00:20:02.401
3,101360,Ireland,785,102,777,3,,5,13,,159,2020-03-22 00:30:02.053
4,101549,Ireland,785,102,777,3,,5,13,,159,2020-03-22 00:40:02.56
5,101738,Ireland,785,102,777,3,,5,13,,159,2020-03-22 00:50:01.898
6,101927,Ireland,785,102,777,3,,5,13,,159,2020-03-22 01:00:01.656
7,102116,Ireland,785,102,777,3,,5,13,,159,2020-03-22 01:10:02.184
8,102305,Ireland,785,102,777,3,,5,13,,159,2020-03-22 01:20:02.26
9,102494,Ireland,785,102,777,3,,5,13,,159,2020-03-22 01:30:02.051
10,102683,Ireland,785,102,777,3,,5,13,,159,2020-03-22 01:40:02.218
11,102872,Ireland,785,102,777,3,,5,13,,159,2020-03-22 01:50:02.054
12,103061,Ireland,785,102,777,3,,5,13,,159,2020-03-22 02:00:01.626
13,103250,Ireland,785,102,777,3,,5,13,,159,2020-03-22 02:10:01.659
14,103439,Ireland,785,102,777,3,,5,13,,159,2020-03-22 02:20:02.44
15,103628,Ireland,785,102,777,3,,5,13,,159,2020-03-22 02:30:01.848
16,103817,Ireland,785,102,777,3,,5,13,,159,2020-03-22 02:40:02.273
17,104006,Ireland,785,102,777,3,,5,13,,159,2020-03-22 02:50:01.692
18,104195,Ireland,785,102,777,3,,5,13,,159,2020-03-22 03:00:02.482
19,104384,Ireland,785,102,777,3,,5,13,,159,2020-03-22 03:10:02.128
20,104573,Ireland,785,102,777,3,,5,13,,159,2020-03-22 03:20:02.286
21,104762,Ireland,785,,777,3,,5,13,,159,2020-03-22 03:30:01.618
22,104951,Ireland,785,,777,3,,5,13,,159,2020-03-22 03:40:02.473
23,105140,Ireland,785,,777,3,,5,13,,159,2020-03-22 03:50:02.419
24,105329,Ireland,785,,777,3,,5,13,,159,2020-03-22 04:00:02.368
25,105518,Ireland,785,,777,3,,5,13,,159,2020-03-22 04:10:02.471
26,105707,Ireland,785,,777,3,,5,13,,159,2020-03-22 04:20:02.205
27,105896,Ireland,785,,777,3,,5,13,,159,2020-03-22 04:30:01.838
28,106085,Ireland,785,,777,3,,5,13,,159,2020-03-22 04:40:01.728
29,106274,Ireland,785,,777,3,,5,13,,159,2020-03-22 04:50:02.186
30,106463,Ireland,785,,777,3,,5,13,,159,2020-03-22 05:00:02.283
31,106652,Ireland,785,,777,3,,5,13,,159,2020-03-22 05:10:02.023
32,106841,Ireland,785,,777,3,,5,13,,159,2020-03-22 05:20:02.539
33,107030,Ireland,785,,777,3,,5,13,,159,2020-03-22 05:30:01.917
34,107219,Ireland,785,,777,3,,5,13,,159,2020-03-22 05:40:02.393
35,107408,Ireland,785,,777,3,,5,13,,159,2020-03-22 05:50:01.706
36,107597,Ireland,785,,777,3,,5,13,,159,2020-03-22 06:00:02.31
37,107786,Ireland,785,,777,3,,5,13,,159,2020-03-22 06:10:02.48
38,107975,Ireland,785,,777,3,,5,13,,159,2020-03-22 06:20:02.308
39,108164,Ireland,785,,777,3,,5,13,,159,2020-03-22 06:30:02.468
40,108353,Ireland,785,,777,3,,5,13,,159,2020-03-22 06:40:01.627
41,108542,Ireland,785,,777,3,,5,13,,159,2020-03-22 06:50:02.568
42,108731,Ireland,785,,777,3,,5,13,,159,2020-03-22 07:00:01.882
43,108920,Ireland,785,,777,3,,5,13,,159,2020-03-22 07:10:01.602
44,109109,Ireland,785,,777,3,,5,13,,159,2020-03-22 07:20:01.725
45,109298,Ireland,785,,777,3,,5,13,,159,2020-03-22 07:30:02.517
46,109487,Ireland,785,,777,3,,5,13,,159,2020-03-22 07:40:02.004
47,109676,Ireland,785,,777,3,,5,13,,159,2020-03-22 07:50:01.639
48,109865,Ireland,785,,777,3,,5,13,,159,2020-03-22 08:00:02.288
49,110054,Ireland,785,,777,3,,5,13,,159,2020-03-22 08:10:01.955
50,110243,Ireland,785,,777,3,,5,13,,159,2020-03-22 08:20:02.461
51,110432,Ireland,785,,777,3,,5,13,,159,2020-03-22 08:30:01.924
52,110621,Ireland,785,,777,3,,5,13,,159,2020-03-22 08:40:02.277
53,110810,Ireland,785,,777,3,,5,13,,159,2020-03-22 08:50:01.998
54,110999,Ireland,785,,777,3,,5,13,,159,2020-03-22 09:00:02.386
55,111188,Ireland,785,,777,3,,5,13,,159,2020-03-22 09:10:02.333
56,111377,Ireland,785,,777,3,,5,13,,159,2020-03-22 09:20:01.679
57,111566,Ireland,785,,777,3,,5,13,,159,2020-03-22 09:30:01.858
58,111755,Ireland,785,,777,3,,5,13,,159,2020-03-22 09:40:02.077
59,111944,Ireland,785,,777,3,,5,13,,159,2020-03-22 09:50:02.389
60,112133,Ireland,785,,777,3,,5,13,,159,2020-03-22 10:00:01.658
61,112322,Ireland,785,,777,3,,5,13,,159,2020-03-22 10:10:02.03
62,112511,Ireland,785,,777,3,,5,13,,159,2020-03-22 10:20:02.283
63,112700,Ireland,785,,777,3,,5,13,,159,2020-03-22 10:30:02.203
64,112889,Ireland,785,,777,3,,5,13,,159,2020-03-22 10:50:02.099
65,113078,Ireland,785,,777,3,,5,13,,159,2020-03-22 11:00:01.809
66,113267,Ireland,785,,777,3,,5,13,,159,2020-03-22 11:10:02.337
67,113456,Ireland,785,,777,3,,5,13,,159,2020-03-22 11:20:02.297
68,113645,Ireland,785,,777,3,,5,13,,159,2020-03-22 11:30:02.571
69,113834,Ireland,785,,777,3,,5,13,,159,2020-03-22 11:40:01.658
70,114023,Ireland,785,,777,3,,5,13,,159,2020-03-22 11:50:02.534
71,114212,Ireland,785,,777,3,,5,13,,159,2020-03-22 12:00:01.655
72,114401,Ireland,785,,777,3,,5,13,,159,2020-03-22 12:10:02.323
73,114591,Ireland,785,,777,3,,5,13,,159,2020-03-22 12:20:01.826
74,114780,Ireland,785,,777,3,,5,13,,159,2020-03-22 12:30:02.517
75,114969,Ireland,785,,777,3,,5,13,,159,2020-03-22 12:40:02.46
76,115158,Ireland,785,,777,3,,5,13,,159,2020-03-22 12:50:02.108
77,115347,Ireland,785,,777,3,,5,13,,159,2020-03-22 13:00:01.691
78,115536,Ireland,785,,777,3,,5,13,,159,2020-03-22 13:10:01.964
79,115725,Ireland,785,,777,3,,5,13,,159,2020-03-22 13:20:01.995
80,115914,Ireland,785,,777,3,,5,13,,159,2020-03-22 13:30:02.353
81,116103,Ireland,785,,777,3,,5,13,,159,2020-03-22 13:40:02.609
82,116292,Ireland,785,,777,3,,5,13,,159,2020-03-22 13:50:01.753
83,116481,Ireland,785,,777,3,,5,13,,159,2020-03-22 14:00:02.347
84,116670,Ireland,785,,777,3,,5,13,,159,2020-03-22 14:10:02.014
85,116859,Ireland,785,,777,3,,5,13,,159,2020-03-22 14:20:01.732
86,117048,Ireland,785,,777,3,,5,13,,159,2020-03-22 14:30:02.279
87,117237,Ireland,785,,777,3,,5,13,,159,2020-03-22 14:40:01.994
88,117426,Ireland,785,,777,3,,5,13,,159,2020-03-22 14:50:01.896
