,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100936,Isle of Man,2,,2,,,,,,24,2020-03-22 00:00:02.483
1,101125,Isle of Man,2,,2,,,,,,24,2020-03-22 00:10:02.327
2,101314,Isle of Man,2,,2,,,,,,24,2020-03-22 00:20:02.401
3,101503,Isle of Man,2,,2,,,,,,24,2020-03-22 00:30:02.053
4,101692,Isle of Man,2,,2,,,,,,24,2020-03-22 00:40:02.56
5,101881,Isle of Man,2,,2,,,,,,24,2020-03-22 00:50:01.898
6,102070,Isle of Man,2,,2,,,,,,24,2020-03-22 01:00:01.656
7,102259,Isle of Man,2,,2,,,,,,24,2020-03-22 01:10:02.184
8,102448,Isle of Man,2,,2,,,,,,24,2020-03-22 01:20:02.26
9,102637,Isle of Man,2,,2,,,,,,24,2020-03-22 01:30:02.051
10,102826,Isle of Man,2,,2,,,,,,24,2020-03-22 01:40:02.218
11,103015,Isle of Man,2,,2,,,,,,24,2020-03-22 01:50:02.054
12,103204,Isle of Man,2,,2,,,,,,24,2020-03-22 02:00:01.626
13,103393,Isle of Man,2,,2,,,,,,24,2020-03-22 02:10:01.659
14,103582,Isle of Man,2,,2,,,,,,24,2020-03-22 02:20:02.44
15,103771,Isle of Man,2,,2,,,,,,24,2020-03-22 02:30:01.848
16,103960,Isle of Man,2,,2,,,,,,24,2020-03-22 02:40:02.273
17,104149,Isle of Man,2,,2,,,,,,24,2020-03-22 02:50:01.692
18,104338,Isle of Man,2,,2,,,,,,24,2020-03-22 03:00:02.482
19,104527,Isle of Man,2,,2,,,,,,24,2020-03-22 03:10:02.128
20,104716,Isle of Man,2,,2,,,,,,24,2020-03-22 03:20:02.286
21,104905,Isle of Man,2,,2,,,,,,24,2020-03-22 03:30:01.618
22,105094,Isle of Man,2,,2,,,,,,24,2020-03-22 03:40:02.473
23,105283,Isle of Man,2,,2,,,,,,24,2020-03-22 03:50:02.419
24,105472,Isle of Man,2,,2,,,,,,24,2020-03-22 04:00:02.368
25,105661,Isle of Man,2,,2,,,,,,24,2020-03-22 04:10:02.471
26,105850,Isle of Man,2,,2,,,,,,24,2020-03-22 04:20:02.205
27,106039,Isle of Man,2,,2,,,,,,24,2020-03-22 04:30:01.838
28,106229,Isle of Man,2,,2,,,,,,24,2020-03-22 04:40:01.728
29,106418,Isle of Man,2,,2,,,,,,24,2020-03-22 04:50:02.186
30,106607,Isle of Man,2,,2,,,,,,24,2020-03-22 05:00:02.283
31,106796,Isle of Man,2,,2,,,,,,24,2020-03-22 05:10:02.023
32,106985,Isle of Man,2,,2,,,,,,24,2020-03-22 05:20:02.539
33,107174,Isle of Man,2,,2,,,,,,24,2020-03-22 05:30:01.917
34,107363,Isle of Man,2,,2,,,,,,24,2020-03-22 05:40:02.393
35,107552,Isle of Man,2,,2,,,,,,24,2020-03-22 05:50:01.706
36,107741,Isle of Man,2,,2,,,,,,24,2020-03-22 06:00:02.31
37,107930,Isle of Man,2,,2,,,,,,24,2020-03-22 06:10:02.48
38,108119,Isle of Man,2,,2,,,,,,24,2020-03-22 06:20:02.308
39,108308,Isle of Man,2,,2,,,,,,24,2020-03-22 06:30:02.468
40,108497,Isle of Man,2,,2,,,,,,24,2020-03-22 06:40:01.627
41,108686,Isle of Man,2,,2,,,,,,24,2020-03-22 06:50:02.568
42,108875,Isle of Man,2,,2,,,,,,24,2020-03-22 07:00:01.882
43,109064,Isle of Man,2,,2,,,,,,24,2020-03-22 07:10:01.602
44,109253,Isle of Man,2,,2,,,,,,24,2020-03-22 07:20:01.725
45,109442,Isle of Man,2,,2,,,,,,24,2020-03-22 07:30:02.517
46,109631,Isle of Man,2,,2,,,,,,24,2020-03-22 07:40:02.004
