,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100792,Israel,883,178,846,1,,36,15,,102,2020-03-22 00:00:02.483
1,100981,Israel,883,178,846,1,,36,15,,102,2020-03-22 00:10:02.327
2,101170,Israel,883,178,846,1,,36,15,,102,2020-03-22 00:20:02.401
3,101359,Israel,883,178,846,1,,36,15,,102,2020-03-22 00:30:02.053
4,101548,Israel,883,178,846,1,,36,15,,102,2020-03-22 00:40:02.56
5,101737,Israel,883,178,846,1,,36,15,,102,2020-03-22 00:50:01.898
6,101926,Israel,883,178,846,1,,36,15,,102,2020-03-22 01:00:01.656
7,102115,Israel,883,178,846,1,,36,15,,102,2020-03-22 01:10:02.184
8,102304,Israel,883,178,846,1,,36,15,,102,2020-03-22 01:20:02.26
9,102493,Israel,883,178,846,1,,36,15,,102,2020-03-22 01:30:02.051
10,102682,Israel,883,178,846,1,,36,15,,102,2020-03-22 01:40:02.218
11,102871,Israel,883,178,846,1,,36,15,,102,2020-03-22 01:50:02.054
12,103060,Israel,883,178,846,1,,36,15,,102,2020-03-22 02:00:01.626
13,103249,Israel,883,178,846,1,,36,15,,102,2020-03-22 02:10:01.659
14,103438,Israel,883,178,846,1,,36,15,,102,2020-03-22 02:20:02.44
15,103627,Israel,883,178,846,1,,36,15,,102,2020-03-22 02:30:01.848
16,103816,Israel,883,178,846,1,,36,15,,102,2020-03-22 02:40:02.273
17,104005,Israel,883,178,846,1,,36,15,,102,2020-03-22 02:50:01.692
18,104194,Israel,883,178,846,1,,36,15,,102,2020-03-22 03:00:02.482
19,104383,Israel,883,178,846,1,,36,15,,102,2020-03-22 03:10:02.128
20,104572,Israel,883,178,846,1,,36,15,,102,2020-03-22 03:20:02.286
21,104761,Israel,883,,846,1,,36,15,,102,2020-03-22 03:30:01.618
22,104950,Israel,883,,846,1,,36,15,,102,2020-03-22 03:40:02.473
23,105139,Israel,883,,846,1,,36,15,,102,2020-03-22 03:50:02.419
24,105328,Israel,883,,846,1,,36,15,,102,2020-03-22 04:00:02.368
25,105517,Israel,883,,846,1,,36,15,,102,2020-03-22 04:10:02.471
26,105706,Israel,883,,846,1,,36,15,,102,2020-03-22 04:20:02.205
27,105895,Israel,883,,846,1,,36,15,,102,2020-03-22 04:30:01.838
28,106084,Israel,883,,846,1,,36,15,,102,2020-03-22 04:40:01.728
29,106273,Israel,883,,846,1,,36,15,,102,2020-03-22 04:50:02.186
30,106462,Israel,883,,846,1,,36,15,,102,2020-03-22 05:00:02.283
31,106651,Israel,883,,846,1,,36,15,,102,2020-03-22 05:10:02.023
32,106840,Israel,883,,846,1,,36,15,,102,2020-03-22 05:20:02.539
33,107029,Israel,883,,846,1,,36,15,,102,2020-03-22 05:30:01.917
34,107218,Israel,883,,846,1,,36,15,,102,2020-03-22 05:40:02.393
35,107407,Israel,883,,846,1,,36,15,,102,2020-03-22 05:50:01.706
36,107596,Israel,883,,846,1,,36,15,,102,2020-03-22 06:00:02.31
37,107785,Israel,883,,846,1,,36,15,,102,2020-03-22 06:10:02.48
38,107974,Israel,883,,846,1,,36,15,,102,2020-03-22 06:20:02.308
39,108163,Israel,883,,846,1,,36,15,,102,2020-03-22 06:30:02.468
40,108352,Israel,883,,846,1,,36,15,,102,2020-03-22 06:40:01.627
41,108541,Israel,883,,846,1,,36,15,,102,2020-03-22 06:50:02.568
42,108730,Israel,883,,846,1,,36,15,,102,2020-03-22 07:00:01.882
43,108919,Israel,883,,846,1,,36,15,,102,2020-03-22 07:10:01.602
44,109108,Israel,883,,846,1,,36,15,,102,2020-03-22 07:20:01.725
45,109297,Israel,883,,846,1,,36,15,,102,2020-03-22 07:30:02.517
46,109486,Israel,883,,846,1,,36,15,,102,2020-03-22 07:40:02.004
47,109675,Israel,883,,846,1,,36,15,,102,2020-03-22 07:50:01.639
48,109864,Israel,883,,846,1,,36,15,,102,2020-03-22 08:00:02.288
49,110053,Israel,883,,846,1,,36,15,,102,2020-03-22 08:10:01.955
50,110242,Israel,883,,846,1,,36,15,,102,2020-03-22 08:20:02.461
51,110431,Israel,883,,846,1,,36,15,,102,2020-03-22 08:30:01.924
52,110620,Israel,883,,846,1,,36,15,,102,2020-03-22 08:40:02.277
53,110809,Israel,883,,846,1,,36,15,,102,2020-03-22 08:50:01.998
54,110998,Israel,883,,846,1,,36,15,,102,2020-03-22 09:00:02.386
55,111187,Israel,883,,846,1,,36,15,,102,2020-03-22 09:10:02.333
56,111376,Israel,883,,846,1,,36,15,,102,2020-03-22 09:20:01.679
57,111565,Israel,883,,846,1,,36,15,,102,2020-03-22 09:30:01.858
58,111754,Israel,883,,846,1,,36,15,,102,2020-03-22 09:40:02.077
59,111943,Israel,883,,846,1,,36,15,,102,2020-03-22 09:50:02.389
60,112132,Israel,883,,846,1,,36,15,,102,2020-03-22 10:00:01.658
61,112321,Israel,883,,846,1,,36,15,,102,2020-03-22 10:10:02.03
62,112510,Israel,883,,846,1,,36,15,,102,2020-03-22 10:20:02.283
63,112699,Israel,883,,846,1,,36,15,,102,2020-03-22 10:30:02.203
64,112888,Israel,883,,846,1,,36,15,,102,2020-03-22 10:50:02.099
65,113077,Israel,883,,846,1,,36,15,,102,2020-03-22 11:00:01.809
66,113266,Israel,883,,846,1,,36,15,,102,2020-03-22 11:10:02.337
67,113455,Israel,883,,846,1,,36,15,,102,2020-03-22 11:20:02.297
68,113644,Israel,883,,846,1,,36,15,,102,2020-03-22 11:30:02.571
69,113833,Israel,883,,846,1,,36,15,,102,2020-03-22 11:40:01.658
70,114022,Israel,945,62,907,1,,37,20,,109,2020-03-22 11:50:02.534
71,114211,Israel,945,62,907,1,,37,20,,109,2020-03-22 12:00:01.655
72,114400,Israel,945,62,907,1,,37,20,,109,2020-03-22 12:10:02.323
73,114589,Israel,945,62,907,1,,37,20,,109,2020-03-22 12:20:01.826
74,114778,Israel,945,62,907,1,,37,20,,109,2020-03-22 12:30:02.517
75,114967,Israel,945,62,907,1,,37,20,,109,2020-03-22 12:40:02.46
76,115156,Israel,945,62,907,1,,37,20,,109,2020-03-22 12:50:02.108
77,115345,Israel,945,62,907,1,,37,20,,109,2020-03-22 13:00:01.691
78,115534,Israel,945,62,907,1,,37,20,,109,2020-03-22 13:10:01.964
79,115723,Israel,945,62,907,1,,37,20,,109,2020-03-22 13:20:01.995
80,115912,Israel,945,62,907,1,,37,20,,109,2020-03-22 13:30:02.353
81,116101,Israel,945,62,907,1,,37,20,,109,2020-03-22 13:40:02.609
82,116290,Israel,945,62,907,1,,37,20,,109,2020-03-22 13:50:01.753
83,116479,Israel,945,62,907,1,,37,20,,109,2020-03-22 14:00:02.347
84,116668,Israel,945,62,907,1,,37,20,,109,2020-03-22 14:10:02.014
85,116857,Israel,945,62,907,1,,37,20,,109,2020-03-22 14:20:01.732
86,117046,Israel,945,62,907,1,,37,20,,109,2020-03-22 14:30:02.279
87,117235,Israel,945,62,907,1,,37,20,,109,2020-03-22 14:40:01.994
88,117424,Israel,945,62,907,1,,37,20,,109,2020-03-22 14:50:01.896
89,117613,Israel,945,62,907,1,,37,20,,109,2020-03-22 15:00:01.708
90,117802,Israel,945,62,907,1,,37,20,,109,2020-03-22 15:10:01.808
91,117991,Israel,945,62,907,1,,37,20,,109,2020-03-22 15:20:02.115
92,118180,Israel,945,62,907,1,,37,20,,109,2020-03-22 15:30:02.542
93,118369,Israel,945,62,907,1,,37,20,,109,2020-03-22 15:40:01.608
94,118558,Israel,945,62,907,1,,37,20,,109,2020-03-22 15:50:02.028
95,118747,Israel,945,62,907,1,,37,20,,109,2020-03-22 16:00:01.887
96,118936,Israel,945,62,907,1,,37,20,,109,2020-03-22 16:10:02.607
97,119126,Israel,945,62,907,1,,37,20,,109,2020-03-22 16:40:02.392
98,119316,Israel,945,62,907,1,,37,20,,109,2020-03-22 16:50:02.248
99,119506,Israel,945,62,907,1,,37,20,,109,2020-03-22 17:00:02.174
100,119696,Israel,945,62,907,1,,37,20,,109,2020-03-22 17:10:01.966
101,119886,Israel,945,62,907,1,,37,20,,109,2020-03-22 17:20:01.901
102,120076,Israel,945,62,907,1,,37,20,,109,2020-03-22 17:30:03.26
103,120266,Israel,945,62,907,1,,37,20,,109,2020-03-22 17:40:03.136
104,120456,Israel,945,62,907,1,,37,20,,109,2020-03-22 17:50:01.957
105,120646,Israel,945,62,907,1,,37,20,,109,2020-03-22 18:00:01.753
106,120836,Israel,945,62,907,1,,37,20,,109,2020-03-22 18:10:02.492
107,121026,Israel,945,62,907,1,,37,20,,109,2020-03-22 18:30:02.036
108,121216,Israel,945,62,907,1,,37,20,,109,2020-03-22 18:40:02.238
109,121406,Israel,945,62,907,1,,37,20,,109,2020-03-22 18:50:02.468
110,121596,Israel,945,62,907,1,,37,20,,109,2020-03-22 19:00:01.712
111,121786,Israel,945,62,907,1,,37,20,,109,2020-03-22 19:10:01.802
112,121976,Israel,945,62,907,1,,37,20,,109,2020-03-22 19:20:01.774
113,122166,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 19:30:02.213
114,122357,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 19:40:02.298
115,122549,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 19:50:02.038
116,122741,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 20:00:02.199
117,122933,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 20:10:02.435
118,123125,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 20:20:01.689
119,123317,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 20:30:01.705
120,123509,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 20:40:02.242
121,123701,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 20:50:02.144
122,123893,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 21:00:01.651
123,124085,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 21:10:02.274
124,124278,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 21:20:02.379
125,124471,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 21:30:02.09
126,124664,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 21:40:02.262
127,124857,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 21:50:02.451
128,125050,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 22:00:02.593
129,125243,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 22:10:02.087
130,125436,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 22:20:01.881
131,125629,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 22:30:01.794
132,125822,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 22:40:01.8
133,126015,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 22:50:01.828
134,126208,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 23:00:02.502
135,126401,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 23:10:02.549
136,126594,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 23:20:01.891
137,126787,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 23:30:01.863
138,126980,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 23:40:02.207
139,127173,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-22 23:50:01.664
140,127366,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-23 00:00:02.179
141,127559,Israel,"1,071",188,"1,033",1,,37,18,,124,2020-03-23 00:10:01.95
