,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100789,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 00:00:02.483
1,100978,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 00:10:02.327
2,101167,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 00:20:02.401
3,101356,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 00:30:02.053
4,101545,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 00:40:02.56
5,101734,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 00:50:01.898
6,101923,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 01:00:01.656
7,102112,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 01:10:02.184
8,102301,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 01:20:02.26
9,102490,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 01:30:02.051
10,102679,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 01:40:02.218
11,102868,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 01:50:02.054
12,103057,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 02:00:01.626
13,103246,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 02:10:01.659
14,103435,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 02:20:02.44
15,103624,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 02:30:01.848
16,103813,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 02:40:02.273
17,104002,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 02:50:01.692
18,104191,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 03:00:02.482
19,104380,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 03:10:02.128
20,104569,Japan,"1,054",47,803,36,1,215,55,,8,2020-03-22 03:20:02.286
21,104758,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 03:30:01.618
22,104947,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 03:40:02.473
23,105136,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 03:50:02.419
24,105325,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 04:00:02.368
25,105514,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 04:10:02.471
26,105703,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 04:20:02.205
27,105892,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 04:30:01.838
28,106081,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 04:40:01.728
29,106270,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 04:50:02.186
30,106459,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 05:00:02.283
31,106648,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 05:10:02.023
32,106837,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 05:20:02.539
33,107026,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 05:30:01.917
34,107215,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 05:40:02.393
35,107404,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 05:50:01.706
36,107593,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 06:00:02.31
37,107782,Japan,"1,054",,803,36,,215,55,,8,2020-03-22 06:10:02.48
