,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100840,Jordan,100,16,99,,,1,,,10,2020-03-22 00:00:02.483
1,101029,Jordan,100,16,99,,,1,,,10,2020-03-22 00:10:02.327
2,101218,Jordan,100,16,99,,,1,,,10,2020-03-22 00:20:02.401
3,101407,Jordan,100,16,99,,,1,,,10,2020-03-22 00:30:02.053
4,101596,Jordan,100,16,99,,,1,,,10,2020-03-22 00:40:02.56
5,101785,Jordan,100,16,99,,,1,,,10,2020-03-22 00:50:01.898
6,101974,Jordan,100,16,99,,,1,,,10,2020-03-22 01:00:01.656
7,102163,Jordan,100,16,99,,,1,,,10,2020-03-22 01:10:02.184
8,102352,Jordan,100,16,99,,,1,,,10,2020-03-22 01:20:02.26
9,102541,Jordan,100,16,99,,,1,,,10,2020-03-22 01:30:02.051
10,102730,Jordan,100,16,99,,,1,,,10,2020-03-22 01:40:02.218
11,102919,Jordan,100,16,99,,,1,,,10,2020-03-22 01:50:02.054
12,103108,Jordan,100,16,99,,,1,,,10,2020-03-22 02:00:01.626
13,103297,Jordan,100,16,99,,,1,,,10,2020-03-22 02:10:01.659
14,103486,Jordan,100,16,99,,,1,,,10,2020-03-22 02:20:02.44
15,103675,Jordan,100,16,99,,,1,,,10,2020-03-22 02:30:01.848
16,103864,Jordan,100,16,99,,,1,,,10,2020-03-22 02:40:02.273
17,104053,Jordan,100,16,99,,,1,,,10,2020-03-22 02:50:01.692
18,104242,Jordan,100,16,99,,,1,,,10,2020-03-22 03:00:02.482
19,104431,Jordan,100,16,99,,,1,,,10,2020-03-22 03:10:02.128
20,104620,Jordan,100,16,99,,,1,,,10,2020-03-22 03:20:02.286
21,104809,Jordan,100,,99,,,1,,,10,2020-03-22 03:30:01.618
22,104998,Jordan,100,,99,,,1,,,10,2020-03-22 03:40:02.473
23,105187,Jordan,100,,99,,,1,,,10,2020-03-22 03:50:02.419
24,105376,Jordan,100,,99,,,1,,,10,2020-03-22 04:00:02.368
25,105565,Jordan,100,,99,,,1,,,10,2020-03-22 04:10:02.471
26,105754,Jordan,100,,99,,,1,,,10,2020-03-22 04:20:02.205
27,105943,Jordan,100,,99,,,1,,,10,2020-03-22 04:30:01.838
28,106132,Jordan,100,,99,,,1,,,10,2020-03-22 04:40:01.728
29,106321,Jordan,100,,99,,,1,,,10,2020-03-22 04:50:02.186
30,106510,Jordan,100,,99,,,1,,,10,2020-03-22 05:00:02.283
31,106699,Jordan,100,,99,,,1,,,10,2020-03-22 05:10:02.023
32,106889,Jordan,100,,99,,,1,,,10,2020-03-22 05:20:02.539
33,107078,Jordan,100,,99,,,1,,,10,2020-03-22 05:30:01.917
34,107267,Jordan,100,,99,,,1,,,10,2020-03-22 05:40:02.393
35,107456,Jordan,100,,99,,,1,,,10,2020-03-22 05:50:01.706
36,107645,Jordan,100,,99,,,1,,,10,2020-03-22 06:00:02.31
37,107834,Jordan,100,,99,,,1,,,10,2020-03-22 06:10:02.48
38,108023,Jordan,100,,99,,,1,,,10,2020-03-22 06:20:02.308
39,108212,Jordan,100,,99,,,1,,,10,2020-03-22 06:30:02.468
40,108401,Jordan,100,,99,,,1,,,10,2020-03-22 06:40:01.627
41,108590,Jordan,100,,99,,,1,,,10,2020-03-22 06:50:02.568
42,108779,Jordan,100,,99,,,1,,,10,2020-03-22 07:00:01.882
43,108968,Jordan,100,,99,,,1,,,10,2020-03-22 07:10:01.602
44,109157,Jordan,100,,99,,,1,,,10,2020-03-22 07:20:01.725
45,109346,Jordan,100,,99,,,1,,,10,2020-03-22 07:30:02.517
46,109535,Jordan,100,,99,,,1,,,10,2020-03-22 07:40:02.004
47,109724,Jordan,100,,99,,,1,,,10,2020-03-22 07:50:01.639
48,109913,Jordan,100,,99,,,1,,,10,2020-03-22 08:00:02.288
49,110102,Jordan,100,,99,,,1,,,10,2020-03-22 08:10:01.955
50,110291,Jordan,100,,99,,,1,,,10,2020-03-22 08:20:02.461
51,110480,Jordan,100,,99,,,1,,,10,2020-03-22 08:30:01.924
52,110669,Jordan,100,,99,,,1,,,10,2020-03-22 08:40:02.277
53,110858,Jordan,100,,99,,,1,,,10,2020-03-22 08:50:01.998
54,111047,Jordan,100,,99,,,1,,,10,2020-03-22 09:00:02.386
55,111236,Jordan,100,,99,,,1,,,10,2020-03-22 09:10:02.333
56,111425,Jordan,100,,99,,,1,,,10,2020-03-22 09:20:01.679
57,111614,Jordan,100,,99,,,1,,,10,2020-03-22 09:30:01.858
58,111803,Jordan,100,,99,,,1,,,10,2020-03-22 09:40:02.077
59,111992,Jordan,100,,99,,,1,,,10,2020-03-22 09:50:02.389
60,112181,Jordan,100,,99,,,1,,,10,2020-03-22 10:00:01.658
61,112370,Jordan,100,,99,,,1,,,10,2020-03-22 10:10:02.03
62,112559,Jordan,100,,99,,,1,,,10,2020-03-22 10:20:02.283
63,112748,Jordan,100,,99,,,1,,,10,2020-03-22 10:30:02.203
64,112937,Jordan,100,,99,,,1,,,10,2020-03-22 10:50:02.099
65,113126,Jordan,100,,99,,,1,,,10,2020-03-22 11:00:01.809
66,113315,Jordan,100,,99,,,1,,,10,2020-03-22 11:10:02.337
67,113504,Jordan,100,,99,,,1,,,10,2020-03-22 11:20:02.297
68,113694,Jordan,100,,99,,,1,,,10,2020-03-22 11:30:02.571
69,113883,Jordan,100,,99,,,1,,,10,2020-03-22 11:40:01.658
70,114072,Jordan,100,,99,,,1,,,10,2020-03-22 11:50:02.534
71,114262,Jordan,100,,99,,,1,,,10,2020-03-22 12:00:01.655
72,114451,Jordan,100,,99,,,1,,,10,2020-03-22 12:10:02.323
73,114640,Jordan,100,,99,,,1,,,10,2020-03-22 12:20:01.826
74,114829,Jordan,100,,99,,,1,,,10,2020-03-22 12:30:02.517
75,115018,Jordan,100,,99,,,1,,,10,2020-03-22 12:40:02.46
76,115207,Jordan,100,,99,,,1,,,10,2020-03-22 12:50:02.108
77,115396,Jordan,100,,99,,,1,,,10,2020-03-22 13:00:01.691
78,115585,Jordan,100,,99,,,1,,,10,2020-03-22 13:10:01.964
79,115774,Jordan,100,,99,,,1,,,10,2020-03-22 13:20:01.995
80,115963,Jordan,100,,99,,,1,,,10,2020-03-22 13:30:02.353
81,116153,Jordan,100,,99,,,1,,,10,2020-03-22 13:40:02.609
82,116342,Jordan,100,,99,,,1,,,10,2020-03-22 13:50:01.753
83,116531,Jordan,100,,99,,,1,,,10,2020-03-22 14:00:02.347
84,116721,Jordan,100,,99,,,1,,,10,2020-03-22 14:10:02.014
85,116911,Jordan,100,,99,,,1,,,10,2020-03-22 14:20:01.732
86,117100,Jordan,100,,99,,,1,,,10,2020-03-22 14:30:02.279
87,117289,Jordan,100,,99,,,1,,,10,2020-03-22 14:40:01.994
88,117478,Jordan,100,,99,,,1,,,10,2020-03-22 14:50:01.896
89,117667,Jordan,100,,99,,,1,,,10,2020-03-22 15:00:01.708
90,117856,Jordan,100,,99,,,1,,,10,2020-03-22 15:10:01.808
91,118045,Jordan,100,,99,,,1,,,10,2020-03-22 15:20:02.115
