,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100899,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 00:00:02.483
1,101088,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 00:10:02.327
2,101277,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 00:20:02.401
3,101466,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 00:30:02.053
4,101655,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 00:40:02.56
5,101844,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 00:50:01.898
6,102033,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 01:00:01.656
7,102222,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 01:10:02.184
8,102411,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 01:20:02.26
9,102600,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 01:30:02.051
10,102789,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 01:40:02.218
11,102978,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 01:50:02.054
12,103167,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 02:00:01.626
13,103356,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 02:10:01.659
14,103545,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 02:20:02.44
15,103734,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 02:30:01.848
16,103923,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 02:40:02.273
17,104112,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 02:50:01.692
18,104301,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 03:00:02.482
19,104490,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 03:10:02.128
20,104679,Kyrgyzstan,14,8,14,,,,,,2,2020-03-22 03:20:02.286
21,104868,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 03:30:01.618
22,105057,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 03:40:02.473
23,105246,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 03:50:02.419
24,105435,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 04:00:02.368
25,105624,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 04:10:02.471
26,105813,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 04:20:02.205
27,106002,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 04:30:01.838
28,106191,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 04:40:01.728
29,106380,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 04:50:02.186
30,106569,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 05:00:02.283
31,106758,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 05:10:02.023
32,106947,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 05:20:02.539
33,107136,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 05:30:01.917
34,107325,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 05:40:02.393
35,107514,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 05:50:01.706
36,107703,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 06:00:02.31
37,107892,Kyrgyzstan,14,,14,,,,,,2,2020-03-22 06:10:02.48
