,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100820,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 00:00:02.483
1,101009,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 00:10:02.327
2,101198,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 00:20:02.401
3,101387,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 00:30:02.053
4,101576,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 00:40:02.56
5,101765,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 00:50:01.898
6,101954,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 01:00:01.656
7,102143,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 01:10:02.184
8,102332,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 01:20:02.26
9,102521,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 01:30:02.051
10,102710,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 01:40:02.218
11,102899,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 01:50:02.054
12,103088,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 02:00:01.626
13,103277,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 02:10:01.659
14,103466,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 02:20:02.44
15,103655,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 02:30:01.848
16,103844,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 02:40:02.273
17,104033,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 02:50:01.692
18,104222,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 03:00:02.482
19,104411,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 03:10:02.128
20,104600,Lebanon,230,53,218,4,,8,4,,34,2020-03-22 03:20:02.286
21,104789,Lebanon,230,,218,4,,8,4,,34,2020-03-22 03:30:01.618
22,104979,Lebanon,230,,218,4,,8,4,,34,2020-03-22 03:40:02.473
23,105168,Lebanon,230,,218,4,,8,4,,34,2020-03-22 03:50:02.419
24,105357,Lebanon,230,,218,4,,8,4,,34,2020-03-22 04:00:02.368
25,105546,Lebanon,230,,218,4,,8,4,,34,2020-03-22 04:10:02.471
26,105735,Lebanon,230,,218,4,,8,4,,34,2020-03-22 04:20:02.205
27,105924,Lebanon,230,,218,4,,8,4,,34,2020-03-22 04:30:01.838
28,106113,Lebanon,230,,218,4,,8,4,,34,2020-03-22 04:40:01.728
29,106302,Lebanon,230,,218,4,,8,4,,34,2020-03-22 04:50:02.186
30,106491,Lebanon,230,,218,4,,8,4,,34,2020-03-22 05:00:02.283
31,106680,Lebanon,230,,218,4,,8,4,,34,2020-03-22 05:10:02.023
32,106869,Lebanon,230,,218,4,,8,4,,34,2020-03-22 05:20:02.539
33,107058,Lebanon,230,,218,4,,8,4,,34,2020-03-22 05:30:01.917
34,107247,Lebanon,230,,218,4,,8,4,,34,2020-03-22 05:40:02.393
35,107436,Lebanon,230,,218,4,,8,4,,34,2020-03-22 05:50:01.706
36,107625,Lebanon,230,,218,4,,8,4,,34,2020-03-22 06:00:02.31
37,107814,Lebanon,230,,218,4,,8,4,,34,2020-03-22 06:10:02.48
38,108003,Lebanon,230,,218,4,,8,4,,34,2020-03-22 06:20:02.308
39,108192,Lebanon,230,,218,4,,8,4,,34,2020-03-22 06:30:02.468
40,108381,Lebanon,230,,218,4,,8,4,,34,2020-03-22 06:40:01.627
41,108570,Lebanon,230,,218,4,,8,4,,34,2020-03-22 06:50:02.568
42,108759,Lebanon,230,,218,4,,8,4,,34,2020-03-22 07:00:01.882
43,108948,Lebanon,230,,218,4,,8,4,,34,2020-03-22 07:10:01.602
44,109137,Lebanon,230,,218,4,,8,4,,34,2020-03-22 07:20:01.725
45,109326,Lebanon,230,,218,4,,8,4,,34,2020-03-22 07:30:02.517
46,109515,Lebanon,230,,218,4,,8,4,,34,2020-03-22 07:40:02.004
47,109704,Lebanon,230,,218,4,,8,4,,34,2020-03-22 07:50:01.639
48,109893,Lebanon,230,,218,4,,8,4,,34,2020-03-22 08:00:02.288
49,110082,Lebanon,230,,218,4,,8,4,,34,2020-03-22 08:10:01.955
50,110271,Lebanon,230,,218,4,,8,4,,34,2020-03-22 08:20:02.461
51,110460,Lebanon,230,,218,4,,8,4,,34,2020-03-22 08:30:01.924
52,110649,Lebanon,230,,218,4,,8,4,,34,2020-03-22 08:40:02.277
53,110838,Lebanon,230,,218,4,,8,4,,34,2020-03-22 08:50:01.998
54,111027,Lebanon,230,,218,4,,8,4,,34,2020-03-22 09:00:02.386
55,111216,Lebanon,230,,218,4,,8,4,,34,2020-03-22 09:10:02.333
56,111405,Lebanon,230,,218,4,,8,4,,34,2020-03-22 09:20:01.679
57,111594,Lebanon,230,,218,4,,8,4,,34,2020-03-22 09:30:01.858
58,111783,Lebanon,230,,218,4,,8,4,,34,2020-03-22 09:40:02.077
59,111972,Lebanon,230,,218,4,,8,4,,34,2020-03-22 09:50:02.389
60,112161,Lebanon,230,,218,4,,8,4,,34,2020-03-22 10:00:01.658
61,112350,Lebanon,230,,218,4,,8,4,,34,2020-03-22 10:10:02.03
62,112539,Lebanon,230,,218,4,,8,4,,34,2020-03-22 10:20:02.283
63,112728,Lebanon,230,,218,4,,8,4,,34,2020-03-22 10:30:02.203
64,112917,Lebanon,230,,218,4,,8,4,,34,2020-03-22 10:50:02.099
65,113106,Lebanon,230,,218,4,,8,4,,34,2020-03-22 11:00:01.809
66,113295,Lebanon,230,,218,4,,8,4,,34,2020-03-22 11:10:02.337
67,113484,Lebanon,230,,218,4,,8,4,,34,2020-03-22 11:20:02.297
68,113673,Lebanon,230,,218,4,,8,4,,34,2020-03-22 11:30:02.571
69,113864,Lebanon,230,,218,4,,8,4,,34,2020-03-22 11:40:01.658
70,114053,Lebanon,230,,218,4,,8,4,,34,2020-03-22 11:50:02.534
71,114242,Lebanon,230,,218,4,,8,4,,34,2020-03-22 12:00:01.655
72,114431,Lebanon,230,,218,4,,8,4,,34,2020-03-22 12:10:02.323
73,114616,Lebanon,248,18,236,4,,8,4,,36,2020-03-22 12:20:01.826
74,114805,Lebanon,248,18,236,4,,8,4,,36,2020-03-22 12:30:02.517
75,114994,Lebanon,248,18,236,4,,8,4,,36,2020-03-22 12:40:02.46
76,115183,Lebanon,248,18,236,4,,8,4,,36,2020-03-22 12:50:02.108
77,115372,Lebanon,248,18,236,4,,8,4,,36,2020-03-22 13:00:01.691
78,115561,Lebanon,248,18,236,4,,8,4,,36,2020-03-22 13:10:01.964
79,115750,Lebanon,248,18,236,4,,8,4,,36,2020-03-22 13:20:01.995
80,115939,Lebanon,248,18,236,4,,8,4,,36,2020-03-22 13:30:02.353
81,116128,Lebanon,248,18,236,4,,8,4,,36,2020-03-22 13:40:02.609
82,116317,Lebanon,248,18,236,4,,8,4,,36,2020-03-22 13:50:01.753
83,116506,Lebanon,248,18,236,4,,8,4,,36,2020-03-22 14:00:02.347
84,116695,Lebanon,248,18,236,4,,8,4,,36,2020-03-22 14:10:02.014
