,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100922,Liberia,3,1,3,,,,,,0.6,2020-03-22 00:00:02.483
1,101111,Liberia,3,1,3,,,,,,0.6,2020-03-22 00:10:02.327
2,101300,Liberia,3,1,3,,,,,,0.6,2020-03-22 00:20:02.401
3,101489,Liberia,3,1,3,,,,,,0.6,2020-03-22 00:30:02.053
4,101678,Liberia,3,1,3,,,,,,0.6,2020-03-22 00:40:02.56
5,101867,Liberia,3,1,3,,,,,,0.6,2020-03-22 00:50:01.898
6,102056,Liberia,3,1,3,,,,,,0.6,2020-03-22 01:00:01.656
7,102245,Liberia,3,1,3,,,,,,0.6,2020-03-22 01:10:02.184
8,102434,Liberia,3,1,3,,,,,,0.6,2020-03-22 01:20:02.26
9,102623,Liberia,3,1,3,,,,,,0.6,2020-03-22 01:30:02.051
10,102812,Liberia,3,1,3,,,,,,0.6,2020-03-22 01:40:02.218
11,103001,Liberia,3,1,3,,,,,,0.6,2020-03-22 01:50:02.054
12,103190,Liberia,3,1,3,,,,,,0.6,2020-03-22 02:00:01.626
13,103379,Liberia,3,1,3,,,,,,0.6,2020-03-22 02:10:01.659
14,103568,Liberia,3,1,3,,,,,,0.6,2020-03-22 02:20:02.44
15,103757,Liberia,3,1,3,,,,,,0.6,2020-03-22 02:30:01.848
16,103946,Liberia,3,1,3,,,,,,0.6,2020-03-22 02:40:02.273
17,104135,Liberia,3,1,3,,,,,,0.6,2020-03-22 02:50:01.692
18,104324,Liberia,3,1,3,,,,,,0.6,2020-03-22 03:00:02.482
19,104513,Liberia,3,1,3,,,,,,0.6,2020-03-22 03:10:02.128
20,104702,Liberia,3,1,3,,,,,,0.6,2020-03-22 03:20:02.286
21,104891,Liberia,3,,3,,,,,,0.6,2020-03-22 03:30:01.618
22,105080,Liberia,3,,3,,,,,,0.6,2020-03-22 03:40:02.473
23,105269,Liberia,3,,3,,,,,,0.6,2020-03-22 03:50:02.419
24,105458,Liberia,3,,3,,,,,,0.6,2020-03-22 04:00:02.368
25,105647,Liberia,3,,3,,,,,,0.6,2020-03-22 04:10:02.471
26,105836,Liberia,3,,3,,,,,,0.6,2020-03-22 04:20:02.205
27,106025,Liberia,3,,3,,,,,,0.6,2020-03-22 04:30:01.838
28,106215,Liberia,3,,3,,,,,,0.6,2020-03-22 04:40:01.728
29,106404,Liberia,3,,3,,,,,,0.6,2020-03-22 04:50:02.186
30,106593,Liberia,3,,3,,,,,,0.6,2020-03-22 05:00:02.283
31,106782,Liberia,3,,3,,,,,,0.6,2020-03-22 05:10:02.023
32,106971,Liberia,3,,3,,,,,,0.6,2020-03-22 05:20:02.539
33,107160,Liberia,3,,3,,,,,,0.6,2020-03-22 05:30:01.917
34,107349,Liberia,3,,3,,,,,,0.6,2020-03-22 05:40:02.393
35,107538,Liberia,3,,3,,,,,,0.6,2020-03-22 05:50:01.706
36,107727,Liberia,3,,3,,,,,,0.6,2020-03-22 06:00:02.31
37,107916,Liberia,3,,3,,,,,,0.6,2020-03-22 06:10:02.48
38,108105,Liberia,3,,3,,,,,,0.6,2020-03-22 06:20:02.308
39,108294,Liberia,3,,3,,,,,,0.6,2020-03-22 06:30:02.468
40,108483,Liberia,3,,3,,,,,,0.6,2020-03-22 06:40:01.627
41,108672,Liberia,3,,3,,,,,,0.6,2020-03-22 06:50:02.568
42,108861,Liberia,3,,3,,,,,,0.6,2020-03-22 07:00:01.882
43,109050,Liberia,3,,3,,,,,,0.6,2020-03-22 07:10:01.602
44,109239,Liberia,3,,3,,,,,,0.6,2020-03-22 07:20:01.725
45,109428,Liberia,3,,3,,,,,,0.6,2020-03-22 07:30:02.517
46,109617,Liberia,3,,3,,,,,,0.6,2020-03-22 07:40:02.004
47,109806,Liberia,3,,3,,,,,,0.6,2020-03-22 07:50:01.639
48,109995,Liberia,3,,3,,,,,,0.6,2020-03-22 08:00:02.288
49,110184,Liberia,3,,3,,,,,,0.6,2020-03-22 08:10:01.955
50,110373,Liberia,3,,3,,,,,,0.6,2020-03-22 08:20:02.461
51,110562,Liberia,3,,3,,,,,,0.6,2020-03-22 08:30:01.924
52,110751,Liberia,3,,3,,,,,,0.6,2020-03-22 08:40:02.277
53,110940,Liberia,3,,3,,,,,,0.6,2020-03-22 08:50:01.998
54,111129,Liberia,3,,3,,,,,,0.6,2020-03-22 09:00:02.386
55,111318,Liberia,3,,3,,,,,,0.6,2020-03-22 09:10:02.333
56,111507,Liberia,3,,3,,,,,,0.6,2020-03-22 09:20:01.679
57,111696,Liberia,3,,3,,,,,,0.6,2020-03-22 09:30:01.858
58,111885,Liberia,3,,3,,,,,,0.6,2020-03-22 09:40:02.077
59,112074,Liberia,3,,3,,,,,,0.6,2020-03-22 09:50:02.389
60,112263,Liberia,3,,3,,,,,,0.6,2020-03-22 10:00:01.658
61,112452,Liberia,3,,3,,,,,,0.6,2020-03-22 10:10:02.03
62,112641,Liberia,3,,3,,,,,,0.6,2020-03-22 10:20:02.283
63,112830,Liberia,3,,3,,,,,,0.6,2020-03-22 10:30:02.203
64,113019,Liberia,3,,3,,,,,,0.6,2020-03-22 10:50:02.099
65,113208,Liberia,3,,3,,,,,,0.6,2020-03-22 11:00:01.809
66,113397,Liberia,3,,3,,,,,,0.6,2020-03-22 11:10:02.337
67,113586,Liberia,3,,3,,,,,,0.6,2020-03-22 11:20:02.297
68,113775,Liberia,3,,3,,,,,,0.6,2020-03-22 11:30:02.571
69,113965,Liberia,3,,3,,,,,,0.6,2020-03-22 11:40:01.658
70,114154,Liberia,3,,3,,,,,,0.6,2020-03-22 11:50:02.534
71,114343,Liberia,3,,3,,,,,,0.6,2020-03-22 12:00:01.655
72,114532,Liberia,3,,3,,,,,,0.6,2020-03-22 12:10:02.323
73,114721,Liberia,3,,3,,,,,,0.6,2020-03-22 12:20:01.826
74,114910,Liberia,3,,3,,,,,,0.6,2020-03-22 12:30:02.517
75,115099,Liberia,3,,3,,,,,,0.6,2020-03-22 12:40:02.46
76,115288,Liberia,3,,3,,,,,,0.6,2020-03-22 12:50:02.108
77,115477,Liberia,3,,3,,,,,,0.6,2020-03-22 13:00:01.691
78,115666,Liberia,3,,3,,,,,,0.6,2020-03-22 13:10:01.964
79,115855,Liberia,3,,3,,,,,,0.6,2020-03-22 13:20:01.995
80,116044,Liberia,3,,3,,,,,,0.6,2020-03-22 13:30:02.353
81,116233,Liberia,3,,3,,,,,,0.6,2020-03-22 13:40:02.609
82,116422,Liberia,3,,3,,,,,,0.6,2020-03-22 13:50:01.753
83,116611,Liberia,3,,3,,,,,,0.6,2020-03-22 14:00:02.347
84,116800,Liberia,3,,3,,,,,,0.6,2020-03-22 14:10:02.014
85,116989,Liberia,3,,3,,,,,,0.6,2020-03-22 14:20:01.732
86,117178,Liberia,3,,3,,,,,,0.6,2020-03-22 14:30:02.279
87,117367,Liberia,3,,3,,,,,,0.6,2020-03-22 14:40:01.994
88,117556,Liberia,3,,3,,,,,,0.6,2020-03-22 14:50:01.896
89,117745,Liberia,3,,3,,,,,,0.6,2020-03-22 15:00:01.708
90,117934,Liberia,3,,3,,,,,,0.6,2020-03-22 15:10:01.808
91,118123,Liberia,3,,3,,,,,,0.6,2020-03-22 15:20:02.115
92,118312,Liberia,3,,3,,,,,,0.6,2020-03-22 15:30:02.542
93,118501,Liberia,3,,3,,,,,,0.6,2020-03-22 15:40:01.608
94,118690,Liberia,3,,3,,,,,,0.6,2020-03-22 15:50:02.028
95,118879,Liberia,3,,3,,,,,,0.6,2020-03-22 16:00:01.887
96,119068,Liberia,3,,3,,,,,,0.6,2020-03-22 16:10:02.607
97,119258,Liberia,3,,3,,,,,,0.6,2020-03-22 16:40:02.392
98,119448,Liberia,3,,3,,,,,,0.6,2020-03-22 16:50:02.248
99,119638,Liberia,3,,3,,,,,,0.6,2020-03-22 17:00:02.174
100,119828,Liberia,3,,3,,,,,,0.6,2020-03-22 17:10:01.966
101,120018,Liberia,3,,3,,,,,,0.6,2020-03-22 17:20:01.901
102,120208,Liberia,3,,3,,,,,,0.6,2020-03-22 17:30:03.26
103,120398,Liberia,3,,3,,,,,,0.6,2020-03-22 17:40:03.136
104,120588,Liberia,3,,3,,,,,,0.6,2020-03-22 17:50:01.957
105,120778,Liberia,3,,3,,,,,,0.6,2020-03-22 18:00:01.753
106,120968,Liberia,3,,3,,,,,,0.6,2020-03-22 18:10:02.492
107,121158,Liberia,3,,3,,,,,,0.6,2020-03-22 18:30:02.036
108,121348,Liberia,3,,3,,,,,,0.6,2020-03-22 18:40:02.238
109,121538,Liberia,3,,3,,,,,,0.6,2020-03-22 18:50:02.468
110,121728,Liberia,3,,3,,,,,,0.6,2020-03-22 19:00:01.712
111,121918,Liberia,3,,3,,,,,,0.6,2020-03-22 19:10:01.802
112,122108,Liberia,3,,3,,,,,,0.6,2020-03-22 19:20:01.774
113,122298,Liberia,3,,3,,,,,,0.6,2020-03-22 19:30:02.213
114,122489,Liberia,3,,3,,,,,,0.6,2020-03-22 19:40:02.298
115,122681,Liberia,3,,3,,,,,,0.6,2020-03-22 19:50:02.038
116,122873,Liberia,3,,3,,,,,,0.6,2020-03-22 20:00:02.199
117,123065,Liberia,3,,3,,,,,,0.6,2020-03-22 20:10:02.435
118,123257,Liberia,3,,3,,,,,,0.6,2020-03-22 20:20:01.689
119,123449,Liberia,3,,3,,,,,,0.6,2020-03-22 20:30:01.705
120,123641,Liberia,3,,3,,,,,,0.6,2020-03-22 20:40:02.242
121,123834,Liberia,3,,3,,,,,,0.6,2020-03-22 20:50:02.144
122,124026,Liberia,3,,3,,,,,,0.6,2020-03-22 21:00:01.651
123,124218,Liberia,3,,3,,,,,,0.6,2020-03-22 21:10:02.274
124,124411,Liberia,3,,3,,,,,,0.6,2020-03-22 21:20:02.379
125,124604,Liberia,3,,3,,,,,,0.6,2020-03-22 21:30:02.09
126,124797,Liberia,3,,3,,,,,,0.6,2020-03-22 21:40:02.262
127,124990,Liberia,3,,3,,,,,,0.6,2020-03-22 21:50:02.451
128,125183,Liberia,3,,3,,,,,,0.6,2020-03-22 22:00:02.593
129,125376,Liberia,3,,3,,,,,,0.6,2020-03-22 22:10:02.087
130,125569,Liberia,3,,3,,,,,,0.6,2020-03-22 22:20:01.881
131,125762,Liberia,3,,3,,,,,,0.6,2020-03-22 22:30:01.794
132,125955,Liberia,3,,3,,,,,,0.6,2020-03-22 22:40:01.8
133,126148,Liberia,3,,3,,,,,,0.6,2020-03-22 22:50:01.828
