,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100795,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 00:00:02.483
1,100984,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 00:10:02.327
2,101173,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 00:20:02.401
3,101362,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 00:30:02.053
4,101551,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 00:40:02.56
5,101740,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 00:50:01.898
6,101929,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 01:00:01.656
7,102118,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 01:10:02.184
8,102307,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 01:20:02.26
9,102496,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 01:30:02.051
10,102685,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 01:40:02.218
11,102874,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 01:50:02.054
12,103063,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 02:00:01.626
13,103252,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 02:10:01.659
14,103441,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 02:20:02.44
15,103630,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 02:30:01.848
16,103819,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 02:40:02.273
17,104008,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 02:50:01.692
18,104197,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 03:00:02.482
19,104386,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 03:10:02.128
20,104575,Luxembourg,670,186,656,8,3,6,3,,"1,070",2020-03-22 03:20:02.286
21,104764,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 03:30:01.618
22,104953,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 03:40:02.473
23,105142,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 03:50:02.419
24,105331,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 04:00:02.368
25,105520,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 04:10:02.471
26,105709,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 04:20:02.205
27,105898,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 04:30:01.838
28,106087,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 04:40:01.728
29,106276,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 04:50:02.186
30,106465,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 05:00:02.283
31,106654,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 05:10:02.023
32,106843,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 05:20:02.539
33,107032,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 05:30:01.917
34,107221,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 05:40:02.393
35,107410,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 05:50:01.706
36,107599,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 06:00:02.31
37,107788,Luxembourg,670,,656,8,,6,3,,"1,070",2020-03-22 06:10:02.48
