,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,264362,MS Zaandam,138,138,134,4,4,,,,,2020-03-27 23:10:01.364
1,264563,MS Zaandam,138,138,134,4,4,,,,,2020-03-27 23:20:02.349
2,264764,MS Zaandam,138,138,134,4,4,,,,,2020-03-27 23:30:02.029
3,264965,MS Zaandam,138,138,134,4,4,,,,,2020-03-27 23:40:01.783
4,265166,MS Zaandam,138,138,134,4,4,,,,,2020-03-27 23:50:02.351
5,265367,MS Zaandam,138,138,134,4,4,,,,,2020-03-28 00:00:01.827
6,265568,MS Zaandam,138,138,134,4,4,,,,,2020-03-28 00:10:02.193
7,265868,MS Zaandam,2,2,2,,,,,,,2020-03-28 00:20:02.252
8,266069,MS Zaandam,2,2,2,,,,,,,2020-03-28 00:30:02.264
9,266270,MS Zaandam,2,2,2,,,,,,,2020-03-28 00:40:01.563
10,266471,MS Zaandam,2,2,2,,,,,,,2020-03-28 00:50:02.551
11,266672,MS Zaandam,2,2,2,,,,,,,2020-03-28 01:00:01.902
12,266873,MS Zaandam,2,2,2,,,,,,,2020-03-28 01:10:01.957
13,267074,MS Zaandam,2,2,2,,,,,,,2020-03-28 01:20:02.228
14,267275,MS Zaandam,2,2,2,,,,,,,2020-03-28 01:30:01.301
15,267476,MS Zaandam,2,2,2,,,,,,,2020-03-28 01:40:02.441
16,267677,MS Zaandam,2,,2,,,,,,,2020-03-28 01:50:02.1
17,267878,MS Zaandam,2,,2,,,,,,,2020-03-28 02:00:01.901
18,268079,MS Zaandam,2,,2,,,,,,,2020-03-28 02:10:01.735
19,268280,MS Zaandam,2,,2,,,,,,,2020-03-28 02:20:01.945
20,268481,MS Zaandam,2,,2,,,,,,,2020-03-28 02:30:01.68
21,268682,MS Zaandam,2,,2,,,,,,,2020-03-28 02:40:02.188
22,268883,MS Zaandam,2,,2,,,,,,,2020-03-28 02:50:02.106
23,269084,MS Zaandam,2,,2,,,,,,,2020-03-28 03:00:01.657
24,269285,MS Zaandam,2,,2,,,,,,,2020-03-28 03:10:01.245
25,269486,MS Zaandam,2,,2,,,,,,,2020-03-28 03:20:02.356
26,269687,MS Zaandam,2,,2,,,,,,,2020-03-28 03:30:01.501
27,269888,MS Zaandam,2,,2,,,,,,,2020-03-28 03:40:01.737
28,270089,MS Zaandam,2,,2,,,,,,,2020-03-28 03:50:02.103
29,270290,MS Zaandam,2,,2,,,,,,,2020-03-28 04:00:01.561
30,270491,MS Zaandam,2,,2,,,,,,,2020-03-28 04:10:02.218
31,270692,MS Zaandam,2,,2,,,,,,,2020-03-28 04:20:02.195
32,270893,MS Zaandam,2,,2,,,,,,,2020-03-28 04:30:02.381
33,271094,MS Zaandam,2,,2,,,,,,,2020-03-28 04:40:01.786
34,271295,MS Zaandam,2,,2,,,,,,,2020-03-28 04:50:02.631
35,271496,MS Zaandam,2,,2,,,,,,,2020-03-28 05:00:01.843
36,271697,MS Zaandam,2,,2,,,,,,,2020-03-28 05:10:02.272
37,271898,MS Zaandam,2,,2,,,,,,,2020-03-28 05:20:02.247
38,272099,MS Zaandam,2,,2,,,,,,,2020-03-28 05:30:01.436
39,272300,MS Zaandam,2,,2,,,,,,,2020-03-28 05:40:02.153
40,272501,MS Zaandam,2,,2,,,,,,,2020-03-28 05:50:02.127
41,272701,MS Zaandam,2,,2,,,,,,,2020-03-28 06:00:02.556
42,272902,MS Zaandam,2,,2,,,,,,,2020-03-28 06:10:01.921
43,273103,MS Zaandam,2,,2,,,,,,,2020-03-28 06:20:01.661
44,273304,MS Zaandam,2,,2,,,,,,,2020-03-28 06:30:01.676
45,273505,MS Zaandam,2,,2,,,,,,,2020-03-28 06:40:02.257
46,273706,MS Zaandam,2,,2,,,,,,,2020-03-28 06:50:01.732
47,273907,MS Zaandam,2,,2,,,,,,,2020-03-28 07:00:02.198
48,274108,MS Zaandam,2,,2,,,,,,,2020-03-28 07:10:01.791
49,274309,MS Zaandam,2,,2,,,,,,,2020-03-28 07:20:02.186
50,274510,MS Zaandam,2,,2,,,,,,,2020-03-28 07:30:02.475
51,274711,MS Zaandam,2,,2,,,,,,,2020-03-28 07:40:01.805
52,274912,MS Zaandam,2,,2,,,,,,,2020-03-28 07:50:02.326
53,275113,MS Zaandam,2,,2,,,,,,,2020-03-28 08:00:02.575
54,275314,MS Zaandam,2,,2,,,,,,,2020-03-28 08:10:02.116
55,275515,MS Zaandam,2,,2,,,,,,,2020-03-28 08:20:01.779
56,275716,MS Zaandam,2,,2,,,,,,,2020-03-28 08:30:01.948
57,275917,MS Zaandam,2,,2,,,,,,,2020-03-28 08:40:02.485
58,276118,MS Zaandam,2,,2,,,,,,,2020-03-28 08:50:02.009
59,276319,MS Zaandam,2,,2,,,,,,,2020-03-28 09:00:02.126
60,276520,MS Zaandam,2,,2,,,,,,,2020-03-28 09:10:02.01
61,276721,MS Zaandam,2,,2,,,,,,,2020-03-28 09:20:02.212
62,276922,MS Zaandam,2,,2,,,,,,,2020-03-28 09:30:01.911
63,277123,MS Zaandam,2,,2,,,,,,,2020-03-28 09:40:02.668
64,277324,MS Zaandam,2,,2,,,,,,,2020-03-28 09:50:02.213
65,277525,MS Zaandam,2,,2,,,,,,,2020-03-28 10:00:02.271
66,277726,MS Zaandam,2,,2,,,,,,,2020-03-28 10:10:02.587
67,277927,MS Zaandam,2,,2,,,,,,,2020-03-28 10:20:02.269
68,278128,MS Zaandam,2,,2,,,,,,,2020-03-28 10:30:02.135
69,278329,MS Zaandam,2,,2,,,,,,,2020-03-28 10:40:02.254
70,278530,MS Zaandam,2,,2,,,,,,,2020-03-28 10:50:02.357
71,278731,MS Zaandam,2,,2,,,,,,,2020-03-28 11:00:02.346
72,278932,MS Zaandam,2,,2,,,,,,,2020-03-28 11:10:01.977
73,279133,MS Zaandam,2,,2,,,,,,,2020-03-28 11:20:02.459
74,279334,MS Zaandam,2,,2,,,,,,,2020-03-28 11:30:02.373
75,279535,MS Zaandam,2,,2,,,,,,,2020-03-28 11:40:02.235
76,279736,MS Zaandam,2,,2,,,,,,,2020-03-28 11:50:02.543
77,279937,MS Zaandam,2,,2,,,,,,,2020-03-28 12:00:02.173
78,280138,MS Zaandam,2,,2,,,,,,,2020-03-28 12:10:02.48
