,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100923,Madagascar,3,,3,,,,,,0.1,2020-03-22 00:00:02.483
1,101112,Madagascar,3,,3,,,,,,0.1,2020-03-22 00:10:02.327
2,101301,Madagascar,3,,3,,,,,,0.1,2020-03-22 00:20:02.401
3,101490,Madagascar,3,,3,,,,,,0.1,2020-03-22 00:30:02.053
4,101679,Madagascar,3,,3,,,,,,0.1,2020-03-22 00:40:02.56
5,101868,Madagascar,3,,3,,,,,,0.1,2020-03-22 00:50:01.898
6,102057,Madagascar,3,,3,,,,,,0.1,2020-03-22 01:00:01.656
7,102246,Madagascar,3,,3,,,,,,0.1,2020-03-22 01:10:02.184
8,102435,Madagascar,3,,3,,,,,,0.1,2020-03-22 01:20:02.26
9,102624,Madagascar,3,,3,,,,,,0.1,2020-03-22 01:30:02.051
10,102813,Madagascar,3,,3,,,,,,0.1,2020-03-22 01:40:02.218
11,103002,Madagascar,3,,3,,,,,,0.1,2020-03-22 01:50:02.054
12,103191,Madagascar,3,,3,,,,,,0.1,2020-03-22 02:00:01.626
13,103380,Madagascar,3,,3,,,,,,0.1,2020-03-22 02:10:01.659
14,103569,Madagascar,3,,3,,,,,,0.1,2020-03-22 02:20:02.44
15,103758,Madagascar,3,,3,,,,,,0.1,2020-03-22 02:30:01.848
16,103947,Madagascar,3,,3,,,,,,0.1,2020-03-22 02:40:02.273
17,104136,Madagascar,3,,3,,,,,,0.1,2020-03-22 02:50:01.692
18,104325,Madagascar,3,,3,,,,,,0.1,2020-03-22 03:00:02.482
19,104514,Madagascar,3,,3,,,,,,0.1,2020-03-22 03:10:02.128
20,104703,Madagascar,3,,3,,,,,,0.1,2020-03-22 03:20:02.286
21,104892,Madagascar,3,,3,,,,,,0.1,2020-03-22 03:30:01.618
22,105081,Madagascar,3,,3,,,,,,0.1,2020-03-22 03:40:02.473
23,105270,Madagascar,3,,3,,,,,,0.1,2020-03-22 03:50:02.419
24,105459,Madagascar,3,,3,,,,,,0.1,2020-03-22 04:00:02.368
25,105648,Madagascar,3,,3,,,,,,0.1,2020-03-22 04:10:02.471
26,105837,Madagascar,3,,3,,,,,,0.1,2020-03-22 04:20:02.205
27,106026,Madagascar,3,,3,,,,,,0.1,2020-03-22 04:30:01.838
28,106216,Madagascar,3,,3,,,,,,0.1,2020-03-22 04:40:01.728
29,106405,Madagascar,3,,3,,,,,,0.1,2020-03-22 04:50:02.186
30,106594,Madagascar,3,,3,,,,,,0.1,2020-03-22 05:00:02.283
31,106783,Madagascar,3,,3,,,,,,0.1,2020-03-22 05:10:02.023
32,106972,Madagascar,3,,3,,,,,,0.1,2020-03-22 05:20:02.539
33,107161,Madagascar,3,,3,,,,,,0.1,2020-03-22 05:30:01.917
34,107350,Madagascar,3,,3,,,,,,0.1,2020-03-22 05:40:02.393
35,107539,Madagascar,3,,3,,,,,,0.1,2020-03-22 05:50:01.706
36,107728,Madagascar,3,,3,,,,,,0.1,2020-03-22 06:00:02.31
37,107917,Madagascar,3,,3,,,,,,0.1,2020-03-22 06:10:02.48
38,108106,Madagascar,3,,3,,,,,,0.1,2020-03-22 06:20:02.308
39,108295,Madagascar,3,,3,,,,,,0.1,2020-03-22 06:30:02.468
40,108484,Madagascar,3,,3,,,,,,0.1,2020-03-22 06:40:01.627
41,108673,Madagascar,3,,3,,,,,,0.1,2020-03-22 06:50:02.568
42,108862,Madagascar,3,,3,,,,,,0.1,2020-03-22 07:00:01.882
43,109051,Madagascar,3,,3,,,,,,0.1,2020-03-22 07:10:01.602
44,109240,Madagascar,3,,3,,,,,,0.1,2020-03-22 07:20:01.725
45,109429,Madagascar,3,,3,,,,,,0.1,2020-03-22 07:30:02.517
46,109618,Madagascar,3,,3,,,,,,0.1,2020-03-22 07:40:02.004
47,109807,Madagascar,3,,3,,,,,,0.1,2020-03-22 07:50:01.639
48,109996,Madagascar,3,,3,,,,,,0.1,2020-03-22 08:00:02.288
49,110185,Madagascar,3,,3,,,,,,0.1,2020-03-22 08:10:01.955
50,110374,Madagascar,3,,3,,,,,,0.1,2020-03-22 08:20:02.461
51,110563,Madagascar,3,,3,,,,,,0.1,2020-03-22 08:30:01.924
52,110752,Madagascar,3,,3,,,,,,0.1,2020-03-22 08:40:02.277
53,110941,Madagascar,3,,3,,,,,,0.1,2020-03-22 08:50:01.998
54,111130,Madagascar,3,,3,,,,,,0.1,2020-03-22 09:00:02.386
55,111319,Madagascar,3,,3,,,,,,0.1,2020-03-22 09:10:02.333
56,111508,Madagascar,3,,3,,,,,,0.1,2020-03-22 09:20:01.679
57,111697,Madagascar,3,,3,,,,,,0.1,2020-03-22 09:30:01.858
58,111886,Madagascar,3,,3,,,,,,0.1,2020-03-22 09:40:02.077
59,112075,Madagascar,3,,3,,,,,,0.1,2020-03-22 09:50:02.389
60,112264,Madagascar,3,,3,,,,,,0.1,2020-03-22 10:00:01.658
61,112453,Madagascar,3,,3,,,,,,0.1,2020-03-22 10:10:02.03
62,112642,Madagascar,3,,3,,,,,,0.1,2020-03-22 10:20:02.283
63,112831,Madagascar,3,,3,,,,,,0.1,2020-03-22 10:30:02.203
64,113020,Madagascar,3,,3,,,,,,0.1,2020-03-22 10:50:02.099
65,113209,Madagascar,3,,3,,,,,,0.1,2020-03-22 11:00:01.809
66,113398,Madagascar,3,,3,,,,,,0.1,2020-03-22 11:10:02.337
67,113587,Madagascar,3,,3,,,,,,0.1,2020-03-22 11:20:02.297
68,113776,Madagascar,3,,3,,,,,,0.1,2020-03-22 11:30:02.571
69,113966,Madagascar,3,,3,,,,,,0.1,2020-03-22 11:40:01.658
70,114155,Madagascar,3,,3,,,,,,0.1,2020-03-22 11:50:02.534
71,114344,Madagascar,3,,3,,,,,,0.1,2020-03-22 12:00:01.655
72,114533,Madagascar,3,,3,,,,,,0.1,2020-03-22 12:10:02.323
73,114722,Madagascar,3,,3,,,,,,0.1,2020-03-22 12:20:01.826
74,114911,Madagascar,3,,3,,,,,,0.1,2020-03-22 12:30:02.517
75,115100,Madagascar,3,,3,,,,,,0.1,2020-03-22 12:40:02.46
76,115289,Madagascar,3,,3,,,,,,0.1,2020-03-22 12:50:02.108
77,115478,Madagascar,3,,3,,,,,,0.1,2020-03-22 13:00:01.691
78,115667,Madagascar,3,,3,,,,,,0.1,2020-03-22 13:10:01.964
79,115856,Madagascar,3,,3,,,,,,0.1,2020-03-22 13:20:01.995
80,116045,Madagascar,3,,3,,,,,,0.1,2020-03-22 13:30:02.353
81,116234,Madagascar,3,,3,,,,,,0.1,2020-03-22 13:40:02.609
82,116423,Madagascar,3,,3,,,,,,0.1,2020-03-22 13:50:01.753
83,116612,Madagascar,3,,3,,,,,,0.1,2020-03-22 14:00:02.347
84,116801,Madagascar,3,,3,,,,,,0.1,2020-03-22 14:10:02.014
85,116990,Madagascar,3,,3,,,,,,0.1,2020-03-22 14:20:01.732
86,117179,Madagascar,3,,3,,,,,,0.1,2020-03-22 14:30:02.279
87,117368,Madagascar,3,,3,,,,,,0.1,2020-03-22 14:40:01.994
88,117557,Madagascar,3,,3,,,,,,0.1,2020-03-22 14:50:01.896
89,117746,Madagascar,3,,3,,,,,,0.1,2020-03-22 15:00:01.708
90,117935,Madagascar,3,,3,,,,,,0.1,2020-03-22 15:10:01.808
91,118124,Madagascar,3,,3,,,,,,0.1,2020-03-22 15:20:02.115
92,118313,Madagascar,3,,3,,,,,,0.1,2020-03-22 15:30:02.542
93,118502,Madagascar,3,,3,,,,,,0.1,2020-03-22 15:40:01.608
94,118691,Madagascar,3,,3,,,,,,0.1,2020-03-22 15:50:02.028
95,118880,Madagascar,3,,3,,,,,,0.1,2020-03-22 16:00:01.887
96,119069,Madagascar,3,,3,,,,,,0.1,2020-03-22 16:10:02.607
97,119259,Madagascar,3,,3,,,,,,0.1,2020-03-22 16:40:02.392
98,119449,Madagascar,3,,3,,,,,,0.1,2020-03-22 16:50:02.248
99,119639,Madagascar,3,,3,,,,,,0.1,2020-03-22 17:00:02.174
100,119829,Madagascar,3,,3,,,,,,0.1,2020-03-22 17:10:01.966
101,120019,Madagascar,3,,3,,,,,,0.1,2020-03-22 17:20:01.901
102,120209,Madagascar,3,,3,,,,,,0.1,2020-03-22 17:30:03.26
103,120399,Madagascar,3,,3,,,,,,0.1,2020-03-22 17:40:03.136
104,120589,Madagascar,3,,3,,,,,,0.1,2020-03-22 17:50:01.957
105,120779,Madagascar,3,,3,,,,,,0.1,2020-03-22 18:00:01.753
106,120969,Madagascar,3,,3,,,,,,0.1,2020-03-22 18:10:02.492
107,121159,Madagascar,3,,3,,,,,,0.1,2020-03-22 18:30:02.036
108,121349,Madagascar,3,,3,,,,,,0.1,2020-03-22 18:40:02.238
109,121539,Madagascar,3,,3,,,,,,0.1,2020-03-22 18:50:02.468
110,121729,Madagascar,3,,3,,,,,,0.1,2020-03-22 19:00:01.712
111,121919,Madagascar,3,,3,,,,,,0.1,2020-03-22 19:10:01.802
112,122109,Madagascar,3,,3,,,,,,0.1,2020-03-22 19:20:01.774
113,122299,Madagascar,3,,3,,,,,,0.1,2020-03-22 19:30:02.213
114,122490,Madagascar,3,,3,,,,,,0.1,2020-03-22 19:40:02.298
115,122682,Madagascar,3,,3,,,,,,0.1,2020-03-22 19:50:02.038
116,122874,Madagascar,3,,3,,,,,,0.1,2020-03-22 20:00:02.199
117,123066,Madagascar,3,,3,,,,,,0.1,2020-03-22 20:10:02.435
118,123258,Madagascar,3,,3,,,,,,0.1,2020-03-22 20:20:01.689
119,123450,Madagascar,3,,3,,,,,,0.1,2020-03-22 20:30:01.705
120,123642,Madagascar,3,,3,,,,,,0.1,2020-03-22 20:40:02.242
121,123835,Madagascar,3,,3,,,,,,0.1,2020-03-22 20:50:02.144
122,124027,Madagascar,3,,3,,,,,,0.1,2020-03-22 21:00:01.651
123,124219,Madagascar,3,,3,,,,,,0.1,2020-03-22 21:10:02.274
124,124412,Madagascar,3,,3,,,,,,0.1,2020-03-22 21:20:02.379
125,124605,Madagascar,3,,3,,,,,,0.1,2020-03-22 21:30:02.09
126,124798,Madagascar,3,,3,,,,,,0.1,2020-03-22 21:40:02.262
127,124991,Madagascar,3,,3,,,,,,0.1,2020-03-22 21:50:02.451
128,125184,Madagascar,3,,3,,,,,,0.1,2020-03-22 22:00:02.593
129,125377,Madagascar,3,,3,,,,,,0.1,2020-03-22 22:10:02.087
130,125570,Madagascar,3,,3,,,,,,0.1,2020-03-22 22:20:01.881
131,125763,Madagascar,3,,3,,,,,,0.1,2020-03-22 22:30:01.794
132,125956,Madagascar,3,,3,,,,,,0.1,2020-03-22 22:40:01.8
133,126149,Madagascar,3,,3,,,,,,0.1,2020-03-22 22:50:01.828
134,126342,Madagascar,3,,3,,,,,,0.1,2020-03-22 23:00:02.502
135,126535,Madagascar,3,,3,,,,,,0.1,2020-03-22 23:10:02.549
136,126728,Madagascar,3,,3,,,,,,0.1,2020-03-22 23:20:01.891
