,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100786,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 00:00:02.483
1,100975,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 00:10:02.327
2,101164,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 00:20:02.401
3,101353,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 00:30:02.053
4,101542,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 00:40:02.56
5,101731,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 00:50:01.898
6,101920,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 01:00:01.656
7,102109,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 01:10:02.184
8,102298,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 01:20:02.26
9,102487,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 01:30:02.051
10,102676,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 01:40:02.218
11,102865,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 01:50:02.054
12,103054,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 02:00:01.626
13,103243,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 02:10:01.659
14,103432,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 02:20:02.44
15,103621,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 02:30:01.848
16,103810,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 02:40:02.273
17,103999,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 02:50:01.692
18,104188,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 03:00:02.482
19,104377,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 03:10:02.128
20,104566,Malaysia,"1,183",153,"1,061",8,5,114,26,,37,2020-03-22 03:20:02.286
21,104755,Malaysia,"1,183",,"1,061",8,,114,26,,37,2020-03-22 03:30:01.618
22,104945,Malaysia,"1,183",,"1,061",8,,114,26,,37,2020-03-22 03:40:02.473
23,105134,Malaysia,"1,183",,"1,061",8,,114,26,,37,2020-03-22 03:50:02.419
24,105323,Malaysia,"1,183",,"1,061",8,,114,26,,37,2020-03-22 04:00:02.368
25,105512,Malaysia,"1,183",,"1,061",8,,114,26,,37,2020-03-22 04:10:02.471
26,105701,Malaysia,"1,183",,"1,061",8,,114,26,,37,2020-03-22 04:20:02.205
27,105890,Malaysia,"1,183",,"1,061",8,,114,26,,37,2020-03-22 04:30:01.838
28,106079,Malaysia,"1,183",,"1,061",8,,114,26,,37,2020-03-22 04:40:01.728
29,106268,Malaysia,"1,183",,"1,061",8,,114,26,,37,2020-03-22 04:50:02.186
30,106457,Malaysia,"1,183",,"1,061",8,,114,26,,37,2020-03-22 05:00:02.283
31,106646,Malaysia,"1,183",,"1,061",8,,114,26,,37,2020-03-22 05:10:02.023
32,106835,Malaysia,"1,183",,"1,061",8,,114,26,,37,2020-03-22 05:20:02.539
33,107024,Malaysia,"1,183",,"1,060",9,1,114,26,,37,2020-03-22 05:30:01.917
34,107213,Malaysia,"1,183",,"1,060",9,1,114,26,,37,2020-03-22 05:40:02.393
35,107402,Malaysia,"1,183",,"1,060",9,1,114,26,,37,2020-03-22 05:50:01.706
36,107591,Malaysia,"1,183",,"1,060",9,1,114,26,,37,2020-03-22 06:00:02.31
37,107780,Malaysia,"1,183",,"1,060",9,1,114,26,,37,2020-03-22 06:10:02.48
38,107969,Malaysia,"1,183",,"1,060",9,1,114,26,,37,2020-03-22 06:20:02.308
39,108158,Malaysia,"1,183",,"1,060",9,1,114,26,,37,2020-03-22 06:30:02.468
40,108347,Malaysia,"1,183",,"1,060",9,1,114,26,,37,2020-03-22 06:40:01.627
41,108536,Malaysia,"1,183",,"1,060",9,1,114,26,,37,2020-03-22 06:50:02.568
42,108725,Malaysia,"1,183",,"1,060",9,1,114,26,,37,2020-03-22 07:00:01.882
43,108914,Malaysia,"1,183",,"1,060",9,1,114,26,,37,2020-03-22 07:10:01.602
