,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100854,Malta,73,9,71,,,2,1,,165,2020-03-22 00:00:02.483
1,101043,Malta,73,9,71,,,2,1,,165,2020-03-22 00:10:02.327
2,101232,Malta,73,9,71,,,2,1,,165,2020-03-22 00:20:02.401
3,101421,Malta,73,9,71,,,2,1,,165,2020-03-22 00:30:02.053
4,101610,Malta,73,9,71,,,2,1,,165,2020-03-22 00:40:02.56
5,101799,Malta,73,9,71,,,2,1,,165,2020-03-22 00:50:01.898
6,101988,Malta,73,9,71,,,2,1,,165,2020-03-22 01:00:01.656
7,102177,Malta,73,9,71,,,2,1,,165,2020-03-22 01:10:02.184
8,102366,Malta,73,9,71,,,2,1,,165,2020-03-22 01:20:02.26
9,102555,Malta,73,9,71,,,2,1,,165,2020-03-22 01:30:02.051
10,102744,Malta,73,9,71,,,2,1,,165,2020-03-22 01:40:02.218
11,102933,Malta,73,9,71,,,2,1,,165,2020-03-22 01:50:02.054
12,103122,Malta,73,9,71,,,2,1,,165,2020-03-22 02:00:01.626
13,103311,Malta,73,9,71,,,2,1,,165,2020-03-22 02:10:01.659
14,103500,Malta,73,9,71,,,2,1,,165,2020-03-22 02:20:02.44
15,103689,Malta,73,9,71,,,2,1,,165,2020-03-22 02:30:01.848
16,103878,Malta,73,9,71,,,2,1,,165,2020-03-22 02:40:02.273
17,104067,Malta,73,9,71,,,2,1,,165,2020-03-22 02:50:01.692
18,104256,Malta,73,9,71,,,2,1,,165,2020-03-22 03:00:02.482
19,104445,Malta,73,9,71,,,2,1,,165,2020-03-22 03:10:02.128
20,104634,Malta,73,9,71,,,2,1,,165,2020-03-22 03:20:02.286
21,104823,Malta,73,,71,,,2,1,,165,2020-03-22 03:30:01.618
22,105012,Malta,73,,71,,,2,1,,165,2020-03-22 03:40:02.473
23,105201,Malta,73,,71,,,2,1,,165,2020-03-22 03:50:02.419
24,105390,Malta,73,,71,,,2,1,,165,2020-03-22 04:00:02.368
25,105579,Malta,73,,71,,,2,1,,165,2020-03-22 04:10:02.471
26,105768,Malta,73,,71,,,2,1,,165,2020-03-22 04:20:02.205
27,105957,Malta,73,,71,,,2,1,,165,2020-03-22 04:30:01.838
28,106146,Malta,73,,71,,,2,1,,165,2020-03-22 04:40:01.728
