,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100896,Mauritius,14,2,13,1,1,,,,11,2020-03-22 00:00:02.483
1,101085,Mauritius,14,2,13,1,1,,,,11,2020-03-22 00:10:02.327
2,101274,Mauritius,14,2,13,1,1,,,,11,2020-03-22 00:20:02.401
3,101463,Mauritius,14,2,13,1,1,,,,11,2020-03-22 00:30:02.053
4,101652,Mauritius,14,2,13,1,1,,,,11,2020-03-22 00:40:02.56
5,101841,Mauritius,14,2,13,1,1,,,,11,2020-03-22 00:50:01.898
6,102030,Mauritius,14,2,13,1,1,,,,11,2020-03-22 01:00:01.656
7,102219,Mauritius,14,2,13,1,1,,,,11,2020-03-22 01:10:02.184
8,102408,Mauritius,14,2,13,1,1,,,,11,2020-03-22 01:20:02.26
9,102597,Mauritius,14,2,13,1,1,,,,11,2020-03-22 01:30:02.051
10,102786,Mauritius,14,2,13,1,1,,,,11,2020-03-22 01:40:02.218
11,102975,Mauritius,14,2,13,1,1,,,,11,2020-03-22 01:50:02.054
12,103164,Mauritius,14,2,13,1,1,,,,11,2020-03-22 02:00:01.626
13,103353,Mauritius,14,2,13,1,1,,,,11,2020-03-22 02:10:01.659
14,103542,Mauritius,14,2,13,1,1,,,,11,2020-03-22 02:20:02.44
15,103731,Mauritius,14,2,13,1,1,,,,11,2020-03-22 02:30:01.848
16,103920,Mauritius,14,2,13,1,1,,,,11,2020-03-22 02:40:02.273
17,104109,Mauritius,14,2,13,1,1,,,,11,2020-03-22 02:50:01.692
18,104298,Mauritius,14,2,13,1,1,,,,11,2020-03-22 03:00:02.482
19,104487,Mauritius,14,2,13,1,1,,,,11,2020-03-22 03:10:02.128
20,104676,Mauritius,14,2,13,1,1,,,,11,2020-03-22 03:20:02.286
21,104865,Mauritius,14,,13,1,,,,,11,2020-03-22 03:30:01.618
22,105054,Mauritius,14,,13,1,,,,,11,2020-03-22 03:40:02.473
23,105243,Mauritius,14,,13,1,,,,,11,2020-03-22 03:50:02.419
24,105432,Mauritius,14,,13,1,,,,,11,2020-03-22 04:00:02.368
25,105621,Mauritius,14,,13,1,,,,,11,2020-03-22 04:10:02.471
26,105810,Mauritius,14,,13,1,,,,,11,2020-03-22 04:20:02.205
27,105999,Mauritius,14,,13,1,,,,,11,2020-03-22 04:30:01.838
28,106188,Mauritius,14,,13,1,,,,,11,2020-03-22 04:40:01.728
29,106377,Mauritius,14,,13,1,,,,,11,2020-03-22 04:50:02.186
30,106566,Mauritius,14,,13,1,,,,,11,2020-03-22 05:00:02.283
31,106755,Mauritius,14,,13,1,,,,,11,2020-03-22 05:10:02.023
32,106944,Mauritius,14,,13,1,,,,,11,2020-03-22 05:20:02.539
33,107133,Mauritius,14,,13,1,,,,,11,2020-03-22 05:30:01.917
34,107322,Mauritius,14,,13,1,,,,,11,2020-03-22 05:40:02.393
35,107511,Mauritius,14,,13,1,,,,,11,2020-03-22 05:50:01.706
36,107700,Mauritius,14,,13,1,,,,,11,2020-03-22 06:00:02.31
37,107889,Mauritius,14,,13,1,,,,,11,2020-03-22 06:10:02.48
38,108078,Mauritius,14,,13,1,,,,,11,2020-03-22 06:20:02.308
39,108267,Mauritius,14,,13,1,,,,,11,2020-03-22 06:30:02.468
40,108456,Mauritius,14,,13,1,,,,,11,2020-03-22 06:40:01.627
41,108645,Mauritius,14,,13,1,,,,,11,2020-03-22 06:50:02.568
42,108834,Mauritius,14,,13,1,,,,,11,2020-03-22 07:00:01.882
43,109023,Mauritius,14,,13,1,,,,,11,2020-03-22 07:10:01.602
44,109212,Mauritius,14,,13,1,,,,,11,2020-03-22 07:20:01.725
45,109401,Mauritius,14,,13,1,,,,,11,2020-03-22 07:30:02.517
46,109590,Mauritius,14,,13,1,,,,,11,2020-03-22 07:40:02.004
47,109779,Mauritius,14,,13,1,,,,,11,2020-03-22 07:50:01.639
48,109968,Mauritius,14,,13,1,,,,,11,2020-03-22 08:00:02.288
49,110157,Mauritius,14,,13,1,,,,,11,2020-03-22 08:10:01.955
50,110346,Mauritius,14,,13,1,,,,,11,2020-03-22 08:20:02.461
51,110535,Mauritius,14,,13,1,,,,,11,2020-03-22 08:30:01.924
52,110724,Mauritius,14,,13,1,,,,,11,2020-03-22 08:40:02.277
53,110913,Mauritius,14,,13,1,,,,,11,2020-03-22 08:50:01.998
54,111102,Mauritius,14,,13,1,,,,,11,2020-03-22 09:00:02.386
55,111291,Mauritius,14,,13,1,,,,,11,2020-03-22 09:10:02.333
56,111480,Mauritius,14,,13,1,,,,,11,2020-03-22 09:20:01.679
57,111669,Mauritius,14,,13,1,,,,,11,2020-03-22 09:30:01.858
58,111858,Mauritius,14,,13,1,,,,,11,2020-03-22 09:40:02.077
59,112047,Mauritius,14,,13,1,,,,,11,2020-03-22 09:50:02.389
60,112236,Mauritius,14,,13,1,,,,,11,2020-03-22 10:00:01.658
61,112425,Mauritius,14,,13,1,,,,,11,2020-03-22 10:10:02.03
62,112614,Mauritius,14,,13,1,,,,,11,2020-03-22 10:20:02.283
63,112803,Mauritius,14,,13,1,,,,,11,2020-03-22 10:30:02.203
64,112992,Mauritius,14,,13,1,,,,,11,2020-03-22 10:50:02.099
65,113181,Mauritius,14,,13,1,,,,,11,2020-03-22 11:00:01.809
