,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100901,Mayotte,11,4,11,,,,,,40,2020-03-22 00:00:02.483
1,101090,Mayotte,11,4,11,,,,,,40,2020-03-22 00:10:02.327
2,101279,Mayotte,11,4,11,,,,,,40,2020-03-22 00:20:02.401
3,101468,Mayotte,11,4,11,,,,,,40,2020-03-22 00:30:02.053
4,101657,Mayotte,11,4,11,,,,,,40,2020-03-22 00:40:02.56
5,101846,Mayotte,11,4,11,,,,,,40,2020-03-22 00:50:01.898
6,102035,Mayotte,11,4,11,,,,,,40,2020-03-22 01:00:01.656
7,102224,Mayotte,11,4,11,,,,,,40,2020-03-22 01:10:02.184
8,102413,Mayotte,11,4,11,,,,,,40,2020-03-22 01:20:02.26
9,102602,Mayotte,11,4,11,,,,,,40,2020-03-22 01:30:02.051
10,102791,Mayotte,11,4,11,,,,,,40,2020-03-22 01:40:02.218
11,102980,Mayotte,11,4,11,,,,,,40,2020-03-22 01:50:02.054
12,103169,Mayotte,11,4,11,,,,,,40,2020-03-22 02:00:01.626
13,103358,Mayotte,11,4,11,,,,,,40,2020-03-22 02:10:01.659
14,103547,Mayotte,11,4,11,,,,,,40,2020-03-22 02:20:02.44
15,103736,Mayotte,11,4,11,,,,,,40,2020-03-22 02:30:01.848
16,103925,Mayotte,11,4,11,,,,,,40,2020-03-22 02:40:02.273
17,104114,Mayotte,11,4,11,,,,,,40,2020-03-22 02:50:01.692
18,104303,Mayotte,11,4,11,,,,,,40,2020-03-22 03:00:02.482
19,104492,Mayotte,11,4,11,,,,,,40,2020-03-22 03:10:02.128
20,104681,Mayotte,11,4,11,,,,,,40,2020-03-22 03:20:02.286
21,104870,Mayotte,11,,11,,,,,,40,2020-03-22 03:30:01.618
22,105059,Mayotte,11,,11,,,,,,40,2020-03-22 03:40:02.473
23,105248,Mayotte,11,,11,,,,,,40,2020-03-22 03:50:02.419
24,105437,Mayotte,11,,11,,,,,,40,2020-03-22 04:00:02.368
25,105626,Mayotte,11,,11,,,,,,40,2020-03-22 04:10:02.471
26,105815,Mayotte,11,,11,,,,,,40,2020-03-22 04:20:02.205
27,106004,Mayotte,11,,11,,,,,,40,2020-03-22 04:30:01.838
28,106193,Mayotte,11,,11,,,,,,40,2020-03-22 04:40:01.728
29,106382,Mayotte,11,,11,,,,,,40,2020-03-22 04:50:02.186
30,106571,Mayotte,11,,11,,,,,,40,2020-03-22 05:00:02.283
31,106760,Mayotte,11,,11,,,,,,40,2020-03-22 05:10:02.023
32,106949,Mayotte,11,,11,,,,,,40,2020-03-22 05:20:02.539
33,107138,Mayotte,11,,11,,,,,,40,2020-03-22 05:30:01.917
34,107327,Mayotte,11,,11,,,,,,40,2020-03-22 05:40:02.393
35,107516,Mayotte,11,,11,,,,,,40,2020-03-22 05:50:01.706
36,107705,Mayotte,11,,11,,,,,,40,2020-03-22 06:00:02.31
37,107894,Mayotte,11,,11,,,,,,40,2020-03-22 06:10:02.48
38,108083,Mayotte,11,,11,,,,,,40,2020-03-22 06:20:02.308
39,108272,Mayotte,11,,11,,,,,,40,2020-03-22 06:30:02.468
40,108461,Mayotte,11,,11,,,,,,40,2020-03-22 06:40:01.627
41,108650,Mayotte,11,,11,,,,,,40,2020-03-22 06:50:02.568
42,108839,Mayotte,11,,11,,,,,,40,2020-03-22 07:00:01.882
43,109028,Mayotte,11,,11,,,,,,40,2020-03-22 07:10:01.602
44,109217,Mayotte,11,,11,,,,,,40,2020-03-22 07:20:01.725
45,109406,Mayotte,11,,11,,,,,,40,2020-03-22 07:30:02.517
46,109595,Mayotte,11,,11,,,,,,40,2020-03-22 07:40:02.004
47,109784,Mayotte,11,,11,,,,,,40,2020-03-22 07:50:01.639
48,109973,Mayotte,11,,11,,,,,,40,2020-03-22 08:00:02.288
49,110162,Mayotte,11,,11,,,,,,40,2020-03-22 08:10:01.955
50,110351,Mayotte,11,,11,,,,,,40,2020-03-22 08:20:02.461
51,110540,Mayotte,11,,11,,,,,,40,2020-03-22 08:30:01.924
52,110729,Mayotte,11,,11,,,,,,40,2020-03-22 08:40:02.277
53,110918,Mayotte,11,,11,,,,,,40,2020-03-22 08:50:01.998
54,111107,Mayotte,11,,11,,,,,,40,2020-03-22 09:00:02.386
55,111296,Mayotte,11,,11,,,,,,40,2020-03-22 09:10:02.333
56,111485,Mayotte,11,,11,,,,,,40,2020-03-22 09:20:01.679
57,111674,Mayotte,11,,11,,,,,,40,2020-03-22 09:30:01.858
58,111863,Mayotte,11,,11,,,,,,40,2020-03-22 09:40:02.077
59,112052,Mayotte,11,,11,,,,,,40,2020-03-22 09:50:02.389
60,112241,Mayotte,11,,11,,,,,,40,2020-03-22 10:00:01.658
61,112430,Mayotte,11,,11,,,,,,40,2020-03-22 10:10:02.03
62,112619,Mayotte,11,,11,,,,,,40,2020-03-22 10:20:02.283
63,112808,Mayotte,11,,11,,,,,,40,2020-03-22 10:30:02.203
64,112997,Mayotte,11,,11,,,,,,40,2020-03-22 10:50:02.099
65,113186,Mayotte,11,,11,,,,,,40,2020-03-22 11:00:01.809
66,113375,Mayotte,11,,11,,,,,,40,2020-03-22 11:10:02.337
67,113564,Mayotte,11,,11,,,,,,40,2020-03-22 11:20:02.297
68,113753,Mayotte,11,,11,,,,,,40,2020-03-22 11:30:02.571
69,113942,Mayotte,11,,11,,,,,,40,2020-03-22 11:40:01.658
70,114131,Mayotte,11,,11,,,,,,40,2020-03-22 11:50:02.534
71,114320,Mayotte,11,,11,,,,,,40,2020-03-22 12:00:01.655
72,114509,Mayotte,11,,11,,,,,,40,2020-03-22 12:10:02.323
73,114699,Mayotte,11,,11,,,,,,40,2020-03-22 12:20:01.826
74,114888,Mayotte,11,,11,,,,,,40,2020-03-22 12:30:02.517
75,115078,Mayotte,11,,11,,,,,,40,2020-03-22 12:40:02.46
76,115267,Mayotte,11,,11,,,,,,40,2020-03-22 12:50:02.108
77,115456,Mayotte,11,,11,,,,,,40,2020-03-22 13:00:01.691
78,115645,Mayotte,11,,11,,,,,,40,2020-03-22 13:10:01.964
79,115834,Mayotte,11,,11,,,,,,40,2020-03-22 13:20:01.995
80,116023,Mayotte,11,,11,,,,,,40,2020-03-22 13:30:02.353
81,116212,Mayotte,11,,11,,,,,,40,2020-03-22 13:40:02.609
82,116401,Mayotte,11,,11,,,,,,40,2020-03-22 13:50:01.753
83,116590,Mayotte,11,,11,,,,,,40,2020-03-22 14:00:02.347
84,116779,Mayotte,11,,11,,,,,,40,2020-03-22 14:10:02.014
85,116968,Mayotte,11,,11,,,,,,40,2020-03-22 14:20:01.732
86,117157,Mayotte,11,,11,,,,,,40,2020-03-22 14:30:02.279
87,117346,Mayotte,11,,11,,,,,,40,2020-03-22 14:40:01.994
88,117536,Mayotte,11,,11,,,,,,40,2020-03-22 14:50:01.896
89,117725,Mayotte,11,,11,,,,,,40,2020-03-22 15:00:01.708
90,117914,Mayotte,11,,11,,,,,,40,2020-03-22 15:10:01.808
91,118103,Mayotte,11,,11,,,,,,40,2020-03-22 15:20:02.115
92,118292,Mayotte,11,,11,,,,,,40,2020-03-22 15:30:02.542
93,118481,Mayotte,11,,11,,,,,,40,2020-03-22 15:40:01.608
94,118670,Mayotte,11,,11,,,,,,40,2020-03-22 15:50:02.028
95,118859,Mayotte,11,,11,,,,,,40,2020-03-22 16:00:01.887
96,119048,Mayotte,11,,11,,,,,,40,2020-03-22 16:10:02.607
97,119239,Mayotte,11,,11,,,,,,40,2020-03-22 16:40:02.392
98,119429,Mayotte,11,,11,,,,,,40,2020-03-22 16:50:02.248
99,119619,Mayotte,11,,11,,,,,,40,2020-03-22 17:00:02.174
100,119809,Mayotte,11,,11,,,,,,40,2020-03-22 17:10:01.966
101,119999,Mayotte,11,,11,,,,,,40,2020-03-22 17:20:01.901
102,120189,Mayotte,11,,11,,,,,,40,2020-03-22 17:30:03.26
103,120379,Mayotte,11,,11,,,,,,40,2020-03-22 17:40:03.136
104,120569,Mayotte,11,,11,,,,,,40,2020-03-22 17:50:01.957
105,120759,Mayotte,11,,11,,,,,,40,2020-03-22 18:00:01.753
106,120949,Mayotte,11,,11,,,,,,40,2020-03-22 18:10:02.492
107,121139,Mayotte,11,,11,,,,,,40,2020-03-22 18:30:02.036
108,121329,Mayotte,11,,11,,,,,,40,2020-03-22 18:40:02.238
109,121519,Mayotte,11,,11,,,,,,40,2020-03-22 18:50:02.468
110,121709,Mayotte,11,,11,,,,,,40,2020-03-22 19:00:01.712
111,121899,Mayotte,11,,11,,,,,,40,2020-03-22 19:10:01.802
112,122089,Mayotte,11,,11,,,,,,40,2020-03-22 19:20:01.774
113,122279,Mayotte,11,,11,,,,,,40,2020-03-22 19:30:02.213
114,122470,Mayotte,11,,11,,,,,,40,2020-03-22 19:40:02.298
115,122662,Mayotte,11,,11,,,,,,40,2020-03-22 19:50:02.038
116,122854,Mayotte,11,,11,,,,,,40,2020-03-22 20:00:02.199
117,123046,Mayotte,11,,11,,,,,,40,2020-03-22 20:10:02.435
118,123238,Mayotte,11,,11,,,,,,40,2020-03-22 20:20:01.689
119,123430,Mayotte,11,,11,,,,,,40,2020-03-22 20:30:01.705
120,123622,Mayotte,11,,11,,,,,,40,2020-03-22 20:40:02.242
121,123814,Mayotte,11,,11,,,,,,40,2020-03-22 20:50:02.144
122,124006,Mayotte,11,,11,,,,,,40,2020-03-22 21:00:01.651
123,124198,Mayotte,11,,11,,,,,,40,2020-03-22 21:10:02.274
124,124391,Mayotte,11,,11,,,,,,40,2020-03-22 21:20:02.379
125,124584,Mayotte,11,,11,,,,,,40,2020-03-22 21:30:02.09
126,124777,Mayotte,11,,11,,,,,,40,2020-03-22 21:40:02.262
127,124970,Mayotte,11,,11,,,,,,40,2020-03-22 21:50:02.451
128,125163,Mayotte,11,,11,,,,,,40,2020-03-22 22:00:02.593
129,125356,Mayotte,11,,11,,,,,,40,2020-03-22 22:10:02.087
130,125549,Mayotte,11,,11,,,,,,40,2020-03-22 22:20:01.881
131,125742,Mayotte,11,,11,,,,,,40,2020-03-22 22:30:01.794
132,125935,Mayotte,11,,11,,,,,,40,2020-03-22 22:40:01.8
133,126128,Mayotte,11,,11,,,,,,40,2020-03-22 22:50:01.828
134,126321,Mayotte,11,,11,,,,,,40,2020-03-22 23:00:02.502
135,126514,Mayotte,11,,11,,,,,,40,2020-03-22 23:10:02.549
136,126707,Mayotte,11,,11,,,,,,40,2020-03-22 23:20:01.891
137,126900,Mayotte,11,,11,,,,,,40,2020-03-22 23:30:01.863
138,127093,Mayotte,11,,11,,,,,,40,2020-03-22 23:40:02.207
139,127286,Mayotte,11,,11,,,,,,40,2020-03-22 23:50:01.664
140,127479,Mayotte,11,,11,,,,,,40,2020-03-23 00:00:02.179
141,127672,Mayotte,11,,11,,,,,,40,2020-03-23 00:10:01.95
142,127865,Mayotte,11,,11,,,,,,40,2020-03-23 00:20:02.492
143,128058,Mayotte,11,,11,,,,,,40,2020-03-23 00:30:02.344
144,128251,Mayotte,11,,11,,,,,,40,2020-03-23 00:40:01.875
145,128444,Mayotte,11,,11,,,,,,40,2020-03-23 00:50:02.095
146,128637,Mayotte,11,,11,,,,,,40,2020-03-23 01:00:02.319
147,128830,Mayotte,11,,11,,,,,,40,2020-03-23 01:10:01.782
148,129023,Mayotte,11,,11,,,,,,40,2020-03-23 01:20:02.43
149,129216,Mayotte,11,,11,,,,,,40,2020-03-23 01:30:02.407
150,129409,Mayotte,11,,11,,,,,,40,2020-03-23 01:40:02.085
151,129602,Mayotte,11,,11,,,,,,40,2020-03-23 01:50:02.168
152,129795,Mayotte,11,,11,,,,,,40,2020-03-23 02:00:02.269
153,129988,Mayotte,11,,11,,,,,,40,2020-03-23 02:10:02.435
154,130181,Mayotte,11,,11,,,,,,40,2020-03-23 02:20:02.448
155,130374,Mayotte,11,,11,,,,,,40,2020-03-23 02:30:01.911
156,130567,Mayotte,11,,11,,,,,,40,2020-03-23 02:40:01.69
157,130760,Mayotte,11,,11,,,,,,40,2020-03-23 02:50:02.471
158,130953,Mayotte,11,,11,,,,,,40,2020-03-23 03:00:01.655
159,131146,Mayotte,11,,11,,,,,,40,2020-03-23 03:10:02.377
160,131339,Mayotte,11,,11,,,,,,40,2020-03-23 03:20:02.558
161,131532,Mayotte,11,,11,,,,,,40,2020-03-23 03:30:02.093
162,131725,Mayotte,11,,11,,,,,,40,2020-03-23 03:40:01.746
163,131918,Mayotte,11,,11,,,,,,40,2020-03-23 03:50:02.043
