,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100850,Moldova,80,14,78,1,,1,3,,20,2020-03-22 00:00:02.483
1,101039,Moldova,80,14,78,1,,1,3,,20,2020-03-22 00:10:02.327
2,101228,Moldova,80,14,78,1,,1,3,,20,2020-03-22 00:20:02.401
3,101417,Moldova,80,14,78,1,,1,3,,20,2020-03-22 00:30:02.053
4,101606,Moldova,80,14,78,1,,1,3,,20,2020-03-22 00:40:02.56
5,101795,Moldova,80,14,78,1,,1,3,,20,2020-03-22 00:50:01.898
6,101984,Moldova,80,14,78,1,,1,3,,20,2020-03-22 01:00:01.656
7,102173,Moldova,80,14,78,1,,1,3,,20,2020-03-22 01:10:02.184
8,102362,Moldova,80,14,78,1,,1,3,,20,2020-03-22 01:20:02.26
9,102551,Moldova,80,14,78,1,,1,3,,20,2020-03-22 01:30:02.051
10,102740,Moldova,80,14,78,1,,1,3,,20,2020-03-22 01:40:02.218
11,102929,Moldova,80,14,78,1,,1,3,,20,2020-03-22 01:50:02.054
12,103118,Moldova,80,14,78,1,,1,3,,20,2020-03-22 02:00:01.626
13,103307,Moldova,80,14,78,1,,1,3,,20,2020-03-22 02:10:01.659
14,103496,Moldova,80,14,78,1,,1,3,,20,2020-03-22 02:20:02.44
15,103685,Moldova,80,14,78,1,,1,3,,20,2020-03-22 02:30:01.848
16,103874,Moldova,80,14,78,1,,1,3,,20,2020-03-22 02:40:02.273
17,104063,Moldova,80,14,78,1,,1,3,,20,2020-03-22 02:50:01.692
18,104252,Moldova,80,14,78,1,,1,3,,20,2020-03-22 03:00:02.482
19,104441,Moldova,80,14,78,1,,1,3,,20,2020-03-22 03:10:02.128
20,104630,Moldova,80,14,78,1,,1,3,,20,2020-03-22 03:20:02.286
21,104819,Moldova,80,,78,1,,1,3,,20,2020-03-22 03:30:01.618
22,105008,Moldova,80,,78,1,,1,3,,20,2020-03-22 03:40:02.473
23,105197,Moldova,80,,78,1,,1,3,,20,2020-03-22 03:50:02.419
24,105386,Moldova,80,,78,1,,1,3,,20,2020-03-22 04:00:02.368
25,105575,Moldova,80,,78,1,,1,3,,20,2020-03-22 04:10:02.471
26,105764,Moldova,80,,78,1,,1,3,,20,2020-03-22 04:20:02.205
27,105953,Moldova,80,,78,1,,1,3,,20,2020-03-22 04:30:01.838
28,106142,Moldova,80,,78,1,,1,3,,20,2020-03-22 04:40:01.728
