,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100888,Monaco,18,7,17,,,1,,,459,2020-03-22 00:00:02.483
1,101077,Monaco,18,7,17,,,1,,,459,2020-03-22 00:10:02.327
2,101266,Monaco,18,7,17,,,1,,,459,2020-03-22 00:20:02.401
3,101455,Monaco,18,7,17,,,1,,,459,2020-03-22 00:30:02.053
4,101644,Monaco,18,7,17,,,1,,,459,2020-03-22 00:40:02.56
5,101833,Monaco,18,7,17,,,1,,,459,2020-03-22 00:50:01.898
6,102022,Monaco,18,7,17,,,1,,,459,2020-03-22 01:00:01.656
7,102211,Monaco,18,7,17,,,1,,,459,2020-03-22 01:10:02.184
8,102400,Monaco,18,7,17,,,1,,,459,2020-03-22 01:20:02.26
9,102589,Monaco,18,7,17,,,1,,,459,2020-03-22 01:30:02.051
10,102778,Monaco,18,7,17,,,1,,,459,2020-03-22 01:40:02.218
11,102967,Monaco,18,7,17,,,1,,,459,2020-03-22 01:50:02.054
12,103156,Monaco,18,7,17,,,1,,,459,2020-03-22 02:00:01.626
13,103345,Monaco,18,7,17,,,1,,,459,2020-03-22 02:10:01.659
14,103534,Monaco,18,7,17,,,1,,,459,2020-03-22 02:20:02.44
15,103723,Monaco,18,7,17,,,1,,,459,2020-03-22 02:30:01.848
16,103912,Monaco,18,7,17,,,1,,,459,2020-03-22 02:40:02.273
17,104101,Monaco,18,7,17,,,1,,,459,2020-03-22 02:50:01.692
18,104290,Monaco,18,7,17,,,1,,,459,2020-03-22 03:00:02.482
19,104479,Monaco,18,7,17,,,1,,,459,2020-03-22 03:10:02.128
20,104668,Monaco,18,7,17,,,1,,,459,2020-03-22 03:20:02.286
21,104857,Monaco,18,,17,,,1,,,459,2020-03-22 03:30:01.618
22,105046,Monaco,18,,17,,,1,,,459,2020-03-22 03:40:02.473
23,105235,Monaco,18,,17,,,1,,,459,2020-03-22 03:50:02.419
24,105424,Monaco,18,,17,,,1,,,459,2020-03-22 04:00:02.368
25,105613,Monaco,18,,17,,,1,,,459,2020-03-22 04:10:02.471
26,105802,Monaco,18,,17,,,1,,,459,2020-03-22 04:20:02.205
27,105991,Monaco,18,,17,,,1,,,459,2020-03-22 04:30:01.838
28,106180,Monaco,18,,17,,,1,,,459,2020-03-22 04:40:01.728
29,106369,Monaco,18,,17,,,1,,,459,2020-03-22 04:50:02.186
30,106558,Monaco,18,,17,,,1,,,459,2020-03-22 05:00:02.283
31,106747,Monaco,18,,17,,,1,,,459,2020-03-22 05:10:02.023
32,106936,Monaco,18,,17,,,1,,,459,2020-03-22 05:20:02.539
33,107125,Monaco,18,,17,,,1,,,459,2020-03-22 05:30:01.917
34,107314,Monaco,18,,17,,,1,,,459,2020-03-22 05:40:02.393
35,107503,Monaco,18,,17,,,1,,,459,2020-03-22 05:50:01.706
36,107692,Monaco,18,,17,,,1,,,459,2020-03-22 06:00:02.31
37,107881,Monaco,18,,17,,,1,,,459,2020-03-22 06:10:02.48
38,108070,Monaco,18,,17,,,1,,,459,2020-03-22 06:20:02.308
39,108259,Monaco,18,,17,,,1,,,459,2020-03-22 06:30:02.468
40,108448,Monaco,18,,17,,,1,,,459,2020-03-22 06:40:01.627
41,108637,Monaco,18,,17,,,1,,,459,2020-03-22 06:50:02.568
42,108826,Monaco,18,,17,,,1,,,459,2020-03-22 07:00:01.882
43,109015,Monaco,18,,17,,,1,,,459,2020-03-22 07:10:01.602
44,109204,Monaco,18,,17,,,1,,,459,2020-03-22 07:20:01.725
45,109393,Monaco,18,,17,,,1,,,459,2020-03-22 07:30:02.517
46,109582,Monaco,18,,17,,,1,,,459,2020-03-22 07:40:02.004
47,109771,Monaco,18,,17,,,1,,,459,2020-03-22 07:50:01.639
48,109960,Monaco,18,,17,,,1,,,459,2020-03-22 08:00:02.288
49,110149,Monaco,18,,17,,,1,,,459,2020-03-22 08:10:01.955
50,110338,Monaco,18,,17,,,1,,,459,2020-03-22 08:20:02.461
51,110527,Monaco,18,,17,,,1,,,459,2020-03-22 08:30:01.924
52,110716,Monaco,18,,17,,,1,,,459,2020-03-22 08:40:02.277
53,110905,Monaco,18,,17,,,1,,,459,2020-03-22 08:50:01.998
54,111094,Monaco,18,,17,,,1,,,459,2020-03-22 09:00:02.386
55,111283,Monaco,18,,17,,,1,,,459,2020-03-22 09:10:02.333
56,111472,Monaco,18,,17,,,1,,,459,2020-03-22 09:20:01.679
57,111661,Monaco,18,,17,,,1,,,459,2020-03-22 09:30:01.858
58,111850,Monaco,18,,17,,,1,,,459,2020-03-22 09:40:02.077
59,112039,Monaco,18,,17,,,1,,,459,2020-03-22 09:50:02.389
60,112228,Monaco,18,,17,,,1,,,459,2020-03-22 10:00:01.658
61,112417,Monaco,18,,17,,,1,,,459,2020-03-22 10:10:02.03
62,112606,Monaco,18,,17,,,1,,,459,2020-03-22 10:20:02.283
63,112795,Monaco,18,,17,,,1,,,459,2020-03-22 10:30:02.203
64,112984,Monaco,18,,17,,,1,,,459,2020-03-22 10:50:02.099
65,113173,Monaco,18,,17,,,1,,,459,2020-03-22 11:00:01.809
66,113362,Monaco,18,,17,,,1,,,459,2020-03-22 11:10:02.337
67,113551,Monaco,18,,17,,,1,,,459,2020-03-22 11:20:02.297
68,113740,Monaco,18,,17,,,1,,,459,2020-03-22 11:30:02.571
69,113930,Monaco,18,,17,,,1,,,459,2020-03-22 11:40:01.658
70,114119,Monaco,18,,17,,,1,,,459,2020-03-22 11:50:02.534
71,114309,Monaco,18,,17,,,1,,,459,2020-03-22 12:00:01.655
72,114498,Monaco,18,,17,,,1,,,459,2020-03-22 12:10:02.323
