,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100948,Montserrat,1,,1,,,,,,200,2020-03-22 00:00:02.483
1,101137,Montserrat,1,,1,,,,,,200,2020-03-22 00:10:02.327
2,101326,Montserrat,1,,1,,,,,,200,2020-03-22 00:20:02.401
3,101515,Montserrat,1,,1,,,,,,200,2020-03-22 00:30:02.053
4,101704,Montserrat,1,,1,,,,,,200,2020-03-22 00:40:02.56
5,101893,Montserrat,1,,1,,,,,,200,2020-03-22 00:50:01.898
6,102082,Montserrat,1,,1,,,,,,200,2020-03-22 01:00:01.656
7,102271,Montserrat,1,,1,,,,,,200,2020-03-22 01:10:02.184
8,102460,Montserrat,1,,1,,,,,,200,2020-03-22 01:20:02.26
9,102649,Montserrat,1,,1,,,,,,200,2020-03-22 01:30:02.051
10,102838,Montserrat,1,,1,,,,,,200,2020-03-22 01:40:02.218
11,103027,Montserrat,1,,1,,,,,,200,2020-03-22 01:50:02.054
12,103216,Montserrat,1,,1,,,,,,200,2020-03-22 02:00:01.626
13,103405,Montserrat,1,,1,,,,,,200,2020-03-22 02:10:01.659
14,103594,Montserrat,1,,1,,,,,,200,2020-03-22 02:20:02.44
15,103783,Montserrat,1,,1,,,,,,200,2020-03-22 02:30:01.848
16,103972,Montserrat,1,,1,,,,,,200,2020-03-22 02:40:02.273
17,104161,Montserrat,1,,1,,,,,,200,2020-03-22 02:50:01.692
18,104350,Montserrat,1,,1,,,,,,200,2020-03-22 03:00:02.482
19,104539,Montserrat,1,,1,,,,,,200,2020-03-22 03:10:02.128
20,104728,Montserrat,1,,1,,,,,,200,2020-03-22 03:20:02.286
21,104917,Montserrat,1,,1,,,,,,200,2020-03-22 03:30:01.618
22,105106,Montserrat,1,,1,,,,,,200,2020-03-22 03:40:02.473
23,105295,Montserrat,1,,1,,,,,,200,2020-03-22 03:50:02.419
24,105484,Montserrat,1,,1,,,,,,200,2020-03-22 04:00:02.368
25,105673,Montserrat,1,,1,,,,,,200,2020-03-22 04:10:02.471
26,105862,Montserrat,1,,1,,,,,,200,2020-03-22 04:20:02.205
27,106051,Montserrat,1,,1,,,,,,200,2020-03-22 04:30:01.838
