,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,147619,Myanmar,2,2,2,,,,,,0.04,2020-03-23 17:40:02.463
1,147815,Myanmar,2,2,2,,,,,,0.04,2020-03-23 17:50:02.158
2,148011,Myanmar,2,2,2,,,,,,0.04,2020-03-23 18:00:02.364
3,148207,Myanmar,2,2,2,,,,,,0.04,2020-03-23 18:10:03.308
4,148403,Myanmar,2,2,2,,,,,,0.04,2020-03-23 18:20:02.357
5,148599,Myanmar,2,2,2,,,,,,0.04,2020-03-23 18:30:01.988
6,148795,Myanmar,2,2,2,,,,,,0.04,2020-03-23 18:40:02.347
7,148991,Myanmar,2,2,2,,,,,,0.04,2020-03-23 18:50:02.07
8,149187,Myanmar,2,2,2,,,,,,0.04,2020-03-23 19:00:01.746
9,149383,Myanmar,2,2,2,,,,,,0.04,2020-03-23 19:10:01.662
10,149579,Myanmar,2,2,2,,,,,,0.04,2020-03-23 19:20:01.809
11,149776,Myanmar,2,2,2,,,,,,0.04,2020-03-23 19:40:01.605
12,149972,Myanmar,2,2,2,,,,,,0.04,2020-03-23 19:50:01.967
13,150169,Myanmar,2,2,2,,,,,,0.04,2020-03-23 20:00:02.445
14,150365,Myanmar,2,2,2,,,,,,0.04,2020-03-23 20:10:02.476
15,150561,Myanmar,2,2,2,,,,,,0.04,2020-03-23 20:20:01.798
16,150757,Myanmar,2,2,2,,,,,,0.04,2020-03-23 20:30:02.343
17,150953,Myanmar,2,2,2,,,,,,0.04,2020-03-23 20:40:01.916
18,151149,Myanmar,2,2,2,,,,,,0.04,2020-03-23 20:50:02.503
19,151345,Myanmar,2,2,2,,,,,,0.04,2020-03-23 21:00:01.774
20,151542,Myanmar,2,2,2,,,,,,0.04,2020-03-23 21:10:01.765
21,151738,Myanmar,2,2,2,,,,,,0.04,2020-03-23 21:20:02.201
22,151934,Myanmar,2,2,2,,,,,,0.04,2020-03-23 21:30:01.834
23,152130,Myanmar,2,2,2,,,,,,0.04,2020-03-23 21:40:01.7
24,152326,Myanmar,2,2,2,,,,,,0.04,2020-03-23 21:50:02.56
25,152522,Myanmar,2,2,2,,,,,,0.04,2020-03-23 22:00:01.775
26,152718,Myanmar,2,2,2,,,,,,0.04,2020-03-23 22:10:01.965
27,152914,Myanmar,2,2,2,,,,,,0.04,2020-03-23 22:20:02.295
28,153110,Myanmar,2,2,2,,,,,,0.04,2020-03-23 22:30:02.256
29,153306,Myanmar,2,2,2,,,,,,0.04,2020-03-23 22:40:01.657
30,153502,Myanmar,2,2,2,,,,,,0.04,2020-03-23 22:50:01.928
31,153698,Myanmar,2,2,2,,,,,,0.04,2020-03-23 23:00:01.927
32,153896,Myanmar,2,2,2,,,,,,0.04,2020-03-23 23:10:02.387
33,154092,Myanmar,2,2,2,,,,,,0.04,2020-03-23 23:20:02.535
34,154288,Myanmar,2,2,2,,,,,,0.04,2020-03-23 23:30:02.045
35,154484,Myanmar,2,2,2,,,,,,0.04,2020-03-23 23:40:02.412
36,154680,Myanmar,2,2,2,,,,,,0.04,2020-03-23 23:50:01.64
37,154876,Myanmar,2,2,2,,,,,,0.04,2020-03-24 00:00:02.416
38,155072,Myanmar,2,2,2,,,,,,0.04,2020-03-24 00:10:02.473
39,155268,Myanmar,2,2,2,,,,,,0.04,2020-03-24 00:20:02.398
40,155464,Myanmar,2,2,2,,,,,,0.04,2020-03-24 00:30:02.606
41,155660,Myanmar,2,2,2,,,,,,0.04,2020-03-24 00:40:01.638
42,155856,Myanmar,2,2,2,,,,,,0.04,2020-03-24 00:50:01.588
43,156052,Myanmar,2,2,2,,,,,,0.04,2020-03-24 01:00:02.229
44,156248,Myanmar,2,2,2,,,,,,0.04,2020-03-24 01:10:02.563
45,156444,Myanmar,2,2,2,,,,,,0.04,2020-03-24 01:20:02.494
46,156640,Myanmar,2,2,2,,,,,,0.04,2020-03-24 01:30:02.072
47,156836,Myanmar,2,2,2,,,,,,0.04,2020-03-24 01:40:01.828
48,157032,Myanmar,2,2,2,,,,,,0.04,2020-03-24 01:50:02.227
