,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100924,Namibia,3,,3,,,,,,1,2020-03-22 00:00:02.483
1,101113,Namibia,3,,3,,,,,,1,2020-03-22 00:10:02.327
2,101302,Namibia,3,,3,,,,,,1,2020-03-22 00:20:02.401
3,101491,Namibia,3,,3,,,,,,1,2020-03-22 00:30:02.053
4,101680,Namibia,3,,3,,,,,,1,2020-03-22 00:40:02.56
5,101869,Namibia,3,,3,,,,,,1,2020-03-22 00:50:01.898
6,102058,Namibia,3,,3,,,,,,1,2020-03-22 01:00:01.656
7,102247,Namibia,3,,3,,,,,,1,2020-03-22 01:10:02.184
8,102436,Namibia,3,,3,,,,,,1,2020-03-22 01:20:02.26
9,102625,Namibia,3,,3,,,,,,1,2020-03-22 01:30:02.051
10,102814,Namibia,3,,3,,,,,,1,2020-03-22 01:40:02.218
11,103003,Namibia,3,,3,,,,,,1,2020-03-22 01:50:02.054
12,103192,Namibia,3,,3,,,,,,1,2020-03-22 02:00:01.626
13,103381,Namibia,3,,3,,,,,,1,2020-03-22 02:10:01.659
14,103570,Namibia,3,,3,,,,,,1,2020-03-22 02:20:02.44
15,103759,Namibia,3,,3,,,,,,1,2020-03-22 02:30:01.848
16,103948,Namibia,3,,3,,,,,,1,2020-03-22 02:40:02.273
17,104137,Namibia,3,,3,,,,,,1,2020-03-22 02:50:01.692
18,104326,Namibia,3,,3,,,,,,1,2020-03-22 03:00:02.482
19,104515,Namibia,3,,3,,,,,,1,2020-03-22 03:10:02.128
20,104704,Namibia,3,,3,,,,,,1,2020-03-22 03:20:02.286
21,104893,Namibia,3,,3,,,,,,1,2020-03-22 03:30:01.618
22,105082,Namibia,3,,3,,,,,,1,2020-03-22 03:40:02.473
23,105271,Namibia,3,,3,,,,,,1,2020-03-22 03:50:02.419
24,105460,Namibia,3,,3,,,,,,1,2020-03-22 04:00:02.368
25,105649,Namibia,3,,3,,,,,,1,2020-03-22 04:10:02.471
26,105838,Namibia,3,,3,,,,,,1,2020-03-22 04:20:02.205
27,106027,Namibia,3,,3,,,,,,1,2020-03-22 04:30:01.838
28,106217,Namibia,3,,3,,,,,,1,2020-03-22 04:40:01.728
29,106406,Namibia,3,,3,,,,,,1,2020-03-22 04:50:02.186
30,106595,Namibia,3,,3,,,,,,1,2020-03-22 05:00:02.283
31,106784,Namibia,3,,3,,,,,,1,2020-03-22 05:10:02.023
32,106973,Namibia,3,,3,,,,,,1,2020-03-22 05:20:02.539
33,107162,Namibia,3,,3,,,,,,1,2020-03-22 05:30:01.917
34,107351,Namibia,3,,3,,,,,,1,2020-03-22 05:40:02.393
35,107540,Namibia,3,,3,,,,,,1,2020-03-22 05:50:01.706
36,107729,Namibia,3,,3,,,,,,1,2020-03-22 06:00:02.31
37,107918,Namibia,3,,3,,,,,,1,2020-03-22 06:10:02.48
38,108107,Namibia,3,,3,,,,,,1,2020-03-22 06:20:02.308
39,108296,Namibia,3,,3,,,,,,1,2020-03-22 06:30:02.468
40,108485,Namibia,3,,3,,,,,,1,2020-03-22 06:40:01.627
41,108674,Namibia,3,,3,,,,,,1,2020-03-22 06:50:02.568
42,108863,Namibia,3,,3,,,,,,1,2020-03-22 07:00:01.882
43,109052,Namibia,3,,3,,,,,,1,2020-03-22 07:10:01.602
44,109241,Namibia,3,,3,,,,,,1,2020-03-22 07:20:01.725
45,109430,Namibia,3,,3,,,,,,1,2020-03-22 07:30:02.517
46,109619,Namibia,3,,3,,,,,,1,2020-03-22 07:40:02.004
47,109808,Namibia,3,,3,,,,,,1,2020-03-22 07:50:01.639
48,109997,Namibia,3,,3,,,,,,1,2020-03-22 08:00:02.288
49,110186,Namibia,3,,3,,,,,,1,2020-03-22 08:10:01.955
50,110375,Namibia,3,,3,,,,,,1,2020-03-22 08:20:02.461
51,110564,Namibia,3,,3,,,,,,1,2020-03-22 08:30:01.924
52,110753,Namibia,3,,3,,,,,,1,2020-03-22 08:40:02.277
53,110942,Namibia,3,,3,,,,,,1,2020-03-22 08:50:01.998
54,111131,Namibia,3,,3,,,,,,1,2020-03-22 09:00:02.386
55,111320,Namibia,3,,3,,,,,,1,2020-03-22 09:10:02.333
56,111509,Namibia,3,,3,,,,,,1,2020-03-22 09:20:01.679
57,111698,Namibia,3,,3,,,,,,1,2020-03-22 09:30:01.858
58,111887,Namibia,3,,3,,,,,,1,2020-03-22 09:40:02.077
59,112076,Namibia,3,,3,,,,,,1,2020-03-22 09:50:02.389
60,112265,Namibia,3,,3,,,,,,1,2020-03-22 10:00:01.658
61,112454,Namibia,3,,3,,,,,,1,2020-03-22 10:10:02.03
62,112643,Namibia,3,,3,,,,,,1,2020-03-22 10:20:02.283
63,112832,Namibia,3,,3,,,,,,1,2020-03-22 10:30:02.203
64,113021,Namibia,3,,3,,,,,,1,2020-03-22 10:50:02.099
65,113210,Namibia,3,,3,,,,,,1,2020-03-22 11:00:01.809
66,113399,Namibia,3,,3,,,,,,1,2020-03-22 11:10:02.337
67,113588,Namibia,3,,3,,,,,,1,2020-03-22 11:20:02.297
68,113777,Namibia,3,,3,,,,,,1,2020-03-22 11:30:02.571
69,113967,Namibia,3,,3,,,,,,1,2020-03-22 11:40:01.658
70,114156,Namibia,3,,3,,,,,,1,2020-03-22 11:50:02.534
71,114345,Namibia,3,,3,,,,,,1,2020-03-22 12:00:01.655
72,114534,Namibia,3,,3,,,,,,1,2020-03-22 12:10:02.323
73,114723,Namibia,3,,3,,,,,,1,2020-03-22 12:20:01.826
74,114912,Namibia,3,,3,,,,,,1,2020-03-22 12:30:02.517
75,115101,Namibia,3,,3,,,,,,1,2020-03-22 12:40:02.46
76,115290,Namibia,3,,3,,,,,,1,2020-03-22 12:50:02.108
77,115479,Namibia,3,,3,,,,,,1,2020-03-22 13:00:01.691
78,115668,Namibia,3,,3,,,,,,1,2020-03-22 13:10:01.964
79,115857,Namibia,3,,3,,,,,,1,2020-03-22 13:20:01.995
80,116046,Namibia,3,,3,,,,,,1,2020-03-22 13:30:02.353
81,116235,Namibia,3,,3,,,,,,1,2020-03-22 13:40:02.609
82,116424,Namibia,3,,3,,,,,,1,2020-03-22 13:50:01.753
83,116613,Namibia,3,,3,,,,,,1,2020-03-22 14:00:02.347
84,116802,Namibia,3,,3,,,,,,1,2020-03-22 14:10:02.014
85,116991,Namibia,3,,3,,,,,,1,2020-03-22 14:20:01.732
86,117180,Namibia,3,,3,,,,,,1,2020-03-22 14:30:02.279
87,117369,Namibia,3,,3,,,,,,1,2020-03-22 14:40:01.994
88,117558,Namibia,3,,3,,,,,,1,2020-03-22 14:50:01.896
89,117747,Namibia,3,,3,,,,,,1,2020-03-22 15:00:01.708
90,117936,Namibia,3,,3,,,,,,1,2020-03-22 15:10:01.808
91,118125,Namibia,3,,3,,,,,,1,2020-03-22 15:20:02.115
92,118314,Namibia,3,,3,,,,,,1,2020-03-22 15:30:02.542
93,118503,Namibia,3,,3,,,,,,1,2020-03-22 15:40:01.608
94,118692,Namibia,3,,3,,,,,,1,2020-03-22 15:50:02.028
95,118881,Namibia,3,,3,,,,,,1,2020-03-22 16:00:01.887
96,119070,Namibia,3,,3,,,,,,1,2020-03-22 16:10:02.607
97,119260,Namibia,3,,3,,,,,,1,2020-03-22 16:40:02.392
98,119450,Namibia,3,,3,,,,,,1,2020-03-22 16:50:02.248
99,119640,Namibia,3,,3,,,,,,1,2020-03-22 17:00:02.174
100,119830,Namibia,3,,3,,,,,,1,2020-03-22 17:10:01.966
101,120020,Namibia,3,,3,,,,,,1,2020-03-22 17:20:01.901
102,120210,Namibia,3,,3,,,,,,1,2020-03-22 17:30:03.26
103,120400,Namibia,3,,3,,,,,,1,2020-03-22 17:40:03.136
104,120590,Namibia,3,,3,,,,,,1,2020-03-22 17:50:01.957
105,120780,Namibia,3,,3,,,,,,1,2020-03-22 18:00:01.753
106,120970,Namibia,3,,3,,,,,,1,2020-03-22 18:10:02.492
107,121160,Namibia,3,,3,,,,,,1,2020-03-22 18:30:02.036
108,121350,Namibia,3,,3,,,,,,1,2020-03-22 18:40:02.238
109,121540,Namibia,3,,3,,,,,,1,2020-03-22 18:50:02.468
110,121730,Namibia,3,,3,,,,,,1,2020-03-22 19:00:01.712
111,121920,Namibia,3,,3,,,,,,1,2020-03-22 19:10:01.802
112,122110,Namibia,3,,3,,,,,,1,2020-03-22 19:20:01.774
113,122300,Namibia,3,,3,,,,,,1,2020-03-22 19:30:02.213
114,122491,Namibia,3,,3,,,,,,1,2020-03-22 19:40:02.298
115,122683,Namibia,3,,3,,,,,,1,2020-03-22 19:50:02.038
116,122875,Namibia,3,,3,,,,,,1,2020-03-22 20:00:02.199
117,123067,Namibia,3,,3,,,,,,1,2020-03-22 20:10:02.435
118,123259,Namibia,3,,3,,,,,,1,2020-03-22 20:20:01.689
119,123451,Namibia,3,,3,,,,,,1,2020-03-22 20:30:01.705
120,123643,Namibia,3,,3,,,,,,1,2020-03-22 20:40:02.242
121,123836,Namibia,3,,3,,,,,,1,2020-03-22 20:50:02.144
122,124028,Namibia,3,,3,,,,,,1,2020-03-22 21:00:01.651
123,124220,Namibia,3,,3,,,,,,1,2020-03-22 21:10:02.274
124,124413,Namibia,3,,3,,,,,,1,2020-03-22 21:20:02.379
125,124606,Namibia,3,,3,,,,,,1,2020-03-22 21:30:02.09
126,124799,Namibia,3,,3,,,,,,1,2020-03-22 21:40:02.262
127,124992,Namibia,3,,3,,,,,,1,2020-03-22 21:50:02.451
128,125185,Namibia,3,,3,,,,,,1,2020-03-22 22:00:02.593
129,125378,Namibia,3,,3,,,,,,1,2020-03-22 22:10:02.087
130,125571,Namibia,3,,3,,,,,,1,2020-03-22 22:20:01.881
131,125764,Namibia,3,,3,,,,,,1,2020-03-22 22:30:01.794
132,125957,Namibia,3,,3,,,,,,1,2020-03-22 22:40:01.8
133,126150,Namibia,3,,3,,,,,,1,2020-03-22 22:50:01.828
134,126343,Namibia,3,,3,,,,,,1,2020-03-22 23:00:02.502
135,126536,Namibia,3,,3,,,,,,1,2020-03-22 23:10:02.549
136,126729,Namibia,3,,3,,,,,,1,2020-03-22 23:20:01.891
137,126922,Namibia,3,,3,,,,,,1,2020-03-22 23:30:01.863
138,127115,Namibia,3,,3,,,,,,1,2020-03-22 23:40:02.207
139,127308,Namibia,3,,3,,,,,,1,2020-03-22 23:50:01.664
140,127501,Namibia,3,,3,,,,,,1,2020-03-23 00:00:02.179
141,127695,Namibia,3,,3,,,,,,1,2020-03-23 00:10:01.95
142,127888,Namibia,3,,3,,,,,,1,2020-03-23 00:20:02.492
143,128081,Namibia,3,,3,,,,,,1,2020-03-23 00:30:02.344
144,128274,Namibia,3,,3,,,,,,1,2020-03-23 00:40:01.875
145,128467,Namibia,3,,3,,,,,,1,2020-03-23 00:50:02.095
146,128660,Namibia,3,,3,,,,,,1,2020-03-23 01:00:02.319
147,128853,Namibia,3,,3,,,,,,1,2020-03-23 01:10:01.782
148,129046,Namibia,3,,3,,,,,,1,2020-03-23 01:20:02.43
149,129239,Namibia,3,,3,,,,,,1,2020-03-23 01:30:02.407
150,129432,Namibia,3,,3,,,,,,1,2020-03-23 01:40:02.085
151,129625,Namibia,3,,3,,,,,,1,2020-03-23 01:50:02.168
152,129818,Namibia,3,,3,,,,,,1,2020-03-23 02:00:02.269
153,130011,Namibia,3,,3,,,,,,1,2020-03-23 02:10:02.435
154,130204,Namibia,3,,3,,,,,,1,2020-03-23 02:20:02.448
155,130397,Namibia,3,,3,,,,,,1,2020-03-23 02:30:01.911
156,130590,Namibia,3,,3,,,,,,1,2020-03-23 02:40:01.69
157,130783,Namibia,3,,3,,,,,,1,2020-03-23 02:50:02.471
158,130976,Namibia,3,,3,,,,,,1,2020-03-23 03:00:01.655
159,131169,Namibia,3,,3,,,,,,1,2020-03-23 03:10:02.377
160,131362,Namibia,3,,3,,,,,,1,2020-03-23 03:20:02.558
161,131555,Namibia,3,,3,,,,,,1,2020-03-23 03:30:02.093
162,131748,Namibia,3,,3,,,,,,1,2020-03-23 03:40:01.746
163,131941,Namibia,3,,3,,,,,,1,2020-03-23 03:50:02.043
164,132134,Namibia,3,,3,,,,,,1,2020-03-23 04:00:02.36
165,132327,Namibia,3,,3,,,,,,1,2020-03-23 04:10:02.185
166,132520,Namibia,3,,3,,,,,,1,2020-03-23 04:20:02.316
167,132713,Namibia,3,,3,,,,,,1,2020-03-23 04:30:02.294
168,132906,Namibia,3,,3,,,,,,1,2020-03-23 04:40:01.894
169,133099,Namibia,3,,3,,,,,,1,2020-03-23 04:50:01.593
170,133292,Namibia,3,,3,,,,,,1,2020-03-23 05:00:02.347
171,133485,Namibia,3,,3,,,,,,1,2020-03-23 05:10:02.388
172,133678,Namibia,3,,3,,,,,,1,2020-03-23 05:20:02.591
173,133872,Namibia,3,,3,,,,,,1,2020-03-23 05:30:02.554
174,134065,Namibia,3,,3,,,,,,1,2020-03-23 05:40:02.191
175,134258,Namibia,3,,3,,,,,,1,2020-03-23 05:50:01.741
176,134451,Namibia,3,,3,,,,,,1,2020-03-23 06:00:01.967
177,134644,Namibia,3,,3,,,,,,1,2020-03-23 06:10:01.821
178,134837,Namibia,3,,3,,,,,,1,2020-03-23 06:20:02.087
179,135030,Namibia,3,,3,,,,,,1,2020-03-23 06:30:02.225
180,135223,Namibia,3,,3,,,,,,1,2020-03-23 06:40:01.869
181,135416,Namibia,3,,3,,,,,,1,2020-03-23 06:50:02.3
182,135609,Namibia,3,,3,,,,,,1,2020-03-23 07:00:01.638
183,135802,Namibia,3,,3,,,,,,1,2020-03-23 07:10:02.063
184,135995,Namibia,3,,3,,,,,,1,2020-03-23 07:20:02.094
185,136188,Namibia,3,,3,,,,,,1,2020-03-23 07:30:01.782
186,136381,Namibia,3,,3,,,,,,1,2020-03-23 07:40:01.625
187,136574,Namibia,3,,3,,,,,,1,2020-03-23 07:50:02.367
188,136767,Namibia,3,,3,,,,,,1,2020-03-23 08:00:02.076
189,136960,Namibia,3,,3,,,,,,1,2020-03-23 08:10:02.4
190,137153,Namibia,3,,3,,,,,,1,2020-03-23 08:30:02.196
191,137346,Namibia,3,,3,,,,,,1,2020-03-23 08:40:01.781
192,137539,Namibia,3,,3,,,,,,1,2020-03-23 08:50:02.437
193,137732,Namibia,3,,3,,,,,,1,2020-03-23 09:00:01.915
194,137925,Namibia,3,,3,,,,,,1,2020-03-23 09:10:01.846
195,138118,Namibia,3,,3,,,,,,1,2020-03-23 09:20:02.077
196,138312,Namibia,3,,3,,,,,,1,2020-03-23 09:30:02.13
197,138505,Namibia,3,,3,,,,,,1,2020-03-23 09:40:02.332
198,138698,Namibia,3,,3,,,,,,1,2020-03-23 09:50:02.443
199,138891,Namibia,3,,3,,,,,,1,2020-03-23 10:00:02.551
200,139084,Namibia,3,,3,,,,,,1,2020-03-23 10:10:01.713
201,139277,Namibia,3,,3,,,,,,1,2020-03-23 10:20:02.121
202,139470,Namibia,3,,3,,,,,,1,2020-03-23 10:30:02.602
203,139663,Namibia,3,,3,,,,,,1,2020-03-23 10:50:02.503
204,139856,Namibia,3,,3,,,,,,1,2020-03-23 11:00:02.081
205,140049,Namibia,3,,3,,,,,,1,2020-03-23 11:10:02.303
206,140243,Namibia,3,,3,,,,,,1,2020-03-23 11:20:02.153
207,140436,Namibia,3,,3,,,,,,1,2020-03-23 11:30:02.106
208,140629,Namibia,3,,3,,,,,,1,2020-03-23 11:40:01.639
209,140822,Namibia,3,,3,,,,,,1,2020-03-23 11:50:01.574
210,141015,Namibia,3,,3,,,,,,1,2020-03-23 12:00:02.335
211,141208,Namibia,3,,3,,,,,,1,2020-03-23 12:10:02.42
212,141402,Namibia,3,,3,,,,,,1,2020-03-23 12:20:01.995
213,141595,Namibia,3,,3,,,,,,1,2020-03-23 12:30:02.34
214,141788,Namibia,3,,3,,,,,,1,2020-03-23 12:40:02.13
215,141981,Namibia,3,,3,,,,,,1,2020-03-23 12:50:01.78
216,142174,Namibia,3,,3,,,,,,1,2020-03-23 13:00:02.487
217,142367,Namibia,3,,3,,,,,,1,2020-03-23 13:10:02.315
218,142560,Namibia,3,,3,,,,,,1,2020-03-23 13:20:02.142
219,142753,Namibia,3,,3,,,,,,1,2020-03-23 13:30:02.544
220,142946,Namibia,3,,3,,,,,,1,2020-03-23 13:40:02.157
221,143139,Namibia,3,,3,,,,,,1,2020-03-23 13:50:02.122
222,143332,Namibia,3,,3,,,,,,1,2020-03-23 14:00:02.245
223,143525,Namibia,3,,3,,,,,,1,2020-03-23 14:10:01.901
224,143718,Namibia,3,,3,,,,,,1,2020-03-23 14:20:02.629
225,143912,Namibia,3,,3,,,,,,1,2020-03-23 14:30:02.028
226,144106,Namibia,3,,3,,,,,,1,2020-03-23 14:40:02.291
227,144300,Namibia,3,,3,,,,,,1,2020-03-23 14:50:02.124
228,144494,Namibia,3,,3,,,,,,1,2020-03-23 15:00:02.206
229,144688,Namibia,3,,3,,,,,,1,2020-03-23 15:10:02.074
230,144882,Namibia,3,,3,,,,,,1,2020-03-23 15:20:02.36
231,145076,Namibia,3,,3,,,,,,1,2020-03-23 15:30:02.176
232,145270,Namibia,3,,3,,,,,,1,2020-03-23 15:40:01.964
233,145464,Namibia,3,,3,,,,,,1,2020-03-23 15:50:02.976
234,145658,Namibia,3,,3,,,,,,1,2020-03-23 16:00:02.106
235,145853,Namibia,3,,3,,,,,,1,2020-03-23 16:10:02.302
236,146048,Namibia,3,,3,,,,,,1,2020-03-23 16:20:02.823
237,146243,Namibia,3,,3,,,,,,1,2020-03-23 16:30:01.597
238,146438,Namibia,3,,3,,,,,,1,2020-03-23 16:40:01.886
239,146633,Namibia,3,,3,,,,,,1,2020-03-23 16:50:02.096
240,146828,Namibia,3,,3,,,,,,1,2020-03-23 17:00:01.9
241,147023,Namibia,3,,3,,,,,,1,2020-03-23 17:10:01.621
242,147218,Namibia,3,,3,,,,,,1,2020-03-23 17:20:01.977
243,147413,Namibia,3,,3,,,,,,1,2020-03-23 17:30:01.995
244,147608,Namibia,3,,3,,,,,,1,2020-03-23 17:40:02.463
245,147804,Namibia,3,,3,,,,,,1,2020-03-23 17:50:02.158
246,148000,Namibia,3,,3,,,,,,1,2020-03-23 18:00:02.364
247,148196,Namibia,3,,3,,,,,,1,2020-03-23 18:10:03.308
248,148392,Namibia,3,,3,,,,,,1,2020-03-23 18:20:02.357
249,148588,Namibia,3,,3,,,,,,1,2020-03-23 18:30:01.988
250,148784,Namibia,3,,3,,,,,,1,2020-03-23 18:40:02.347
251,148980,Namibia,3,,3,,,,,,1,2020-03-23 18:50:02.07
252,149176,Namibia,3,,3,,,,,,1,2020-03-23 19:00:01.746
253,149372,Namibia,3,,3,,,,,,1,2020-03-23 19:10:01.662
254,149569,Namibia,3,,3,,,,,,1,2020-03-23 19:20:01.809
255,149755,Namibia,4,1,4,,,,,,2,2020-03-23 19:40:01.605
256,149951,Namibia,4,1,4,,,,,,2,2020-03-23 19:50:01.967
