,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100778,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 00:00:02.483
1,100967,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 00:10:02.327
2,101156,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 00:20:02.401
3,101345,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 00:30:02.053
4,101534,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 00:40:02.56
5,101723,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 00:50:01.898
6,101912,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 01:00:01.656
7,102101,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 01:10:02.184
8,102290,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 01:20:02.26
9,102479,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 01:30:02.051
10,102668,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 01:40:02.218
11,102857,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 01:50:02.054
12,103046,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 02:00:01.626
13,103235,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 02:10:01.659
14,103424,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 02:20:02.44
15,103613,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 02:30:01.848
16,103802,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 02:40:02.273
17,103991,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 02:50:01.692
18,104180,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 03:00:02.482
19,104369,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 03:10:02.128
20,104558,Netherlands,"3,631",637,"3,493",136,30,2,354,,212,2020-03-22 03:20:02.286
21,104747,Netherlands,"3,631",,"3,493",136,,2,354,,212,2020-03-22 03:30:01.618
22,104936,Netherlands,"3,631",,"3,493",136,,2,354,,212,2020-03-22 03:40:02.473
23,105125,Netherlands,"3,631",,"3,493",136,,2,354,,212,2020-03-22 03:50:02.419
