,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100915,New Caledonia,4,2,4,,,,,,14,2020-03-22 00:00:02.483
1,101104,New Caledonia,4,2,4,,,,,,14,2020-03-22 00:10:02.327
2,101293,New Caledonia,4,2,4,,,,,,14,2020-03-22 00:20:02.401
3,101482,New Caledonia,4,2,4,,,,,,14,2020-03-22 00:30:02.053
4,101671,New Caledonia,4,2,4,,,,,,14,2020-03-22 00:40:02.56
5,101860,New Caledonia,4,2,4,,,,,,14,2020-03-22 00:50:01.898
6,102049,New Caledonia,4,2,4,,,,,,14,2020-03-22 01:00:01.656
7,102238,New Caledonia,4,2,4,,,,,,14,2020-03-22 01:10:02.184
8,102427,New Caledonia,4,2,4,,,,,,14,2020-03-22 01:20:02.26
9,102616,New Caledonia,4,2,4,,,,,,14,2020-03-22 01:30:02.051
10,102805,New Caledonia,4,2,4,,,,,,14,2020-03-22 01:40:02.218
11,102994,New Caledonia,4,2,4,,,,,,14,2020-03-22 01:50:02.054
12,103183,New Caledonia,4,2,4,,,,,,14,2020-03-22 02:00:01.626
13,103372,New Caledonia,4,2,4,,,,,,14,2020-03-22 02:10:01.659
14,103561,New Caledonia,4,2,4,,,,,,14,2020-03-22 02:20:02.44
15,103750,New Caledonia,4,2,4,,,,,,14,2020-03-22 02:30:01.848
16,103939,New Caledonia,4,2,4,,,,,,14,2020-03-22 02:40:02.273
17,104128,New Caledonia,4,2,4,,,,,,14,2020-03-22 02:50:01.692
18,104317,New Caledonia,4,2,4,,,,,,14,2020-03-22 03:00:02.482
19,104506,New Caledonia,4,2,4,,,,,,14,2020-03-22 03:10:02.128
20,104695,New Caledonia,4,2,4,,,,,,14,2020-03-22 03:20:02.286
21,104884,New Caledonia,4,,4,,,,,,14,2020-03-22 03:30:01.618
22,105073,New Caledonia,4,,4,,,,,,14,2020-03-22 03:40:02.473
23,105262,New Caledonia,4,,4,,,,,,14,2020-03-22 03:50:02.419
24,105451,New Caledonia,4,,4,,,,,,14,2020-03-22 04:00:02.368
25,105640,New Caledonia,4,,4,,,,,,14,2020-03-22 04:10:02.471
26,105829,New Caledonia,4,,4,,,,,,14,2020-03-22 04:20:02.205
27,106018,New Caledonia,4,,4,,,,,,14,2020-03-22 04:30:01.838
28,106207,New Caledonia,4,,4,,,,,,14,2020-03-22 04:40:01.728
29,106396,New Caledonia,4,,4,,,,,,14,2020-03-22 04:50:02.186
30,106585,New Caledonia,4,,4,,,,,,14,2020-03-22 05:00:02.283
31,106774,New Caledonia,4,,4,,,,,,14,2020-03-22 05:10:02.023
32,106963,New Caledonia,4,,4,,,,,,14,2020-03-22 05:20:02.539
33,107152,New Caledonia,4,,4,,,,,,14,2020-03-22 05:30:01.917
34,107341,New Caledonia,4,,4,,,,,,14,2020-03-22 05:40:02.393
35,107530,New Caledonia,4,,4,,,,,,14,2020-03-22 05:50:01.706
36,107719,New Caledonia,4,,4,,,,,,14,2020-03-22 06:00:02.31
37,107908,New Caledonia,4,,4,,,,,,14,2020-03-22 06:10:02.48
38,108097,New Caledonia,4,,4,,,,,,14,2020-03-22 06:20:02.308
39,108286,New Caledonia,4,,4,,,,,,14,2020-03-22 06:30:02.468
40,108475,New Caledonia,4,,4,,,,,,14,2020-03-22 06:40:01.627
41,108664,New Caledonia,4,,4,,,,,,14,2020-03-22 06:50:02.568
42,108853,New Caledonia,4,,4,,,,,,14,2020-03-22 07:00:01.882
43,109042,New Caledonia,4,,4,,,,,,14,2020-03-22 07:10:01.602
44,109231,New Caledonia,4,,4,,,,,,14,2020-03-22 07:20:01.725
45,109420,New Caledonia,4,,4,,,,,,14,2020-03-22 07:30:02.517
46,109609,New Caledonia,4,,4,,,,,,14,2020-03-22 07:40:02.004
47,109798,New Caledonia,4,,4,,,,,,14,2020-03-22 07:50:01.639
48,109987,New Caledonia,4,,4,,,,,,14,2020-03-22 08:00:02.288
49,110176,New Caledonia,4,,4,,,,,,14,2020-03-22 08:10:01.955
50,110365,New Caledonia,4,,4,,,,,,14,2020-03-22 08:20:02.461
51,110554,New Caledonia,4,,4,,,,,,14,2020-03-22 08:30:01.924
52,110743,New Caledonia,4,,4,,,,,,14,2020-03-22 08:40:02.277
53,110932,New Caledonia,4,,4,,,,,,14,2020-03-22 08:50:01.998
54,111121,New Caledonia,4,,4,,,,,,14,2020-03-22 09:00:02.386
55,111310,New Caledonia,4,,4,,,,,,14,2020-03-22 09:10:02.333
56,111499,New Caledonia,4,,4,,,,,,14,2020-03-22 09:20:01.679
57,111688,New Caledonia,4,,4,,,,,,14,2020-03-22 09:30:01.858
58,111877,New Caledonia,4,,4,,,,,,14,2020-03-22 09:40:02.077
