,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100880,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 00:00:02.483
1,100949,Niger,1,,1,,,,,,0.04,2020-03-22 00:00:02.483
2,101069,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 00:10:02.327
3,101138,Niger,1,,1,,,,,,0.04,2020-03-22 00:10:02.327
4,101258,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 00:20:02.401
5,101327,Niger,1,,1,,,,,,0.04,2020-03-22 00:20:02.401
6,101447,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 00:30:02.053
7,101516,Niger,1,,1,,,,,,0.04,2020-03-22 00:30:02.053
8,101636,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 00:40:02.56
9,101705,Niger,1,,1,,,,,,0.04,2020-03-22 00:40:02.56
10,101825,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 00:50:01.898
11,101894,Niger,1,,1,,,,,,0.04,2020-03-22 00:50:01.898
12,102014,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 01:00:01.656
13,102083,Niger,1,,1,,,,,,0.04,2020-03-22 01:00:01.656
14,102203,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 01:10:02.184
15,102272,Niger,1,,1,,,,,,0.04,2020-03-22 01:10:02.184
16,102392,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 01:20:02.26
17,102461,Niger,1,,1,,,,,,0.04,2020-03-22 01:20:02.26
18,102581,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 01:30:02.051
19,102650,Niger,1,,1,,,,,,0.04,2020-03-22 01:30:02.051
20,102770,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 01:40:02.218
21,102839,Niger,1,,1,,,,,,0.04,2020-03-22 01:40:02.218
22,102959,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 01:50:02.054
23,103028,Niger,1,,1,,,,,,0.04,2020-03-22 01:50:02.054
24,103148,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 02:00:01.626
25,103217,Niger,1,,1,,,,,,0.04,2020-03-22 02:00:01.626
26,103337,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 02:10:01.659
27,103406,Niger,1,,1,,,,,,0.04,2020-03-22 02:10:01.659
28,103526,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 02:20:02.44
29,103595,Niger,1,,1,,,,,,0.04,2020-03-22 02:20:02.44
30,103715,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 02:30:01.848
31,103784,Niger,1,,1,,,,,,0.04,2020-03-22 02:30:01.848
32,103904,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 02:40:02.273
33,103973,Niger,1,,1,,,,,,0.04,2020-03-22 02:40:02.273
34,104093,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 02:50:01.692
35,104162,Niger,1,,1,,,,,,0.04,2020-03-22 02:50:01.692
36,104282,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 03:00:02.482
37,104351,Niger,1,,1,,,,,,0.04,2020-03-22 03:00:02.482
38,104471,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 03:10:02.128
39,104540,Niger,1,,1,,,,,,0.04,2020-03-22 03:10:02.128
40,104660,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 03:20:02.286
41,104729,Niger,1,,1,,,,,,0.04,2020-03-22 03:20:02.286
42,104918,Niger,1,,1,,,,,,0.04,2020-03-22 03:30:01.618
43,104849,Nigeria,22,,21,,,1,,,0.1,2020-03-22 03:30:01.618
44,105038,Nigeria,22,,21,,,1,,,0.1,2020-03-22 03:40:02.473
45,105107,Niger,1,,1,,,,,,0.04,2020-03-22 03:40:02.473
46,105227,Nigeria,22,,21,,,1,,,0.1,2020-03-22 03:50:02.419
47,105296,Niger,1,,1,,,,,,0.04,2020-03-22 03:50:02.419
48,105416,Nigeria,22,,21,,,1,,,0.1,2020-03-22 04:00:02.368
49,105485,Niger,1,,1,,,,,,0.04,2020-03-22 04:00:02.368
50,105674,Niger,1,,1,,,,,,0.04,2020-03-22 04:10:02.471
51,105605,Nigeria,22,,21,,,1,,,0.1,2020-03-22 04:10:02.471
52,105794,Nigeria,22,,21,,,1,,,0.1,2020-03-22 04:20:02.205
53,105863,Niger,1,,1,,,,,,0.04,2020-03-22 04:20:02.205
54,105983,Nigeria,22,,21,,,1,,,0.1,2020-03-22 04:30:01.838
