,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100880,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 00:00:02.483
1,101069,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 00:10:02.327
2,101258,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 00:20:02.401
3,101447,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 00:30:02.053
4,101636,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 00:40:02.56
5,101825,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 00:50:01.898
6,102014,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 01:00:01.656
7,102203,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 01:10:02.184
8,102392,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 01:20:02.26
9,102581,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 01:30:02.051
10,102770,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 01:40:02.218
11,102959,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 01:50:02.054
12,103148,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 02:00:01.626
13,103337,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 02:10:01.659
14,103526,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 02:20:02.44
15,103715,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 02:30:01.848
16,103904,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 02:40:02.273
17,104093,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 02:50:01.692
18,104282,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 03:00:02.482
19,104471,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 03:10:02.128
20,104660,Nigeria,22,10,21,,,1,,,0.1,2020-03-22 03:20:02.286
21,104849,Nigeria,22,,21,,,1,,,0.1,2020-03-22 03:30:01.618
22,105038,Nigeria,22,,21,,,1,,,0.1,2020-03-22 03:40:02.473
23,105227,Nigeria,22,,21,,,1,,,0.1,2020-03-22 03:50:02.419
