,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100847,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 00:00:02.483
1,101036,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 00:10:02.327
2,101225,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 00:20:02.401
3,101414,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 00:30:02.053
4,101603,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 00:40:02.56
5,101792,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 00:50:01.898
6,101981,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 01:00:01.656
7,102170,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 01:10:02.184
8,102359,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 01:20:02.26
9,102548,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 01:30:02.051
10,102737,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 01:40:02.218
11,102926,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 01:50:02.054
12,103115,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 02:00:01.626
13,103304,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 02:10:01.659
14,103493,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 02:20:02.44
15,103682,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 02:30:01.848
16,103871,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 02:40:02.273
17,104060,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 02:50:01.692
18,104249,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 03:00:02.482
19,104438,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 03:10:02.128
20,104627,North Macedonia,85,9,84,,,1,1,,41,2020-03-22 03:20:02.286
21,104816,North Macedonia,85,,84,,,1,1,,41,2020-03-22 03:30:01.618
22,105005,North Macedonia,85,,84,,,1,1,,41,2020-03-22 03:40:02.473
23,105194,North Macedonia,85,,84,,,1,1,,41,2020-03-22 03:50:02.419
24,105383,North Macedonia,85,,84,,,1,1,,41,2020-03-22 04:00:02.368
25,105572,North Macedonia,85,,84,,,1,1,,41,2020-03-22 04:10:02.471
26,105761,North Macedonia,85,,84,,,1,1,,41,2020-03-22 04:20:02.205
