,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100809,Romania,367,59,315,,,52,14,,19,2020-03-22 00:00:02.483
1,100865,Oman,52,4,39,,,13,,,10,2020-03-22 00:00:02.483
2,101054,Oman,52,4,39,,,13,,,10,2020-03-22 00:10:02.327
3,100998,Romania,367,59,315,,,52,14,,19,2020-03-22 00:10:02.327
4,101187,Romania,367,59,315,,,52,14,,19,2020-03-22 00:20:02.401
5,101243,Oman,52,4,39,,,13,,,10,2020-03-22 00:20:02.401
6,101376,Romania,367,59,315,,,52,14,,19,2020-03-22 00:30:02.053
7,101432,Oman,52,4,39,,,13,,,10,2020-03-22 00:30:02.053
8,101621,Oman,52,4,39,,,13,,,10,2020-03-22 00:40:02.56
9,101565,Romania,367,59,315,,,52,14,,19,2020-03-22 00:40:02.56
10,101810,Oman,52,4,39,,,13,,,10,2020-03-22 00:50:01.898
11,101754,Romania,367,59,315,,,52,14,,19,2020-03-22 00:50:01.898
12,101943,Romania,367,59,315,,,52,14,,19,2020-03-22 01:00:01.656
13,101999,Oman,52,4,39,,,13,,,10,2020-03-22 01:00:01.656
14,102132,Romania,367,59,315,,,52,14,,19,2020-03-22 01:10:02.184
15,102188,Oman,52,4,39,,,13,,,10,2020-03-22 01:10:02.184
16,102321,Romania,367,59,315,,,52,14,,19,2020-03-22 01:20:02.26
17,102377,Oman,52,4,39,,,13,,,10,2020-03-22 01:20:02.26
18,102510,Romania,367,59,315,,,52,14,,19,2020-03-22 01:30:02.051
19,102566,Oman,52,4,39,,,13,,,10,2020-03-22 01:30:02.051
20,102699,Romania,367,59,315,,,52,14,,19,2020-03-22 01:40:02.218
21,102755,Oman,52,4,39,,,13,,,10,2020-03-22 01:40:02.218
22,102888,Romania,367,59,315,,,52,14,,19,2020-03-22 01:50:02.054
23,102944,Oman,52,4,39,,,13,,,10,2020-03-22 01:50:02.054
24,103133,Oman,52,4,39,,,13,,,10,2020-03-22 02:00:01.626
25,103077,Romania,367,59,315,,,52,14,,19,2020-03-22 02:00:01.626
26,103266,Romania,367,59,315,,,52,14,,19,2020-03-22 02:10:01.659
27,103322,Oman,52,4,39,,,13,,,10,2020-03-22 02:10:01.659
28,103511,Oman,52,4,39,,,13,,,10,2020-03-22 02:20:02.44
29,103455,Romania,367,59,315,,,52,14,,19,2020-03-22 02:20:02.44
30,103700,Oman,52,4,39,,,13,,,10,2020-03-22 02:30:01.848
31,103644,Romania,367,59,315,,,52,14,,19,2020-03-22 02:30:01.848
32,103833,Romania,367,59,315,,,52,14,,19,2020-03-22 02:40:02.273
33,103889,Oman,52,4,39,,,13,,,10,2020-03-22 02:40:02.273
34,104022,Romania,367,59,315,,,52,14,,19,2020-03-22 02:50:01.692
35,104078,Oman,52,4,39,,,13,,,10,2020-03-22 02:50:01.692
36,104211,Romania,367,59,315,,,52,14,,19,2020-03-22 03:00:02.482
37,104267,Oman,52,4,39,,,13,,,10,2020-03-22 03:00:02.482
38,104456,Oman,52,4,39,,,13,,,10,2020-03-22 03:10:02.128
39,104400,Romania,367,59,315,,,52,14,,19,2020-03-22 03:10:02.128
40,104645,Oman,52,4,39,,,13,,,10,2020-03-22 03:20:02.286
41,104589,Romania,367,59,315,,,52,14,,19,2020-03-22 03:20:02.286
42,104834,Oman,52,,39,,,13,,,10,2020-03-22 03:30:01.618
43,104778,Romania,367,,315,,,52,14,,19,2020-03-22 03:30:01.618
44,105023,Oman,52,,39,,,13,,,10,2020-03-22 03:40:02.473
45,104968,Romania,367,,315,,,52,14,,19,2020-03-22 03:40:02.473
46,105212,Oman,52,,39,,,13,,,10,2020-03-22 03:50:02.419
