,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100796,Pakistan,645,144,629,3,,13,,,3,2020-03-22 00:00:02.483
1,100985,Pakistan,645,144,629,3,,13,,,3,2020-03-22 00:10:02.327
2,101174,Pakistan,645,144,629,3,,13,,,3,2020-03-22 00:20:02.401
3,101363,Pakistan,645,144,629,3,,13,,,3,2020-03-22 00:30:02.053
4,101552,Pakistan,645,144,629,3,,13,,,3,2020-03-22 00:40:02.56
5,101741,Pakistan,645,144,629,3,,13,,,3,2020-03-22 00:50:01.898
6,101930,Pakistan,645,144,629,3,,13,,,3,2020-03-22 01:00:01.656
7,102119,Pakistan,645,144,629,3,,13,,,3,2020-03-22 01:10:02.184
8,102308,Pakistan,645,144,629,3,,13,,,3,2020-03-22 01:20:02.26
9,102497,Pakistan,645,144,629,3,,13,,,3,2020-03-22 01:30:02.051
10,102686,Pakistan,645,144,629,3,,13,,,3,2020-03-22 01:40:02.218
11,102875,Pakistan,645,144,629,3,,13,,,3,2020-03-22 01:50:02.054
12,103064,Pakistan,645,144,629,3,,13,,,3,2020-03-22 02:00:01.626
13,103253,Pakistan,645,144,629,3,,13,,,3,2020-03-22 02:10:01.659
14,103442,Pakistan,645,144,629,3,,13,,,3,2020-03-22 02:20:02.44
15,103631,Pakistan,645,144,629,3,,13,,,3,2020-03-22 02:30:01.848
16,103820,Pakistan,645,144,629,3,,13,,,3,2020-03-22 02:40:02.273
17,104009,Pakistan,645,144,629,3,,13,,,3,2020-03-22 02:50:01.692
18,104198,Pakistan,645,144,629,3,,13,,,3,2020-03-22 03:00:02.482
19,104387,Pakistan,645,144,629,3,,13,,,3,2020-03-22 03:10:02.128
20,104576,Pakistan,645,144,629,3,,13,,,3,2020-03-22 03:20:02.286
21,104765,Pakistan,645,,629,3,,13,,,3,2020-03-22 03:30:01.618
22,104954,Pakistan,645,,629,3,,13,,,3,2020-03-22 03:40:02.473
23,105143,Pakistan,645,,629,3,,13,,,3,2020-03-22 03:50:02.419
24,105332,Pakistan,645,,629,3,,13,,,3,2020-03-22 04:00:02.368
25,105521,Pakistan,645,,629,3,,13,,,3,2020-03-22 04:10:02.471
26,105710,Pakistan,645,,629,3,,13,,,3,2020-03-22 04:20:02.205
27,105899,Pakistan,645,,629,3,,13,,,3,2020-03-22 04:30:01.838
28,106088,Pakistan,645,,629,3,,13,,,3,2020-03-22 04:40:01.728
29,106277,Pakistan,645,,629,3,,13,,,3,2020-03-22 04:50:02.186
30,106466,Pakistan,645,,629,3,,13,,,3,2020-03-22 05:00:02.283
31,106655,Pakistan,645,,629,3,,13,,,3,2020-03-22 05:10:02.023
32,106844,Pakistan,645,,629,3,,13,,,3,2020-03-22 05:20:02.539
33,107033,Pakistan,645,,629,3,,13,,,3,2020-03-22 05:30:01.917
34,107222,Pakistan,645,,629,3,,13,,,3,2020-03-22 05:40:02.393
35,107411,Pakistan,645,,629,3,,13,,,3,2020-03-22 05:50:01.706
36,107600,Pakistan,645,,629,3,,13,,,3,2020-03-22 06:00:02.31
37,107789,Pakistan,645,,629,3,,13,,,3,2020-03-22 06:10:02.48
38,107978,Pakistan,645,,629,3,,13,,,3,2020-03-22 06:20:02.308
39,108167,Pakistan,645,,629,3,,13,,,3,2020-03-22 06:30:02.468
40,108356,Pakistan,645,,629,3,,13,,,3,2020-03-22 06:40:01.627
41,108545,Pakistan,645,,629,3,,13,,,3,2020-03-22 06:50:02.568
42,108734,Pakistan,645,,629,3,,13,,,3,2020-03-22 07:00:01.882
43,108923,Pakistan,645,,629,3,,13,,,3,2020-03-22 07:10:01.602
44,109112,Pakistan,645,,629,3,,13,,,3,2020-03-22 07:20:01.725
45,109301,Pakistan,645,,629,3,,13,,,3,2020-03-22 07:30:02.517
46,109490,Pakistan,645,,629,3,,13,,,3,2020-03-22 07:40:02.004
47,109679,Pakistan,645,,629,3,,13,,,3,2020-03-22 07:50:01.639
48,109868,Pakistan,645,,629,3,,13,,,3,2020-03-22 08:00:02.288
49,110057,Pakistan,645,,629,3,,13,,,3,2020-03-22 08:10:01.955
50,110246,Pakistan,645,,629,3,,13,,,3,2020-03-22 08:20:02.461
51,110435,Pakistan,645,,629,3,,13,,,3,2020-03-22 08:30:01.924
52,110624,Pakistan,645,,629,3,,13,,,3,2020-03-22 08:40:02.277
53,110813,Pakistan,645,,629,3,,13,,,3,2020-03-22 08:50:01.998
54,111002,Pakistan,645,,629,3,,13,,,3,2020-03-22 09:00:02.386
55,111191,Pakistan,645,,629,3,,13,,,3,2020-03-22 09:10:02.333
56,111380,Pakistan,645,,629,3,,13,,,3,2020-03-22 09:20:01.679
57,111569,Pakistan,645,,629,3,,13,,,3,2020-03-22 09:30:01.858
58,111758,Pakistan,645,,629,3,,13,,,3,2020-03-22 09:40:02.077
