,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100863,Palestine,53,5,36,,,17,,,10,2020-03-22 00:00:02.483
1,101052,Palestine,53,5,36,,,17,,,10,2020-03-22 00:10:02.327
2,101241,Palestine,53,5,36,,,17,,,10,2020-03-22 00:20:02.401
3,101430,Palestine,53,5,36,,,17,,,10,2020-03-22 00:30:02.053
4,101619,Palestine,53,5,36,,,17,,,10,2020-03-22 00:40:02.56
5,101808,Palestine,53,5,36,,,17,,,10,2020-03-22 00:50:01.898
6,101997,Palestine,53,5,36,,,17,,,10,2020-03-22 01:00:01.656
7,102186,Palestine,53,5,36,,,17,,,10,2020-03-22 01:10:02.184
8,102375,Palestine,53,5,36,,,17,,,10,2020-03-22 01:20:02.26
9,102564,Palestine,53,5,36,,,17,,,10,2020-03-22 01:30:02.051
10,102753,Palestine,53,5,36,,,17,,,10,2020-03-22 01:40:02.218
11,102942,Palestine,53,5,36,,,17,,,10,2020-03-22 01:50:02.054
12,103132,Palestine,53,5,36,,,17,,,10,2020-03-22 02:00:01.626
13,103321,Palestine,53,5,36,,,17,,,10,2020-03-22 02:10:01.659
14,103510,Palestine,53,5,36,,,17,,,10,2020-03-22 02:20:02.44
15,103699,Palestine,53,5,36,,,17,,,10,2020-03-22 02:30:01.848
16,103888,Palestine,53,5,36,,,17,,,10,2020-03-22 02:40:02.273
17,104077,Palestine,53,5,36,,,17,,,10,2020-03-22 02:50:01.692
18,104266,Palestine,53,5,36,,,17,,,10,2020-03-22 03:00:02.482
19,104455,Palestine,53,5,36,,,17,,,10,2020-03-22 03:10:02.128
20,104644,Palestine,53,5,36,,,17,,,10,2020-03-22 03:20:02.286
21,104833,Palestine,53,,36,,,17,,,10,2020-03-22 03:30:01.618
22,105022,Palestine,53,,36,,,17,,,10,2020-03-22 03:40:02.473
23,105211,Palestine,53,,36,,,17,,,10,2020-03-22 03:50:02.419
24,105400,Palestine,53,,36,,,17,,,10,2020-03-22 04:00:02.368
25,105589,Palestine,53,,36,,,17,,,10,2020-03-22 04:10:02.471
26,105778,Palestine,53,,36,,,17,,,10,2020-03-22 04:20:02.205
27,105967,Palestine,53,,36,,,17,,,10,2020-03-22 04:30:01.838
28,106156,Palestine,53,,36,,,17,,,10,2020-03-22 04:40:01.728
29,106345,Palestine,53,,36,,,17,,,10,2020-03-22 04:50:02.186
30,106534,Palestine,53,,36,,,17,,,10,2020-03-22 05:00:02.283
31,106723,Palestine,53,,36,,,17,,,10,2020-03-22 05:10:02.023
32,106912,Palestine,53,,36,,,17,,,10,2020-03-22 05:20:02.539
33,107101,Palestine,53,,36,,,17,,,10,2020-03-22 05:30:01.917
34,107290,Palestine,53,,36,,,17,,,10,2020-03-22 05:40:02.393
35,107479,Palestine,53,,36,,,17,,,10,2020-03-22 05:50:01.706
36,107668,Palestine,53,,36,,,17,,,10,2020-03-22 06:00:02.31
37,107857,Palestine,53,,36,,,17,,,10,2020-03-22 06:10:02.48
38,108047,Palestine,53,,36,,,17,,,10,2020-03-22 06:20:02.308
39,108236,Palestine,53,,36,,,17,,,10,2020-03-22 06:30:02.468
40,108425,Palestine,53,,36,,,17,,,10,2020-03-22 06:40:01.627
41,108614,Palestine,53,,36,,,17,,,10,2020-03-22 06:50:02.568
42,108803,Palestine,53,,36,,,17,,,10,2020-03-22 07:00:01.882
43,108992,Palestine,53,,36,,,17,,,10,2020-03-22 07:10:01.602
44,109181,Palestine,53,,36,,,17,,,10,2020-03-22 07:20:01.725
45,109370,Palestine,53,,36,,,17,,,10,2020-03-22 07:30:02.517
46,109559,Palestine,53,,36,,,17,,,10,2020-03-22 07:40:02.004
47,109748,Palestine,53,,36,,,17,,,10,2020-03-22 07:50:01.639
