,id,country_name,total_cases,new_cases,active_cases,total_deaths,new_deaths,total_recovered,serious_critical,region,total_cases_per1m,record_date
0,100818,Panama,245,45,241,3,2,1,7,,57,2020-03-22 00:00:02.483
1,101007,Panama,245,45,241,3,2,1,7,,57,2020-03-22 00:10:02.327
2,101196,Panama,245,45,241,3,2,1,7,,57,2020-03-22 00:20:02.401
3,101385,Panama,245,45,241,3,2,1,7,,57,2020-03-22 00:30:02.053
4,101574,Panama,245,45,241,3,2,1,7,,57,2020-03-22 00:40:02.56
5,101763,Panama,245,45,241,3,2,1,7,,57,2020-03-22 00:50:01.898
6,101952,Panama,245,45,241,3,2,1,7,,57,2020-03-22 01:00:01.656
7,102141,Panama,245,45,241,3,2,1,7,,57,2020-03-22 01:10:02.184
8,102330,Panama,245,45,241,3,2,1,7,,57,2020-03-22 01:20:02.26
9,102519,Panama,245,45,241,3,2,1,7,,57,2020-03-22 01:30:02.051
10,102708,Panama,245,45,241,3,2,1,7,,57,2020-03-22 01:40:02.218
11,102897,Panama,245,45,241,3,2,1,7,,57,2020-03-22 01:50:02.054
12,103086,Panama,245,45,241,3,2,1,7,,57,2020-03-22 02:00:01.626
13,103275,Panama,245,45,241,3,2,1,7,,57,2020-03-22 02:10:01.659
14,103464,Panama,245,45,241,3,2,1,7,,57,2020-03-22 02:20:02.44
15,103653,Panama,245,45,241,3,2,1,7,,57,2020-03-22 02:30:01.848
16,103842,Panama,245,45,241,3,2,1,7,,57,2020-03-22 02:40:02.273
17,104031,Panama,245,45,241,3,2,1,7,,57,2020-03-22 02:50:01.692
18,104220,Panama,245,45,241,3,2,1,7,,57,2020-03-22 03:00:02.482
19,104409,Panama,245,45,241,3,2,1,7,,57,2020-03-22 03:10:02.128
20,104598,Panama,245,45,241,3,2,1,7,,57,2020-03-22 03:20:02.286
21,104787,Panama,245,,241,3,,1,7,,57,2020-03-22 03:30:01.618
22,104977,Panama,245,,241,3,,1,7,,57,2020-03-22 03:40:02.473
23,105166,Panama,245,,241,3,,1,7,,57,2020-03-22 03:50:02.419
24,105355,Panama,245,,241,3,,1,7,,57,2020-03-22 04:00:02.368
25,105544,Panama,245,,241,3,,1,7,,57,2020-03-22 04:10:02.471
26,105733,Panama,245,,241,3,,1,7,,57,2020-03-22 04:20:02.205
27,105922,Panama,245,,241,3,,1,7,,57,2020-03-22 04:30:01.838
28,106111,Panama,245,,241,3,,1,7,,57,2020-03-22 04:40:01.728
29,106300,Panama,245,,241,3,,1,7,,57,2020-03-22 04:50:02.186
30,106489,Panama,245,,241,3,,1,7,,57,2020-03-22 05:00:02.283
31,106678,Panama,245,,241,3,,1,7,,57,2020-03-22 05:10:02.023
32,106867,Panama,245,,241,3,,1,7,,57,2020-03-22 05:20:02.539
33,107056,Panama,245,,241,3,,1,7,,57,2020-03-22 05:30:01.917
34,107245,Panama,245,,241,3,,1,7,,57,2020-03-22 05:40:02.393
35,107434,Panama,245,,241,3,,1,7,,57,2020-03-22 05:50:01.706
36,107623,Panama,245,,241,3,,1,7,,57,2020-03-22 06:00:02.31
37,107812,Panama,245,,241,3,,1,7,,57,2020-03-22 06:10:02.48
38,108001,Panama,245,,241,3,,1,7,,57,2020-03-22 06:20:02.308
39,108190,Panama,245,,241,3,,1,7,,57,2020-03-22 06:30:02.468
40,108379,Panama,245,,241,3,,1,7,,57,2020-03-22 06:40:01.627
41,108568,Panama,245,,241,3,,1,7,,57,2020-03-22 06:50:02.568
42,108757,Panama,245,,241,3,,1,7,,57,2020-03-22 07:00:01.882
43,108946,Panama,245,,241,3,,1,7,,57,2020-03-22 07:10:01.602
44,109135,Panama,245,,241,3,,1,7,,57,2020-03-22 07:20:01.725
45,109324,Panama,245,,241,3,,1,7,,57,2020-03-22 07:30:02.517
46,109513,Panama,245,,241,3,,1,7,,57,2020-03-22 07:40:02.004
47,109702,Panama,245,,241,3,,1,7,,57,2020-03-22 07:50:01.639
48,109891,Panama,245,,241,3,,1,7,,57,2020-03-22 08:00:02.288
49,110080,Panama,245,,241,3,,1,7,,57,2020-03-22 08:10:01.955
50,110269,Panama,245,,241,3,,1,7,,57,2020-03-22 08:20:02.461
51,110458,Panama,245,,241,3,,1,7,,57,2020-03-22 08:30:01.924
52,110647,Panama,245,,241,3,,1,7,,57,2020-03-22 08:40:02.277
53,110836,Panama,245,,241,3,,1,7,,57,2020-03-22 08:50:01.998
54,111025,Panama,245,,241,3,,1,7,,57,2020-03-22 09:00:02.386
55,111214,Panama,245,,241,3,,1,7,,57,2020-03-22 09:10:02.333
56,111403,Panama,245,,241,3,,1,7,,57,2020-03-22 09:20:01.679
57,111592,Panama,245,,241,3,,1,7,,57,2020-03-22 09:30:01.858
58,111781,Panama,245,,241,3,,1,7,,57,2020-03-22 09:40:02.077
59,111970,Panama,245,,241,3,,1,7,,57,2020-03-22 09:50:02.389
60,112159,Panama,245,,241,3,,1,7,,57,2020-03-22 10:00:01.658
61,112348,Panama,245,,241,3,,1,7,,57,2020-03-22 10:10:02.03
62,112537,Panama,245,,241,3,,1,7,,57,2020-03-22 10:20:02.283
63,112726,Panama,245,,241,3,,1,7,,57,2020-03-22 10:30:02.203
64,112915,Panama,245,,241,3,,1,7,,57,2020-03-22 10:50:02.099
65,113104,Panama,245,,241,3,,1,7,,57,2020-03-22 11:00:01.809
66,113293,Panama,245,,241,3,,1,7,,57,2020-03-22 11:10:02.337
67,113482,Panama,245,,241,3,,1,7,,57,2020-03-22 11:20:02.297
68,113671,Panama,245,,241,3,,1,7,,57,2020-03-22 11:30:02.571
69,113860,Panama,245,,241,3,,1,7,,57,2020-03-22 11:40:01.658
70,114049,Panama,245,,241,3,,1,7,,57,2020-03-22 11:50:02.534
71,114238,Panama,245,,241,3,,1,7,,57,2020-03-22 12:00:01.655
72,114427,Panama,245,,241,3,,1,7,,57,2020-03-22 12:10:02.323
73,114617,Panama,245,,241,3,,1,7,,57,2020-03-22 12:20:01.826
74,114806,Panama,245,,241,3,,1,7,,57,2020-03-22 12:30:02.517
75,114995,Panama,245,,241,3,,1,7,,57,2020-03-22 12:40:02.46
76,115184,Panama,245,,241,3,,1,7,,57,2020-03-22 12:50:02.108
77,115373,Panama,245,,241,3,,1,7,,57,2020-03-22 13:00:01.691
78,115562,Panama,245,,241,3,,1,7,,57,2020-03-22 13:10:01.964
79,115751,Panama,245,,241,3,,1,7,,57,2020-03-22 13:20:01.995
80,115940,Panama,245,,241,3,,1,7,,57,2020-03-22 13:30:02.353
81,116129,Panama,245,,241,3,,1,7,,57,2020-03-22 13:40:02.609
82,116318,Panama,245,,241,3,,1,7,,57,2020-03-22 13:50:01.753
83,116507,Panama,245,,241,3,,1,7,,57,2020-03-22 14:00:02.347
84,116696,Panama,245,,241,3,,1,7,,57,2020-03-22 14:10:02.014
85,116885,Panama,245,,241,3,,1,7,,57,2020-03-22 14:20:01.732
86,117074,Panama,245,,241,3,,1,7,,57,2020-03-22 14:30:02.279
87,117263,Panama,245,,241,3,,1,7,,57,2020-03-22 14:40:01.994
88,117452,Panama,245,,241,3,,1,7,,57,2020-03-22 14:50:01.896
89,117641,Panama,245,,241,3,,1,7,,57,2020-03-22 15:00:01.708
90,117830,Panama,245,,241,3,,1,7,,57,2020-03-22 15:10:01.808
91,118019,Panama,245,,241,3,,1,7,,57,2020-03-22 15:20:02.115
92,118208,Panama,245,,241,3,,1,7,,57,2020-03-22 15:30:02.542
93,118397,Panama,245,,241,3,,1,7,,57,2020-03-22 15:40:01.608
94,118587,Panama,245,,241,3,,1,7,,57,2020-03-22 15:50:02.028
95,118776,Panama,245,,241,3,,1,7,,57,2020-03-22 16:00:01.887
96,118965,Panama,245,,241,3,,1,7,,57,2020-03-22 16:10:02.607
97,119155,Panama,245,,241,3,,1,7,,57,2020-03-22 16:40:02.392
98,119345,Panama,245,,241,3,,1,7,,57,2020-03-22 16:50:02.248
99,119535,Panama,245,,241,3,,1,7,,57,2020-03-22 17:00:02.174
100,119725,Panama,245,,241,3,,1,7,,57,2020-03-22 17:10:01.966
101,119915,Panama,245,,241,3,,1,7,,57,2020-03-22 17:20:01.901
102,120105,Panama,245,,241,3,,1,7,,57,2020-03-22 17:30:03.26
103,120295,Panama,245,,241,3,,1,7,,57,2020-03-22 17:40:03.136
104,120485,Panama,245,,241,3,,1,7,,57,2020-03-22 17:50:01.957
105,120675,Panama,245,,241,3,,1,7,,57,2020-03-22 18:00:01.753
106,120865,Panama,245,,241,3,,1,7,,57,2020-03-22 18:10:02.492
107,121056,Panama,245,,241,3,,1,7,,57,2020-03-22 18:30:02.036
108,121246,Panama,245,,241,3,,1,7,,57,2020-03-22 18:40:02.238
109,121436,Panama,245,,241,3,,1,7,,57,2020-03-22 18:50:02.468
110,121626,Panama,245,,241,3,,1,7,,57,2020-03-22 19:00:01.712
111,121816,Panama,245,,241,3,,1,7,,57,2020-03-22 19:10:01.802
112,122006,Panama,245,,241,3,,1,7,,57,2020-03-22 19:20:01.774
113,122196,Panama,245,,241,3,,1,7,,57,2020-03-22 19:30:02.213
114,122387,Panama,245,,241,3,,1,7,,57,2020-03-22 19:40:02.298
